id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
40118,-31244,25856,-26637,-6145,-18433,16896,6469,-13297,26316,35,1,21572,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,23414.468974810236,-28554.077330011212,-31475.027425871907
40119,5878,-19456,27122,-29696,-2,-30208,5445,-6129,19148,35,1,21595,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,22195.49776653645,16488.782725473302,19600.245588456502
40120,2294,22785,-16911,13312,3839,10752,6213,3344,14028,35,1,21620,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-25088.216431558263,-8958.984884672642,10035.864094311812
40121,-8459,3583,-29968,-32513,21758,-23041,4421,16400,15052,35,1,21646,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,6617.001603820227,-23068.35397646389,20162.835331163205
40122,17904,-28930,19185,32511,14590,-21249,325,31760,18380,35,1,21672,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,17267.593597307376,26761.00793021056,22610.639241680827
40123,-26128,-11780,-12046,512,-26882,26624,-3516,-19952,15308,35,1,21697,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-760.1695915445557,29968.31684945373,8238.266043460753
40124,-27145,5892,-27917,-25600,27135,2817,-6588,-12784,3788,35,1,21723,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,29520.05074008931,-20307.88429670697,-16342.644146346545
40125,18675,27139,-31758,-11008,29183,13569,-10428,-7920,-12853,35,1,21749,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-29170.744200011803,-34758.671970461015,-5895.245174491551
40126,7670,15621,-2575,-16896,-9217,6145,-13244,-6896,-29237,35,1,21774,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,12789.061882753362,12062.486496656427,-641.4683757492598
40127,-10247,9218,-22286,22784,1536,-17408,-15548,-7664,24523,35,1,21800,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-14129.73481064624,20511.5218795807,-8140.417272123954
40128,6385,29693,-28686,7680,-30209,15104,-19644,-4336,17611,35,1,21825,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-1601.482318209691,34010.3759028841,24208.64835815874
40129,9209,-32508,24050,12032,-18433,6400,-18108,-2800,15563,35,1,21876,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-36182.01821307392,-6431.374648971604,-19221.790321230546
40130,-15377,11775,-17678,7168,-31233,18432,-19388,2065,13259,35,1,21878,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,19267.35901998016,-8093.005960554608,15839.399259997735
40131,-21512,-256,10483,6400,-25090,25088,-19132,14097,8395,35,1,21902,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-1702.1931354970584,556.0831155043707,23864.58210608595
40132,-24588,22020,16881,-8449,14079,-29696,-27580,20241,-1846,35,1,21928,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,25136.530478338205,-27168.81545470987,-2104.4256459880944
40133,498,26620,499,-28929,-8706,26880,29508,30481,-9526,35,1,21953,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,19985.19820783016,-16263.80959695628,-6723.225043659843
40134,8954,8964,8435,19455,29695,6144,22084,-28143,-12342,35,1,21979,2020-11-02 16:08:48,2020-11-02 16:09:17,4,C7:F7:8F:B2:48:BE,35,35,-4484.616685814395,14386.243193567141,-2144.9608287468027
