id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
66027,27367,-6730,15115,25113,-27353,22493,-21536,10505,15365,57,1,7797,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-9243.864562924186,-937.7847641276367,-30600.332378562238
66028,-4633,27066,23813,-16872,26403,-10759,17634,-24057,-13058,57,1,7822,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-22458.963007504288,23390.18235434257,16419.085359975303
66029,6140,21695,-19965,15381,7967,20237,-16413,-3319,-11015,57,1,7848,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-19555.768927886522,-19853.360776991623,-11418.836083319467
66030,-32763,26052,-17157,-19178,5398,3348,23269,-21235,-29962,57,1,7899,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,38321.31366072009,23739.695414497484,3793.059839179299
66031,15354,-16698,21227,-6122,14352,21269,-23321,31249,-9228,57,1,7901,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,11755.636946577826,-27840.215786294924,7202.876783118607
66032,-31242,24517,24786,30991,-16886,32281,16874,32277,-23052,57,1,7924,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,38078.95114851353,6000.628843958853,-26560.827959726124
66033,16893,-30251,-27179,-9988,-14072,5146,23532,27929,-23562,57,1,7950,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,27933.130924243174,-31124.148833766703,-13792.100896622978
66034,-12030,-1064,2784,-5134,-28155,-23787,5870,-12260,14842,57,1,7976,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,799.9747768634863,5262.858387182198,-11192.230070582369
66035,18446,489,5109,-7439,20733,3349,9718,-15074,-10748,57,1,8001,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-9101.04872456958,6706.247520843415,15452.930929185957
66036,18684,-5909,-12,29430,10232,28439,23300,24350,5141,57,1,8027,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-15602.993411583013,3853.298525739388,11211.911882887402
66037,26623,-27677,-20755,6384,4604,-21477,10510,-11749,14113,57,1,8052,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,-10728.642964149945,17409.105234509956,38566.69234043223
66038,-21249,17897,-31762,-23831,16387,-17388,17170,-19175,-3288,57,-1,8078,2020-11-02 15:20:58,2020-11-02 15:21:28,4,D7:F2:3B:06:4D:C8,57,57,16874.5307466284,21433.324937153095,-32194.876117474098
