id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
24748,9486,-27905,-2561,-30465,32511,-26113,11797,5090,25606,22,1,52824,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,4350.338297906998,-16291.662558550246,-24308.192647173415
24749,1549,-6401,1536,-31489,-23297,-25089,15381,7138,17414,22,1,52849,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,4373.819148499368,-1903.3562911771633,-4793.583094623121
24750,-2798,2564,-6401,-26625,-28672,-18689,5909,10722,23046,22,1,52875,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,6828.460689818456,-2453.6226555926205,1651.5330670521473
24751,-11252,-1537,12032,17407,15616,-22273,-4076,14562,27398,22,1,52900,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-11375.178322517062,-10818.989298342967,5224.335909307352
24752,11791,15103,-5377,18431,29696,-28417,-17132,19426,-32250,22,1,52926,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,6944.004478013444,-15918.877137967873,9716.510251917247
24753,22543,24063,-4865,29183,10496,29951,-19948,24034,29958,22,1,52951,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-27986.768177516955,8208.542446645359,16132.069950243382
24754,-22771,3072,9728,-25857,-18433,31743,-9196,27106,14598,22,1,52977,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-14305.365844040567,7598.745563429789,-18979.072235765732
24755,13583,9987,-23296,-15361,30207,-26881,10517,27362,-8187,22,1,53003,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,17949.296080547876,18313.997985597383,13013.91263211659
24756,14869,-18940,-2817,-13057,25087,-29441,-28651,26338,28165,22,1,53054,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-5048.5067834927495,-1758.527710956906,23646.699760153093
24757,13586,5888,-13826,-18177,14335,30207,10262,24802,-14588,22,1,53056,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,16374.949526915725,178.35448885093138,11926.24977380858
24758,-16372,31744,13567,27391,23039,22015,-15850,24546,6148,22,1,53079,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,20628.69447299955,30510.180476466,10167.264166584388
24759,-30189,10499,2047,-19458,-28159,24318,-25066,-29982,6148,22,1,53105,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,5874.889835593968,-6419.054129659132,30823.30846129501
24760,25359,8958,19711,-21507,1539,11260,4630,6627,22788,22,1,53131,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-31248.808919527746,-4594.14374253647,-10688.963952776547
24761,-4853,-12800,24322,-27907,4866,-4102,-6891,-6173,9220,22,1,53156,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-23690.565748715704,-11816.599419438155,8836.083163161846
24762,3855,11521,-18174,11262,14592,14588,16150,-29980,27395,22,1,53182,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-3143.405047871879,-21586.8097918873,1420.3484480549596
24763,-26878,-3331,14853,-14081,4351,-1793,-23530,-19228,-11262,22,1,53207,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,7682.707904434392,-28739.9779334598,8314.067695140875
24764,24323,-6399,-32248,-4094,-28417,-11003,18198,15076,30467,22,-1,53233,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,15569.11784779656,-14255.707108364742,-35026.652970016155
24765,-19712,-30213,-15351,19718,-15360,-27635,-27117,-286,4359,22,-1,53259,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-19712.0,31366.20982262431,-12831.190566861129
24766,-26369,-2823,10509,-21241,3073,22035,-13301,31201,14096,22,-1,53284,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-7365.391460253677,-9691.90997383505,-25798.264683817375
24767,26626,-16387,6929,12041,23811,-8167,4091,25057,-28894,22,-1,53310,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,9289.567775709798,-26365.89697893655,15621.52659110493
24768,-23545,20731,11287,-8947,21252,-1766,13552,4836,-26577,22,-1,53335,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,29686.32586917952,-5471.33828760383,14153.59561141561
24769,13,-28172,-29416,-20203,-5374,32538,15597,30951,-6603,22,-1,53361,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,39304.602320521706,9990.516986421246,-3781.615497332925
24770,-2798,-31254,8214,-25318,23550,-16871,-8724,-25878,-11462,22,-1,53386,2020-11-02 14:43:18,2020-11-02 14:43:47,3,D7:F2:3B:06:4D:C8,22,22,-19511.576745696508,-18664.231582841756,-17973.75721208139
