id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
36518,-29937,16908,-29428,-14587,-16384,11264,9224,-7695,-19484,32,1,43218,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,19403.66484442594,-31474.980160263687,-26094.73187285503
36519,-9714,26372,14348,14341,-1533,31999,-5368,15602,-11036,32,1,43244,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,31424.52585057399,-131.08719662022486,2862.0403934062724
36520,6924,22527,-19956,31493,-12798,14080,-27639,-14350,6629,32,1,43269,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-16659.36487373671,-25245.591716456172,-6226.965704876411
36521,11019,26880,-2804,-5115,-26883,-11518,19978,-27150,24549,32,1,43295,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-18381.603478269106,18823.796382574183,-12633.151638252108
36522,-27121,25349,-4598,-27133,-27652,-11259,-18166,-14351,-7451,32,1,43320,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-16043.847367138307,-22660.938915627343,-25066.68815623986
36523,16406,7430,-8185,-772,27135,15880,1802,-2832,-794,32,1,43346,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,16406.0,7430.0,-8185.0
36524,-14836,4605,4107,24052,-23036,9482,-29177,-16400,-7960,32,1,43372,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-1620.8264020713868,-2347.1290598918827,-15812.788398968709
36525,3072,2813,9740,20208,20998,-18931,-18941,10481,30699,32,1,43397,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-3277.9470986203387,6109.249375854368,-8009.362514099952
36526,30727,11780,14857,31472,-22010,-18928,28671,3570,-28434,32,1,43448,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,-33395.36059027257,11757.804234125457,-7081.758866104618
36527,-9969,-8958,-3832,-27662,-5884,-27634,-25093,4595,28401,32,1,43450,2020-11-02 14:54:52,2020-11-02 14:55:22,3,D7:F2:3B:06:4D:C8,32,32,13142.286907792779,1821.6483266231166,-4274.674397819059
