id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
28217,12795,-29427,-29960,-5889,14592,-9473,31022,-20218,-23863,25,1,57716,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,38158.40411744099,12542.49668443865,-17716.76963023757
28218,15355,-17395,-24840,-4609,6656,-3329,30766,-20218,-21815,25,1,57742,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,12337.434137050865,30803.305690034413,-7371.0058662454785
28219,15611,1550,-25608,-769,12032,7424,30254,-20986,-21047,25,1,57767,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,10674.30240237754,25881.82654631152,10865.80912078071
28220,-29444,-31731,29944,0,13568,7936,30510,-23034,-19767,25,1,57793,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,-45432.54885834185,-26388.670039781737,-3157.5672227057285
28221,-7684,-20211,29432,-257,17664,-3585,31022,-23802,-17975,25,1,57819,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,-22574.337885902463,-25935.200169759948,-12309.982216380013
28222,20219,20239,-28424,512,14336,-8961,31790,-24058,-15415,25,1,57844,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,-5412.534964536804,39874.91682805971,2654.115900443493
28223,-16135,-14578,8952,2816,5376,-8449,32558,-24058,-13367,25,1,57870,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,-5545.753391826192,-22808.780993877856,1413.7686834714802
28224,-25603,-31472,-5384,1536,7680,-3329,-32210,-24058,-11831,25,1,57896,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,-401.75188937866005,8168.405352020187,40101.16704566674
28225,17918,-31731,-32007,768,2304,3584,-32210,-23802,-11575,25,1,57921,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,37040.15457571674,28809.81360375457,12262.981820255967
28226,-2314,16908,10231,512,512,-2305,-32210,-24314,-11319,25,1,57947,2020-11-02 15:28:14,2020-11-02 15:28:44,3,DF:DC:EF:28:D6:3E,25,25,4414.014552427635,-16155.509794889305,-10743.574814659818
