id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
34145,-26380,25081,-6671,28672,7936,15616,-5952,-7670,10189,30,1,153,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-3146.4627202138017,9791.207723027495,-35548.49118703678
34146,-28424,-15877,-27662,5888,31743,30464,-4672,-3574,6861,30,1,179,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-1997.5179162010318,-32496.350982448104,-27662.0
34147,-21002,-20482,-1039,-30721,-17154,23808,-8256,8459,5837,30,1,205,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,11497.40768593258,-4193.995082338406,26681.376852643487
34148,-18700,-10246,4081,-31745,-23810,14592,-12864,22027,7373,30,1,230,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,3872.957294088511,20791.442776582888,-4903.181218988942
34149,-13578,-29448,14833,15359,-19202,-31744,-18752,-29429,7629,30,1,281,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-33829.15507265157,5145.785340988887,10033.635298083966
34150,9465,12539,16370,5887,-7170,-6144,-29760,-15605,4045,30,1,283,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-19094.545993503816,-12140.750232712182,1670.3721408315944
34151,32248,5374,-1295,25599,-7426,8961,24256,-1525,-3380,30,1,307,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,32248.0,-4492.740049944818,-3220.588120766429
34152,246,25341,14065,-16385,-5634,-29439,14272,12812,-14900,30,1,333,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-27680.20366909187,-4408.762763390219,-7377.001947521575
34153,-16907,19706,30192,13312,-26881,4866,5056,24332,31692,30,1,358,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,15549.850549247152,16903.454484470112,-32530.067989285315
34154,31479,17656,-9744,22016,0,2818,-3649,30476,8396,30,1,384,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-4983.98118725221,24915.911510813115,27421.972906967258
34155,-9223,-13315,-26638,7168,-2305,23809,-10817,-31476,-10549,30,1,409,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-27980.786868530857,-11223.733358384881,7939.733856857531
34156,-9735,30461,3571,6400,-6145,-30464,-14657,-28148,-19253,30,1,435,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,14235.43778917626,11553.676226526606,26443.51836656927
34157,9719,-4103,15344,19712,-7425,2816,-13377,-27636,-21557,30,1,461,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,10487.920596758637,-14322.992140962837,-5620.260108393804
34158,-24074,-1542,29935,-23041,-31488,30207,-12353,32012,-20021,30,1,486,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,197.3338053915386,-28115.03040816341,-26221.09054782612
34159,13814,-18951,2800,30718,13056,31742,-16961,24332,-8757,30,1,512,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-2669.8183593817876,23466.503920007883,-47.5468207424351
34160,-16905,9465,-20494,-5122,8448,3070,-20033,16140,11724,30,1,537,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,1050.6680334658868,27170.752468144045,7484.356552055575
34161,-2314,-9734,-3341,-6656,-19967,-22018,-10305,1548,27852,30,1,563,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-4595.362173267086,7026.574572736174,6385.72856221461
34162,14328,15868,20469,18947,-19710,13056,12992,-19957,26316,30,1,589,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-9266.510616818337,27848.368886962016,-3829.5039266305484
34163,27897,25853,32758,4101,-17661,-21247,-19008,17675,3276,30,1,614,2020-11-02 15:35:50,2020-11-02 15:36:19,1,DF:DC:EF:28:D6:3E,30,30,-32709.225912276877,-20971.466790586186,31780.668697668643
