id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
36463,-6919,32757,9454,-20746,-5373,-17664,-29254,25356,1769,32,1,61069,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-21279.27736363332,226.2521165535927,-27521.135348333966
36464,-4364,-13830,-32271,-27142,-32768,-15870,-1467,6924,-16920,32,1,61095,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-293.84623150346124,32591.396081116298,-13763.916334969079
36465,-19730,-23046,2804,-2563,19709,4356,12613,22284,5352,32,1,61120,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,16410.618338123924,7040.850010246233,24685.450550752492
36466,-27920,247,27893,-4611,-11011,-2045,-27580,-17396,24039,32,1,61146,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-35829.52195529196,-8942.074027671712,13924.493762391867
36467,1782,-23561,24822,-5379,-25345,-17659,-11965,-9204,-31258,32,1,61172,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-33420.60895386098,1154.8354396896884,7493.809529227717
36468,14574,-5384,27897,20736,29952,9994,-1726,-17908,5605,32,1,61197,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-18364.975510301007,-5384.0,-25561.13768019812
36469,25075,-21771,-3851,-16125,10752,-7154,11074,24844,-13598,32,1,61223,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-7353.629487146479,4411.3764826381175,32311.393623522294
36470,-31997,6652,5621,25607,-17409,-3824,-21439,-5365,-2081,32,1,61249,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-31997.0,-5792.19452208165,-6503.47811700534
36471,2812,-17155,243,21002,-4098,-24048,-21439,27403,4317,32,1,61274,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-3488.1368235157115,17017.613441139187,702.9596491922657
36472,11516,22268,21234,23051,-32510,-4593,8770,-16118,25306,32,1,61300,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,16671.426037772293,28231.469536390097,-2100.5993627928983
36473,14596,-23287,31472,30730,-13820,14608,-22974,-19447,-13609,32,1,61325,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-4046.7263902725063,11815.567986375412,39872.68147092206
36474,1283,16912,-31002,31242,-14845,-23541,18755,-26104,-27947,32,-1,61351,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-6455.072302393028,26395.064355839302,-22592.44245808716
36475,31754,-21491,27619,14090,-25600,-16638,29508,6152,-29228,32,-1,61377,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-7895.066202566395,45186.0541844385,-11352.409211179864
36476,-8958,13574,11233,-30715,-24320,-25858,-24251,2056,-25644,32,-1,61402,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,19003.814915415205,4576.785109732744,2930.4582781488643
36477,-21501,-16892,-19741,-8961,9729,-1024,-6331,-19961,-22828,32,-1,61428,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-24209.308972153198,22547.4914822028,-6546.734525762822
36478,1795,3337,-7958,31483,-18433,7683,22085,-24313,14804,32,-1,61453,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-158.4800896262982,5586.195233403421,-6815.912622348744
36479,5638,19723,1781,15606,-19714,2048,-2237,-17657,-6189,32,-1,61479,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,13444.796197408667,15564.608945565784,-967.542031003862
36480,-5366,27147,3066,-8966,28158,-20744,-6334,-4857,-29228,32,-1,61505,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-18061.212942279886,-253.11369321779387,-21186.84595478825
36481,-28149,9480,-15626,-10745,-19206,-12815,-9149,-24824,20950,32,-1,61530,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-4780.277275506374,8789.311582164339,32036.002061445015
36482,-10744,-1279,-18194,-1264,15864,-21780,28346,-23287,9689,32,-1,61556,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,19935.986209769573,7111.388381602185,-274.99478157031535
36483,-10238,-15112,-28189,-18669,20213,31209,1983,-29174,-2852,32,-1,61581,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-29935.24983325172,-15112.0,1821.3133779783266
36484,-31748,8939,27091,-26872,-17675,11753,15811,-14838,18145,32,1,61607,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-11910.019599783489,30338.06349753152,-27559.33312604858
36485,-6664,8927,-810,11505,3058,-20498,17860,-16374,13285,32,1,61633,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,7558.204882276133,4447.227269836616,-6917.516430624419
36486,-16390,-8222,-3093,17124,8940,9975,18114,28940,-29976,32,1,61658,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-10060.035846419993,-3774.243237205218,-15177.312006912009
36487,8438,-5911,28411,-2584,-24852,-22791,-9537,-5618,-1302,32,1,61684,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,8438.0,20713.305219390575,20324.463803219194
36488,18414,-29203,-9981,-4621,11250,-20231,-12098,1809,9197,32,1,61709,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,7359.888084989052,17157.377684323794,30707.774331167413
36489,6122,-10002,21252,-13567,16116,3069,-26945,-12014,-7698,32,1,61735,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,1134.5461535187087,-19434.510438828813,14497.551552886085
36490,5102,-9236,-16385,16907,31734,9217,-23103,26388,-8721,32,1,61761,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,12191.405674449135,15136.9837589429,1429.5717409448926
36491,2035,5354,-9480,-12021,13305,9475,-7229,-22251,14064,32,1,61786,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,4896.206028200267,1519.3167223279388,9818.135476080479
36492,-4880,-6939,-14343,-25339,-16388,20741,2757,-28650,-17,32,1,61812,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-15138.122336553939,-6939.0,610.9837342570618
36493,20463,8419,767,11774,-8957,-20725,31683,4887,-7699,32,1,61837,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,13684.6642828417,-15531.307161984765,-7855.614572138668
36494,-28429,-8992,-28917,-10504,20234,21012,23998,-16106,-16920,32,-1,61863,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-9750.908385670882,17158.41089399073,-36548.12875165066
36495,-2566,4828,30226,1529,-3056,-2787,16708,-11756,-9247,32,-1,61889,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-20218.132604188617,-23099.30729724723,1074.305536980196
36496,-2286,8667,-24562,19707,14868,9512,21566,-10224,-7718,32,-1,61914,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-16582.09224187129,16359.867546133384,11875.330721922808
36497,-26328,8687,8456,-7947,30489,-19159,22842,-9974,-10027,32,-1,61940,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-12678.007062538389,1619.0926314625658,-26014.960406907605
36498,24898,-1768,-22509,-22029,-7404,4382,24119,26884,3795,32,-1,61965,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-28421.773288771874,-15879.22544519929,8351.305968660767
36499,-6103,19987,-10212,17165,-10490,16644,14647,12289,-24110,32,-1,61991,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-15720.57957010179,16720.358000624023,-3782.1592128130433
36500,-23553,32256,7162,6176,9217,3586,18747,-19200,-21294,32,-1,62017,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-28087.61720070395,29273.125606344,-810.842908291369
36501,22279,-2807,24811,11024,-9717,24588,319,22527,-10799,32,-1,62042,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-12387.163981739373,14096.625152197517,-27706.71649271943
36502,4138,-22254,-27407,1543,-1519,32263,22848,25084,-3632,32,-1,62068,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-20862.164172308396,25898.969080243092,-12550.72570125982
36503,10278,6924,4838,18193,-9976,-27395,5954,5882,19665,32,-1,62094,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-12482.300516342342,2112.627939427333,-4088.3102877925858
36504,-5091,-16647,-11812,-26346,-1536,2045,12869,-31495,-5423,32,-1,62119,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-11245.814526038845,17668.217593665235,1982.4168857311759
36505,-31195,-3854,-7451,23571,-5886,14846,-17477,10489,11730,32,-1,62145,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,1727.295219954082,-10415.965279662913,30529.04945320081
36506,-17371,8436,14829,-20461,6665,3578,-27458,-10249,-23086,32,1,62170,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,16981.509275868102,5943.778949945036,-16404.780172492283
36507,-32472,-24336,-29452,-17127,2568,-22029,-21567,-3339,-20525,32,1,62196,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,34960.43177290748,-15154.230519764264,32591.555526021246
36508,-4331,13029,-10514,-27101,18177,-25620,-32059,5108,-811,32,1,62221,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-4331.0,13777.964438208614,9511.40015662567
36509,19204,-30754,-20510,3363,-26113,7402,30153,24050,9945,32,1,62247,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,7428.380712684804,-40978.01665989842,-939.9694721104706
36510,-10751,12255,30684,29207,9473,28905,-2613,5104,9948,32,1,62273,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-16121.017009209143,-2425.2497992556428,30684.0
36511,-16379,-9254,-10013,-27637,-12289,-19479,14028,-18963,21215,32,1,62298,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-18474.584701661905,-10453.29581158254,1893.846027709429
36512,19187,-24098,-3856,26122,28414,20972,-3638,-19989,-4894,32,1,62324,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-18450.8272811939,-24098.0,6525.08066153599
36513,4869,10715,11509,800,22773,-26118,-23348,-12054,4837,32,1,62349,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,-2559.3894076245833,-15713.831316052547,4183.359682215401
36514,9202,27107,30171,-4591,487,-30461,-24116,-6675,-28950,32,1,62375,2020-11-02 15:38:57,2020-11-02 15:39:27,3,DF:DC:EF:28:D6:3E,32,32,40107.02161111332,-7375.706796918128,8171.980220949179
