id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
48268,29682,20988,30209,18688,6400,31232,17900,1308,21734,42,1,41139,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-25851.163140705346,28979.182459887597,-26944.85660064236
48269,-13583,22267,-17407,-7681,-29441,18944,27628,3612,31718,42,1,41190,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-30442.36518338145,5159.585894465392,-5473.746654648745
48270,-20236,-5891,-2559,-14593,9471,768,-22292,28,-15130,42,1,41192,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,13395.84058708182,16123.836804397739,3364.7287662812178
48271,27122,-13059,-11518,-12801,-26626,6656,3821,-7397,14823,42,1,41216,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,1742.9451453038769,27572.34576016546,16599.174090970537
48272,4593,-9731,-12542,-19457,11007,2304,28397,-15589,-22041,42,1,41241,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,15459.632596781008,5366.580369480104,-2299.85849792044
48273,-19982,-23298,1539,-27905,-16384,21760,24301,-12773,-21785,42,1,41267,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,9047.904641188828,-15269.275065395532,-25088.449724549417
48274,-6156,29437,-1790,-17665,-3840,6144,3565,-5349,25831,42,1,41293,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,26301.82518441588,-14582.43110624654,-1790.0
48275,-1295,-1799,29954,-8449,22272,-6145,-12052,-2533,11495,42,1,41318,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-24908.45420087525,-12823.71870299928,-10829.436271073702
48276,30190,-518,5891,-9217,8960,6400,-18452,-485,6119,42,1,41344,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,15180.659956122372,26130.258580605325,-5758.945633298213
48277,-4111,21503,-26877,-9985,16640,15872,-21524,3100,4327,42,1,41369,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-4111.0,-25080.69111102443,23573.52479781885
48278,26612,-13060,-17406,-5377,23808,22528,-21524,7196,5863,42,1,41421,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,7628.40217998774,31264.064685186153,-12087.047594051013
48279,25327,-2311,-14846,1792,-7169,14592,-17940,9756,9703,42,1,41423,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,14061.825540431717,22256.842280857378,-13194.6731735008
48280,8176,-29954,-13309,-1537,5631,24832,-532,9244,27367,42,1,41446,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-18236.495577002395,24711.592259267163,-14070.750160588435
48281,-13581,-13827,-1790,6656,3072,-31232,18925,10012,-17689,42,1,41472,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,9381.064452153654,-12744.92000409146,11331.20619501068
48282,20207,16378,-21246,12800,5120,-4864,-31251,16412,-3353,42,1,41497,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,391.624196800537,25019.124413009762,-22401.88146327936
48283,9968,9727,8452,17152,-21505,16129,-2323,24348,24296,42,1,41523,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,15801.2736535885,3413.8531439057815,2019.21138969018
48284,-14861,-9475,-8702,-26112,25343,20737,-18706,28956,5609,42,1,41549,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-13758.74380131966,8152.152595152255,-11427.559979059402
48285,-3602,-24326,19458,-31744,30463,20481,31983,-31716,-13079,42,1,41574,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-394.1423823813948,-29116.585307855945,11636.647102699224
48286,26608,24063,-6654,-15617,30975,21249,8432,-25828,29418,42,1,41600,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,16477.955197402687,9868.538095214775,-31022.222637581668
48287,-6159,-26113,-32254,5887,-20994,-26879,-4368,-24036,26347,42,1,41625,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-6438.435762567027,32495.346196366303,25743.767915936467
48288,-24337,-9989,29442,-30722,-6659,-31999,-5391,-28388,-24340,42,1,41651,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-17402.625461511798,35431.15795053984,-826.273157157415
48289,16113,25598,-18430,28670,-18179,22785,-9486,27420,-8979,42,1,41677,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,5777.249953500215,-12102.558070233252,32782.659198597874
48290,8945,-20483,-27390,27646,-32514,22017,-23309,17436,-3858,42,1,41702,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-8516.55308690906,34117.402632633515,-3639.996582502692
48291,-25103,11772,-13055,15614,32767,-17151,12020,19740,-14353,42,1,41728,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-4950.0456510157455,-27569.742487312855,-12433.019152085155
48292,-4620,26620,-17920,-31235,14847,16386,-12812,25116,-14352,42,1,41753,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-31421.059537134974,-2880.3532849070198,7450.891390830014
48293,25845,28155,30721,28924,-19715,-22527,-31499,20508,2290,42,1,41779,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-20546.5514865843,-21472.60381020914,-39002.74860338605
48294,-23306,28666,11265,-12293,31485,28160,-15115,2844,-3854,42,1,41807,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-23306.0,-1686.0297032690796,-30753.81415108855
48295,-13320,12793,23809,-32005,5119,-21762,8437,-15077,-1038,42,1,41830,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-15942.709315776663,-13122.495278320097,-21944.973623659585
48296,27646,-30986,-25342,12540,-6909,27132,755,-14309,28401,42,1,41856,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,-30992.427441821404,11521.344867451899,35684.429793800475
48297,-22521,-31759,20230,28669,-21241,3831,16366,-7397,-5908,42,-1,41881,2020-11-02 15:51:26,2020-11-02 15:51:56,2,DF:DC:EF:28:D6:3E,42,42,6024.858420011398,-18967.942574909357,-39102.437999359565
