id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
4740,-24842,31491,-6668,-10241,3840,2304,-9798,1043,-21572,5,1,24826,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,26202.688265849945,-7783.905266544357,-30101.498558114225
4741,-14346,-14337,-9999,-11777,-1,-6657,-11334,1299,-20804,5,1,24878,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,11921.907266454784,18022.96709028283,6661.686752815282
4742,-11023,-3590,21489,-7169,-15361,-12289,-12102,2835,-19012,5,1,24880,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,13880.985719007462,-19267.79727848242,-5678.201608257346
4743,7924,-32511,-19978,-14593,-11521,-3073,-12614,2835,-17476,5,1,24903,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-8499.016752544725,3471.9585141527587,37875.95014406855
4744,-7178,-6911,-28174,-26369,9472,-1793,-14150,2067,-16196,5,1,24929,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-17692.64467183377,15991.179213051742,18008.675489671477
4745,3058,24059,753,20479,11520,-4609,-21318,19,-16708,5,1,24955,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-22833.806794635526,7087.0281536072325,-4140.67062385248
4746,-19722,-12796,-16139,-8962,256,-11265,-28998,-3822,-14660,5,1,24980,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,18979.092156087554,13003.347958416913,-16848.419029780525
4747,-4619,19198,-21266,-20226,13567,29183,27834,275,-9028,5,1,25006,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-26597.75165504609,-11589.022944571077,-628.7090636360335
4748,-2826,-11262,-18701,12542,-20483,30974,22458,14355,5821,5,1,25031,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-2652.151889049981,21389.27000678612,-4473.425972809693
4749,18685,516,29934,-1028,-12293,-30468,29370,-23533,-18243,5,1,25057,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,10171.445133872206,-27692.547772165137,-19367.610559255343
4750,27645,-7681,30705,-3334,3062,14329,-10310,-19180,4287,5,1,25083,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-30621.627404813025,21687.30457715328,-18921.352125537705
4751,-12283,15112,-20492,-13575,13815,-7947,-69,5142,-26175,5,1,25108,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-3408.094714025665,-19173.66744835819,-20492.0
4752,19967,-25343,1255,30458,-28416,25075,-11075,17174,-9020,5,-1,25134,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-4312.802299947387,-16671.66168871061,-27312.61971797556
4753,19457,22276,-3628,-17417,-1021,25582,-15425,2837,-30776,5,-1,25159,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,17571.95160707063,15092.434498405364,-18745.728756975852
4754,-6147,15863,-9275,20973,-25863,-11037,-4159,-12525,2510,5,-1,25185,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,10991.788238063484,15863.0,-1729.6893737227192
4755,-26130,-12316,4056,-9505,2791,5340,-7228,-3309,15575,5,-1,25210,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,13821.274313650229,-22411.061349270527,12555.022801495228
4756,13537,13015,16881,-1829,3557,8162,-6969,-27884,-8479,5,-1,25236,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,12340.784080767618,20085.96734421367,-9048.078200317163
4757,-27436,11219,23810,-286,16098,7665,27850,-15595,1771,5,-1,25262,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,33289.482882501776,10686.239630812908,-14937.562350278737
4758,8148,14031,5633,16111,27366,-4346,-1076,29464,-17935,5,-1,25287,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,5039.469187527935,-13454.475779743614,9411.184080669605
4759,6118,-12607,-26367,-21518,-11791,-12003,29643,-24548,21746,5,-1,25338,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,4577.884280897323,28499.260905961695,-7643.308532607873
4760,8954,27593,-241,-12297,27643,-15320,20032,-32481,-15141,5,-1,25341,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-27514.29687135177,5440.804763775006,-7413.970407116905
4761,-21502,-26919,2570,-10237,21242,9254,-1237,-6117,4295,5,-1,25364,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-13780.160611733036,-26919.0,-16704.732189258273
4762,1540,28384,-28160,-26102,-12041,8227,-27865,7191,-12096,5,-1,25390,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-11805.620246038878,-32424.511398524715,20255.543615841514
4763,25606,25822,-29696,-12531,-7433,-17885,-25562,12562,12477,5,1,25415,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-15393.45443934421,20189.04495019091,-39493.53567893111
4764,7183,7381,-14073,-6127,-3586,-23002,-20185,-14836,1723,5,1,25441,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-14710.533605831728,-9293.116490834398,1167.118639846486
4765,-14318,16336,2585,-18661,32261,-6107,-17366,-6906,9914,5,1,25467,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,11333.558461266106,-11606.209219808627,-14676.464327319874
4766,11033,2761,14082,18235,-18444,-31459,8753,-21758,-10685,5,1,25492,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,-15374.58134962564,4774.076178651829,-8275.468504210055
4767,-20186,26573,7355,-7358,32762,-3568,-30405,-28415,10560,5,1,25518,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,17993.53468659107,28920.66977571116,-2742.7211317796928
4768,18216,-2326,-4934,-10975,30465,4353,4931,-32512,1343,5,1,25543,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,435.857999210205,-2326.0,-18867.35381033929
4769,20496,5859,24801,-25835,2802,749,28602,-22015,-11456,5,1,25569,2020-11-02 14:54:10,2020-11-02 14:54:40,3,C7:F7:8F:B2:48:BE,5,5,3182.300727587688,22694.604207901422,23330.910825038474
