id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
7086,-25619,-26366,-29450,-22533,6912,26113,6464,-8169,-30463,7,1,47111,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-4935.626108611921,20456.791624826255,-42142.1509694798
7087,12526,24574,13045,-1798,-26114,-7676,20542,-6633,23040,7,1,47137,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-29424.32286332343,5967.449274173989,5436.262520800703
7088,-29201,-9214,4343,20476,-27137,20742,5948,-24297,-28418,7,1,47163,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-3268.139801813814,16991.20122314325,25633.497405357226
7089,4846,-26622,19446,10493,-25346,-20219,4922,19223,-13316,7,1,47214,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-23352.848471719917,12945.70690555937,-19935.261647950378
7090,12268,-14849,-4876,23805,-3,-17916,23864,2327,18683,7,1,47216,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-12994.17559843039,-4224.321909773358,14424.926548158397
7091,-10762,28933,-15113,-22532,4857,-15867,-2251,11031,1273,7,1,47239,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-18531.88440915466,28933.0,890.3219899173855
7092,16891,12042,22007,11515,-24070,-13306,1331,10775,21750,7,1,47265,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-29067.212938316625,-8020.297833703105,-2322.8535591500276
7093,-535,-1021,-519,-31750,4605,26118,28208,-19434,16884,7,1,47291,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-404.7938628086625,224.65237699631302,-1176.3078840772716
7094,-1553,-764,19194,-10502,-9478,517,22062,10774,-19214,7,1,47316,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,16474.54447175566,4320.427710939912,-9018.227644204128
7095,21510,31244,2299,6652,28923,-11774,23596,-2539,8689,7,1,47342,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,27342.72832689029,8005.814767092675,-25148.263847766353
7096,31991,28936,-8710,1278,-15365,-26881,-3286,5398,-3089,7,1,47367,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,31991.0,28936.0,-8710.0
7097,17894,24579,-27654,29951,-26373,20477,-7639,-29674,-8210,7,-1,47393,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-24120.89069383362,19076.508274526353,-27264.182679626734
7098,27380,8454,22012,-30720,14589,32251,21289,14359,13038,7,-1,47419,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,22971.039348382787,-22616.480436120753,-16324.48541111226
7099,-31228,14860,-13316,-30975,17918,-31751,22313,9240,-275,7,-1,47444,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-4015.0660186133246,-12832.134472157426,34533.1581201987
7100,24310,29960,-10501,15618,24063,2807,10026,24089,-29202,7,-1,47470,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-32697.366821509408,-22317.232228523368,5627.792604371079
7101,25315,-12288,22523,29698,-24322,-19978,18987,-15078,25583,7,-1,47495,2020-11-02 15:03:04,2020-11-02 15:03:34,4,C7:F7:8F:B2:48:BE,7,7,-596.3420952389461,-14438.900252645726,33019.573492090916
