id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
15341,25593,16123,32241,-20995,14587,20220,3520,17928,8122,14,1,7308,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-24798.31573278249,-8780.386664497077,-35530.03244917114
15342,15092,-22795,-30993,-12803,2044,23294,-3393,-10744,-17734,14,1,7333,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-37108.18681868971,17735.783288614017,-4046.109263050481
15343,-8451,3323,18930,23038,21501,24320,-15425,19721,-3142,14,1,7359,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,6828.323640237735,15830.144351964002,11982.78582217644
15344,-30211,13308,25076,-16130,7422,17921,-29505,-21751,-6726,14,1,7384,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-2413.124459765688,-33759.68292857286,-23938.959875147182
15345,12797,9980,28916,-7170,-22786,18689,21695,-3831,-16198,14,1,7410,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-18019.906272868484,-5826.556694617644,-27218.245351261005
15346,17662,15356,4852,767,24830,-4608,9663,13066,-22854,14,1,7436,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-6120.810192925159,-5129.163899543308,-22528.254354783134
15347,10237,23290,14321,13055,4605,32257,-66,-25334,-27974,14,1,7461,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-20336.47176371776,-12085.037123168724,-17108.21743885505
15348,-20235,28918,-8979,13823,11261,17411,-15170,11531,19898,14,1,7487,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,14821.072913302662,18290.205176236646,27787.27374734219
15349,-20754,21749,752,23551,-28675,9221,23742,-20725,18502,14,1,7512,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-20783.04442052253,16747.483528165954,13852.793259425958
15350,31476,16377,-8715,-7425,24571,26374,-8003,24588,25157,14,1,7538,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,5448.388346663027,3990.3130426231764,35906.66228217011
15351,-29189,-519,-7434,14337,22776,-12025,28093,-27891,21060,14,1,7563,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-22077.116162795402,8487.288086097858,18657.393196210964
15352,27381,16117,-31505,-4607,2042,-24567,-6724,-8946,-6334,14,1,7615,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,6918.034646038521,-43723.33096242332,6515.596763659116
15353,30447,30965,-16398,27138,8441,13579,2492,-3057,-192,14,1,7617,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,30447.0,30965.0,-16398.0
15354,-19461,-1543,8186,-8444,-29706,-3829,9147,27153,-15554,14,-1,7640,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-11331.144859128815,-6203.129994262188,-16770.45916055143
15355,31229,13305,-24072,-9977,-1543,-23029,28602,-15854,20284,14,-1,7666,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,21763.811367682254,24084.19143468014,26038.872627086304
15356,-21768,-25865,27125,-9463,-14082,-18166,-4679,13075,-13767,14,-1,7691,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-37552.85461798048,-19900.942039602392,8505.603445800203
15357,22008,10746,-22021,7437,8701,1800,10426,31763,-21193,14,-1,7717,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-5456.901535914087,-25359.989303208342,20293.993918607965
15358,-30471,-5384,-19976,28943,10493,31748,26811,788,22326,14,-1,7743,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,31802.86568193024,7182.527902583111,17131.809605109396
15359,18684,7163,-19464,-2800,21506,-25343,26813,788,-19915,14,-1,7768,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-21236.505333821166,16581.49660468843,7301.543162598654
15360,7676,-10246,-2573,3345,-17147,32509,2496,19731,-22475,14,-1,7794,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,6436.6859960156235,11267.100728479945,1464.0135118854053
15361,3839,-9734,-10512,-27377,-27385,6139,-14910,3858,54,14,-1,7819,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,3839.0,-5507.761243841682,13225.636698504746
15362,-2563,30715,-11793,-8693,4109,-18951,-9020,6672,4406,14,-1,7845,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-28494.942129490413,6671.91800090039,-15250.535276712546
15363,-24315,4860,29929,14088,26127,-15624,5574,-29427,-22731,14,-1,7870,2020-11-02 14:34:01,2020-11-02 14:34:31,3,D7:F2:3B:06:4D:C8,14,14,-20898.36775980745,-7888.118196368341,31805.969287163112
