id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
28323,22783,-22781,-12020,9472,-31488,-22528,9991,9984,-22561,25,1,17126,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,8883.225217187199,3482.5985234004656,-33037.54329948791
28324,-19201,12548,-2804,-23041,-256,31232,7431,19200,-12321,25,1,17153,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-131.3321810929333,-22248.44015776418,-6243.619415418881
28325,768,-5117,-5620,30975,-513,-5889,2311,18944,-11809,25,1,17177,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-4006.4288239025386,3541.9338805864118,5455.377664704525
28326,30719,4099,6669,30207,23296,-21249,-3066,22016,-13345,25,1,17203,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,15991.24476214028,25091.618623348437,-10937.325487419432
28327,27134,-16124,31245,-30977,-11008,-4097,-8698,26880,-13601,25,1,17228,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,32955.98196752929,29765.606687916952,631.8766146312446
28328,-1023,14597,-17396,-22017,-24320,10240,-13306,29440,-11553,25,1,17254,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-22193.932629460018,4113.325943386717,-2692.518917751921
28329,20479,-9722,-32242,-21761,19456,-13057,-17146,30720,-11297,25,1,17279,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-29658.65729374332,-582.8006401902476,25951.448513446798
28330,-12030,-8190,27148,-14337,16896,-23297,-20218,-32000,-13601,25,1,17305,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,22540.20221047489,20561.45233529637,4239.9134630601075
28331,-9985,-2297,-27634,-10241,18944,32511,-22522,-28928,-17185,25,1,17331,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-11345.998095566994,-20884.910257027605,17427.083541754575
28332,11263,-30969,14095,-7681,10496,-27137,-23802,-25088,-20513,25,1,17356,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,33102.32795278633,-4953.73182372882,12817.939776920357
28333,3074,-14585,-11251,1536,7424,-19201,-24826,-22784,-23585,25,1,17382,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-12009.516681678699,-13706.773242935222,4080.757079174904
28334,-25345,-28416,19468,26368,4096,-14081,-22778,-20992,-25889,25,1,17407,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-41177.97706830577,435.47383869918144,11533.675567566988
28335,25084,-3325,5902,30464,-12801,-21249,-17658,-21760,-28705,25,1,17433,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-10784.256938438,-21915.753111592257,8859.788532323224
28336,-16894,-13564,524,22272,1024,-19713,-14586,-20992,-31777,25,1,17459,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,-1610.422727900945,16134.7346628336,-14378.483369167137
28337,-27397,17922,13582,-4609,-11777,-22273,-12794,-20736,30687,25,1,17484,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,13263.284449309624,-27591.23977302652,17862.619919935067
28338,20482,516,-2293,-18689,-13826,-25345,-16634,-26112,24799,25,1,17510,2020-11-02 15:45:16,2020-11-02 15:45:45,2,C7:F7:8F:B2:48:BE,25,25,6770.544192503237,11357.435871614945,-15817.863659783981
