id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
33030,-5113,-27645,-19701,-6145,-3329,26879,-32250,2547,11306,29,1,17269,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,-12060.757818331052,1667.8593618790837,-32097.89028887348
33031,-27128,16643,9227,2816,-4097,30207,-28922,4083,4906,29,1,17295,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,-27128.0,-4127.004529652304,18576.7276884878
33032,-8441,-12032,10762,-1025,-19969,-27905,-26618,6387,42,29,1,17321,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,-18142.33661646051,-280.0684082729449,-1617.8172893512024
33033,2059,-5886,19724,-14337,-2049,-14337,-27130,7155,-3543,29,1,17346,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,-13484.519997745167,-11079.826065050356,-11105.216242768143
33034,-4604,-27904,-17142,-8705,-27905,-18433,-26874,5875,-7383,29,1,17372,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,20413.323119017765,25976.496325392924,-1481.915616836177
33035,9226,5633,22539,10240,5376,-22273,-24314,5875,-11479,29,1,17397,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,-17266.70757407241,12108.64230766233,-13420.055030310434
33036,-4087,-30975,24843,8960,15872,-12545,-21498,8179,-14295,29,1,17423,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,39072.08464658166,3261.550895552924,-7487.5449999366065
33037,-23546,-25602,28682,-9473,-9473,-3329,-20730,8691,-15831,29,1,17449,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,40699.59087280744,18297.967485573998,6423.498476917861
33038,28422,-26619,11788,-11777,-9729,-5121,-22010,7667,-16855,29,1,17474,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,21855.584331918464,-19567.387306834353,-28192.001995153478
33039,267,-21757,26380,5888,10240,-6145,-23034,7923,-16855,29,1,17500,2020-11-02 15:53:47,2020-11-02 15:54:17,0,C7:F7:8F:B2:48:BE,29,29,6521.777287414139,28051.062383954944,-18437.653271087318
