id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
21237,17138,32764,-6402,-21254,32251,-30720,-24620,-24040,-15305,19,1,43540,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-19533.314774912404,-2861.160385283887,-31913.002352550142
21238,-7433,-14853,-16642,29434,5371,-14080,8149,-488,17209,19,1,43566,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,6514.907093850365,-6967.7636400217925,-21490.07951160927
21239,2029,26107,23552,-17926,-30726,-3072,-11307,25625,-2758,19,1,43592,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,5668.945442065748,33923.9969334951,7577.234563552647
21240,8938,27128,26624,-8965,763,23809,-21802,-12263,-22724,19,1,43617,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-26750.7244133053,19519.617547341062,20689.052133167592
21241,-29717,-28168,25601,-25859,12284,-13567,-29481,15130,8254,19,1,43643,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,24360.2981579708,-22285.917686822013,35240.05193683685
21242,-11799,10489,23553,29951,-32515,4354,17368,-24550,6207,19,1,43668,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,6772.50674342005,-14823.114468859796,23203.184282623995
21243,-16406,23547,-25344,18432,11517,19970,6361,2843,-1985,19,1,43694,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-16406.0,34048.739035248414,6120.695639349406
21244,-4109,-29698,-29185,26112,-17412,26882,20698,32027,12865,19,1,43745,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-20136.64840801644,-36547.63338623024,3066.7889978994845
21245,-30983,-30211,-7426,24064,6141,22530,-21797,-6885,-28606,19,1,43747,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-4511.197767242459,-38930.419567540564,-19795.6513658955
21246,-12561,-24839,-14849,2048,6398,3330,-15140,16156,-19901,19,1,43771,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-31516.17017214493,-1295.0360484263347,-548.9465490175417
21247,-30229,3068,29697,-27649,3838,-25343,-25379,-31972,-24764,19,1,43796,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,34843.04820628847,-2890.2041332376552,24139.70972821492
21248,-3081,22783,12800,-20481,27902,12801,31966,-18916,-26811,19,1,43822,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-17854.17062893218,-7993.385442306123,17599.205388985716
21249,30453,-6662,31745,17920,-4610,-4608,18655,-9700,-13639,19,1,43847,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-16257.900157161328,-40607.642906046654,8137.106248217035
21250,-15126,-7174,-18174,-18432,27135,-14080,-11297,-2020,17338,19,1,43873,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,17679.759102016276,16842.60712124694,-3782.741261835722
21251,-23051,-20737,-10752,769,-30721,-26112,19168,4125,-26438,19,1,43899,2020-11-02 14:39:56,2020-11-02 14:40:26,1,D7:F2:3B:06:4D:C8,19,19,-1617.9316732718048,-31855.802361510454,7717.993716310522
