id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
31782,-28918,-22011,-15887,12032,7935,-18945,-15047,27378,-31521,28,1,14036,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,4714.925092969576,-2696.672715203131,-39289.04493156794
31783,-23542,22277,-19983,28672,-10753,-23297,-10439,32754,-32289,28,1,14059,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,10724.038686259097,19405.973299188398,-30955.031522626585
31784,31242,18949,9457,-13056,20736,-24321,-4551,-32014,-27937,28,1,14085,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-26060.951793654047,1184.1213205972817,-27276.118901100042
31785,-22262,16645,-19984,-32256,11264,-10753,1338,32242,-24353,28,1,14110,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-20995.157540716522,-1156.30652495938,-27016.277316847903
31786,22794,-13308,-18447,13568,13568,-22529,4666,31986,-21793,28,1,14136,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-25791.3650527627,9766.056196465519,16625.00358143144
31787,10504,8964,-11280,13568,20224,29183,4922,30962,-16161,28,1,14161,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,2409.6749194992854,-16275.237972271992,6872.8311290364145
31788,7438,-9722,-8463,7680,17408,-9729,5434,31218,-11809,28,1,14187,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-13095.39730113747,-5252.01894436769,4731.84567936914
31789,22286,-20474,-3599,5632,17664,7424,6970,31986,-12577,28,1,14213,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-17586.75119473754,-19122.798908207387,15931.980960654582
31790,-8697,-15870,6640,3328,-8449,8448,9274,30962,-14369,28,1,14238,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-15748.168793638757,-379.2037188838158,-11110.161708393223
31791,6927,21254,-527,11264,19712,1280,12602,29938,-15393,28,1,14264,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-624.8004951481123,18737.270003577018,12186.792488358678
31792,18190,-13817,-27662,-257,14336,-1793,13882,28658,-15137,28,1,14289,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,25532.74692124807,-18469.50285604529,17144.332355213843
31793,-26098,-16377,-25358,3584,16384,-6913,14906,28146,-14625,28,1,14315,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,18698.16142148112,-30929.01277695069,-16914.929059841084
31794,-13554,-21243,30450,-9217,20480,768,14906,27122,-14369,28,1,14366,2020-11-02 14:50:08,2020-11-02 14:50:38,1,D7:F2:3B:06:4D:C8,28,28,-30899.48598827669,-22225.14480236206,10650.970339566791
