id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
57764,20216,-13318,-8182,-1281,-17920,-3585,-21263,19722,-29997,50,1,27603,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-16813.572952814622,-14428.666541544442,-12732.56652813157
57765,13304,-27398,-27126,512,-8448,27136,-21263,27658,-32045,50,1,27628,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-31400.70576205335,-24025.429764039167,-10012.047657605824
57766,25079,16122,21514,-513,12801,-6144,-20495,-23542,-32301,50,1,27654,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,2682.976007963279,-36493.52252402925,-3570.962689368729
57767,10232,-19464,23050,-19457,6912,-6400,-19215,-11254,-27949,50,1,27705,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-31698.67088017253,2245.2649021637917,-2235.3232315737714
57768,-19719,-15107,-24823,-25601,8449,30464,-21263,-1526,-26157,50,1,27707,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,4221.694963140255,-22409.434592589223,26706.48370487327
57769,-11274,-30467,-27894,-28673,32257,-11777,-28687,8715,-32557,50,1,27731,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-27952.29255859761,-30664.058869091736,-10573.610329090301
57770,-22788,22268,-2808,6400,3841,-28161,29425,20235,18643,50,1,27756,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-19751.083732945062,-845.1145740293223,25144.027217829607
57771,28915,-28164,-3317,6656,5890,-15617,24817,28939,6867,50,1,27782,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-21113.467237638717,-3456.3335892082805,34388.455465828454
57772,-13582,15096,22283,-21504,4865,-15360,27121,-19957,-1326,50,1,27807,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,17113.763287529586,6996.425902389479,23813.04599858611
57773,4596,-6920,-19190,-19968,-2304,3329,-28687,-5877,1747,50,1,27833,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,12647.55375502921,16438.814507380102,-2659.03696958053
57774,12790,27645,-14838,-24832,-20991,-28416,-22799,11020,-1070,50,1,27859,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,15988.462513148359,-29462.281248111623,-4933.499683066756
57775,23548,13822,13320,18432,23297,24832,-21519,25868,-7214,50,1,27884,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-12059.362825681026,-3065.6057721445413,27715.55912278113
57776,9207,8182,-22777,-13057,19713,-29952,-23311,-25588,-11054,50,-1,27910,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,15372.881845816893,-1936.426487633211,-20746.818026206958
57777,29428,31228,-5110,-27393,-11008,1025,-25615,-11764,-10542,50,-1,27935,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,-33790.62745922365,22004.55225705781,15533.848328034259
57778,29180,13818,3335,-30977,26369,8705,-28943,4109,-7470,50,-1,27961,2020-11-02 15:14:53,2020-11-02 15:15:23,0,D7:F2:3B:06:4D:C8,50,50,16373.253357478858,-24164.224106946418,14196.429015815107
