id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
64857,30466,-1533,9997,-18689,-31488,9983,1029,-26628,-27862,56,1,23881,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,9231.469014553473,-8343.076581037705,-29591.220099824866
64858,15362,-8189,-18163,-23553,-21248,-32001,-1276,-19204,-32726,56,1,23904,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,4265.693609006693,-14448.604925450665,20149.119279569568
64859,9473,4869,31502,-21761,17921,12288,-4604,-10244,-31446,56,1,23930,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-10736.461332299756,-19129.985149987002,24991.857878543342
64860,-13056,-7164,-25842,6656,-32767,-20480,-5628,1277,-22998,56,1,23956,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,13955.704190381315,-5198.110478873396,-25842.0
64861,-18683,19719,32525,-9216,-23807,28928,-252,15357,-13270,56,1,23981,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,2387.447263927863,-42168.049364086604,3453.227966688404
64862,-10491,1544,24076,-31743,3841,26879,12805,26365,-13014,56,1,24007,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-26057.766580890922,-2786.238978926146,-2308.3470640518644
64863,5119,10753,-15859,-13311,-26113,13567,32005,29181,-21206,56,1,24033,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-17212.643069321304,9826.652521436921,707.7215491156389
64864,21254,24327,-23285,-17151,-24065,6656,-14843,25853,-25046,56,1,24060,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,26617.00353425307,17062.478127209914,24210.196880984742
64865,-24829,29704,-3829,17153,30464,3073,-763,23549,-18902,56,1,24084,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-14743.870836996517,-32105.95563147856,-16287.847731713779
64866,-3580,1545,8715,19457,18689,32257,9734,28669,-2774,56,1,24109,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-6777.501774219016,-6498.652570034542,-1728.4775018615503
64867,24327,-7417,-17399,-8959,26625,-32767,23814,-28675,15403,56,1,24135,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-2085.0539769441684,24547.74420660045,-18509.479281723274
64868,-14333,-12031,4107,22018,32256,26369,-20986,-25859,31019,56,1,24160,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,14126.30348886381,-3722.299908618383,12395.13340512371
64869,13821,32515,-23028,-5119,-769,12801,775,-29699,-21205,56,1,24186,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,22568.377788565645,-29626.63903544407,-19785.46520696641
64870,-18168,32266,-23033,4865,5632,257,14599,32509,-10709,56,1,24211,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-16626.744537032446,39806.191219588625,-6380.327240025152
64871,-29436,-31485,-3321,15872,15360,8961,19719,29693,-725,56,-1,24237,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-7241.940544946408,31638.57330223184,-28554.637776423704
64872,29178,24068,-5877,13567,-26880,31233,16903,27645,12844,56,-1,24263,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,19847.61079422119,-32141.300052260856,6178.39896022028
64873,-14073,-26871,2822,-10499,-18175,12546,-762,-31235,-30164,56,-1,24288,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,25402.49478628455,-8855.361204828529,14295.436004711572
64874,22528,-10753,-5372,31228,-2814,-6142,31238,-15619,2093,56,-1,24339,2020-11-02 15:20:10,2020-11-02 15:20:39,3,D7:F2:3B:06:4D:C8,56,56,-17365.388399673233,-8201.560683776452,16827.770650886192
