id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
73103,29942,28650,1025,19693,28686,29704,-16949,8724,17475,63,1,5628,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,7592.589090543457,10019.379747814231,-39501.40642269907
73104,19954,-6682,-12545,-22806,-28916,-12534,-9275,31251,-29633,63,1,5651,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,15504.511860579854,2471.5993657796944,18806.636422822026
73105,17149,22248,8192,9447,24329,-2549,-7489,-20462,15164,63,1,5677,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-10972.837112806032,-21474.1592919365,16571.90083847849
73106,-23305,3309,20482,-13339,7944,-32502,8634,-19439,-23239,63,1,5702,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-2112.640869257497,26078.43130135593,-17001.0881833488
73107,11003,-3350,-3329,12261,-27896,-11513,-18623,22800,3384,63,1,5728,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-10361.085573481952,2846.6863567801943,-5283.467850295454
73108,12034,3057,-3327,26083,13064,-17917,17213,-6130,-25289,63,1,5753,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-266.02820554195387,4219.778969807083,12138.946759905903
73109,-2565,8426,25863,29665,-14841,13056,7737,-14579,9784,63,1,5779,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,4710.07619889869,-24517.726926871714,-11098.095266302134
73110,-514,8172,19979,-14880,25862,3582,1077,8973,13369,63,1,5804,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-14311.364275225707,11633.602095829669,11227.215855130824
73111,29180,19951,-12788,12511,20486,-773,-11472,-4596,28218,63,1,5830,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-34156.87972154127,-9055.960443973298,-12819.707216834318
73112,24580,-15123,-28145,-14628,-21498,8694,31276,32525,3644,63,1,5856,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,722.014234565162,-31278.7469411544,25419.30839413829
73113,11000,2288,19482,12765,6152,-30227,22312,27407,17726,63,1,5881,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-6382.730471767621,5974.9279162984085,20720.623931720947
73114,-3342,-5644,-25313,-8477,-14587,4077,-16092,19218,10048,63,-1,5907,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,20373.898329701082,-6522.771954922913,-15037.598939826617
73115,19437,-32006,-26601,2538,-20736,-5647,11041,-6636,30528,63,-1,5932,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,17720.078550166065,-41955.396296470804,-5961.354190285037
73116,29938,4605,-28650,30957,18690,-6157,-25827,-8682,-3777,63,-1,5958,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-2515.15382237829,18672.36261649521,37193.1343740735
73117,12275,-11778,5144,25587,-12281,22000,16667,12057,64,63,-1,5983,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-16793.005719813977,223.95147726093637,-5813.987412278063
73118,-1044,17153,6678,25081,-29944,-13330,27418,7196,-26560,63,-1,6009,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,14570.050802230404,-7448.445427267376,-8493.839493270687
73119,-2584,-24063,22288,26620,1029,15603,-3816,-31458,-10689,63,-1,6035,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-9096.735439988517,-30368.852571175987,8800.123115333936
73120,-28437,-26624,-29941,14846,27398,6902,16664,22816,-31425,63,-1,6060,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,-29215.924077122574,36271.69695442049,15644.730945800646
73121,4587,-30208,19978,-5378,3334,-4106,30234,3362,-3263,63,-1,6086,2020-11-02 15:32:39,2020-11-02 15:33:09,3,D7:F2:3B:06:4D:C8,63,63,4587.0,10588.521860747042,34634.18763020842
