id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
80227,26374,-22273,26895,-23040,-260,6140,32508,-28417,-10705,69,1,59020,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,18923.89840468206,6567.340255098317,-38907.21708299164
80228,-25853,-13826,25869,-23295,15612,26622,-18948,-2050,-31953,69,1,59045,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-23959.606221355665,-19872.857784423428,-23658.9906631212
80229,16126,4864,-22515,1,-18691,-21504,-4868,31486,-28369,69,1,59071,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-20783.35660562307,16622.048763598512,9076.958747513232
80230,-15870,-3585,-1266,5376,-2561,-31744,-1284,22782,-18129,69,1,59096,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-15882.996443105358,1357.1733306544384,3492.9050286062566
80231,-15101,-16643,9487,-29440,28160,-4097,1021,27134,-19409,69,1,59122,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-5012.618278558048,16096.707119347351,-17629.59151277811
80232,-22782,-23297,-12015,15362,27900,18686,15613,4094,-28369,69,1,59147,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-714.0957927029913,-30719.724503717953,-16183.897911643991
80233,20993,32511,31758,-2813,-12802,-16642,-13571,-20483,23087,69,1,59173,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,21254.160793108393,1127.6543092100546,45312.58962738296
80234,32001,-32257,25867,13315,19454,-15360,23550,32509,22831,69,1,59199,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-7600.56664868034,-39988.38428932449,32815.244133607695
80235,26374,-22273,20234,-10495,-24577,-22269,-22018,19197,-15825,69,1,59224,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,34503.945330373004,15544.56988799982,12997.433001778478
80236,4875,8449,1033,-22272,29950,-30718,-15106,14589,20016,69,1,59250,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,9674.923803565509,1223.640642831076,-1056.8197445229114
80237,-11770,30465,-11000,-26368,26362,22524,-7170,-32516,10800,69,1,59275,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-24227.20362014926,-24398.11903601158,2328.844617495113
80238,-12291,-6912,8201,-6147,-5123,-16390,-3842,-13573,25391,69,1,59301,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-3699.9976111143587,6290.633678704941,-14588.994879637568
80239,24572,-1793,-10226,2042,14847,22014,21246,-15109,-7122,69,1,59327,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-7666.3126144355165,17895.776622317055,18235.6228021386
80240,19454,-28930,-20461,25853,-7429,16642,-25347,23803,2863,69,1,59352,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-6267.9545533196215,34394.845808079815,20291.940877006673
80241,11266,-5379,32271,-26878,-16132,-26877,-27139,-7942,-23761,69,1,59378,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-1997.4946804717256,34297.79245513344,-4116.465195538339
80242,13571,-11009,32267,3,-3,-18173,-3843,-32262,15152,69,1,59429,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-4467.78790737535,36216.8992388146,-3860.63359311153
80243,-15100,4095,-23030,20225,14843,24580,5630,4090,-5072,69,1,59431,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-15100.0,4095.0,-23030.0
80244,25861,-15362,-10740,29696,-32515,3077,-1539,32249,-17615,69,1,59455,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-19626.04138737225,12719.664971675982,21752.208795188373
80245,-30712,-32513,-9715,-21248,-3073,-24315,-13315,29689,-25550,69,1,59480,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,23204.817940459394,-34051.92218680869,-19917.488740643483
80246,26889,-29441,30475,-17151,-11266,-32763,-16643,27897,-32461,69,1,59506,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-46331.198256280935,-15742.290702544466,11140.771004458016
80247,18441,-20737,-14072,16898,30973,-24316,-11011,9977,21812,69,1,59531,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-14814.416433030605,25390.131003771217,-10197.506918854646
80248,-30456,17408,25863,-1536,-21763,-25341,-7683,-15624,1077,69,-1,59557,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,13287.478590296847,31168.54662063921,-27412.876231242928
80249,-20984,-23553,-7672,26110,-26367,28161,-21251,-16904,26165,69,-1,59582,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,17609.11357192557,-13628.220631039767,-23624.613661237483
80250,-12281,5888,-9204,-7684,21251,-3329,17661,12025,26677,69,-1,59608,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-12678.61889024623,-7748.875665158572,7029.414624405419
80251,30727,-3584,-4849,8702,-27646,-4097,-5892,-27399,20533,69,-1,59634,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,20435.96936143311,3164.480659526296,-23513.05178861415
80252,19208,26114,18700,30976,6914,19712,-7428,-4359,18741,69,-1,59659,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-23227.49712888765,-26835.655159547547,-11870.520177539196
80253,-26871,13314,29450,-11008,-16384,16638,5373,3578,9013,69,-1,59685,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-25721.80795271512,-15417.581932444573,29450.0
80254,-31481,-30206,-20214,-9986,22786,-14597,13821,11258,-26572,69,-1,59710,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-1825.2945264016853,-45237.62052366834,16195.295065186969
80255,1028,7426,3343,26109,-3325,-12806,7677,-28422,-17101,69,-1,59736,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-1166.7469749809825,-5431.17775933117,-6043.088501992933
80256,7939,-25854,-16879,2047,-19195,-14853,3069,15099,-6862,69,-1,59762,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-31833.012737642737,1725.9903717200414,-194.76981748987055
80257,4613,-8959,-30704,31234,2052,3325,23549,-4869,17202,69,-1,59787,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-2114.0467853132805,17857.918092014675,26849.667290460067
80258,26373,24576,-29172,9219,-2047,9468,-1795,13820,-18895,69,-1,59813,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,40593.93833766486,-19037.90499355033,-11841.065521920464
80259,-17918,-13313,29708,-30720,-26622,21756,24062,-27140,3633,69,-1,59838,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,4641.0799783375205,31185.0460551652,19667.466440085773
80260,21506,11775,13587,-15107,-28668,-32517,14078,2045,24880,69,-1,59864,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-27115.699941525134,-4997.335145454902,5052.790132706377
80261,-6914,16640,13583,31488,1284,254,16126,-15619,-11985,69,-1,59889,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-15138.113741364348,13242.014483213135,-10231.199821129947
80262,7937,-22530,-24047,-25856,25342,24321,21246,-14339,-9169,69,-1,59915,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,9705.651857063232,32446.686170790654,-1366.7320745879424
80263,-7935,4096,5905,-257,2816,-32254,24062,-22787,12080,69,-1,59941,2020-11-02 15:40:59,2020-11-02 15:41:29,2,D7:F2:3B:06:4D:C8,69,69,-5306.8869928840895,7290.561784685165,5770.192831131894
