id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
8262,-32258,-27133,11274,17403,-3074,-30718,21769,-14082,26127,8,1,45833,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,1440.694588083269,-36992.8771709076,-23093.998500086793
8263,-1539,-28669,-26106,-14084,18427,13571,-17656,11518,-25329,8,1,45860,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-36875.76609068084,4910.4064305726515,-11039.433948893562
8264,-12034,-19454,-4348,-23299,26103,-11773,21768,-1796,-18673,8,1,45884,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,14718.034051892815,-17975.78749434013,1559.1387384220802
8265,-20224,8961,10754,13307,17656,-26364,-12025,-32005,-9457,8,1,45909,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-4549.451851549429,18281.847677426893,15812.487038723368
8266,-14847,4096,11780,-9741,-16128,-32506,17158,-14342,-29168,8,1,45935,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,13962.453455569921,3429.6937404887735,-13010.231333358208
8267,7173,-18945,8964,21487,21506,-23546,-22781,-3846,-18671,8,1,45960,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-4275.93609619261,-20832.307121036603,-6200.774186832208
8268,26906,-20997,262,-22803,-21514,13315,-17408,6906,29714,8,1,45986,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,24737.554647234716,-10214.952511474965,-21179.79282862294
8269,-29659,11769,-14841,27626,16635,-13573,-17411,-28168,19474,8,1,46011,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-27016.307482988464,17735.614484097103,13927.958639230174
8270,-31974,-24587,-19448,11238,-25334,1527,26106,-2568,-1264,8,1,46037,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-31974.0,1352.840777425039,31319.564090691558
8271,-4320,-13068,-22003,-15386,-30707,-20751,6391,8954,-31986,8,1,46063,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-17108.231621878498,-17454.85759777942,-8729.455310235506
8272,20506,-23564,-10732,-17431,2572,-21522,15348,32762,23563,8,1,46088,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,373.67480871746557,-29499.050243836635,14852.62124505072
8273,31256,-9233,12575,15349,27660,-12310,-24590,27642,-17401,8,1,46114,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,8340.874741478838,4705.858028020541,33594.65967630979
8274,24341,-6166,2075,-28162,3337,-4123,-1038,-28935,-19197,8,1,46139,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-9675.524466565272,4849.117468849214,-22752.576734739258
8275,-2802,10474,31002,24579,4873,4323,-23820,28920,6911,8,1,46165,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,31466.584307725167,-7089.432188050812,-6186.590923590584
8276,9487,-3865,-28901,-11002,16136,-10526,5623,-24585,18938,8,1,46191,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,28337.949473266737,-135.40674149332972,11711.169013592935
8277,-13311,-23585,15906,3596,-11001,2787,17914,24823,26101,8,1,46216,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,848.6045647063329,-31304.661254074083,2394.5429752735836
8278,20974,19671,-30432,-16877,262,-12313,16382,-9225,-2064,8,1,46242,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-14375.454428599418,19485.71487144031,34155.77208789448
8279,-21534,-13354,-26603,-1768,3073,1779,-31998,-27144,11758,8,1,46267,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-19199.878706673197,-10245.992463194885,29599.769882436427
8280,-12571,3043,777,-31464,-12546,-17411,28422,-10504,15597,8,1,46293,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,3116.171058412025,-3442.3530343639277,-12096.830267533755
8281,-1294,21496,4551,-26105,20743,25861,-12536,8185,-12819,8,1,46318,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,3427.514497781779,19041.139391856803,-10495.294566012672
8282,-7436,-26638,-12541,-18694,27406,-6393,-18681,-9478,-13585,8,1,46344,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,29706.11691428328,5791.373034993032,2482.0228130475753
8283,25068,-28953,5145,-13802,-24847,-3318,-13816,17402,9969,8,-1,46370,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-25639.960944591658,-8973.214650868458,-27481.369681827247
8284,30963,-2069,-18185,-6618,27869,21004,15886,-23307,-29712,8,-1,46395,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-21202.265070605823,-10346.05701007577,-27149.685361344986
8285,6902,13795,-10511,9510,21735,-21993,-7916,19952,3055,8,-1,46421,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-9272.499393950675,-1391.2312118648115,16140.197666209591
8286,-4342,-16416,-27430,-27616,5884,14627,19481,6891,21744,8,-1,46446,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-21209.20997294129,-17302.75211354816,17074.164741526663
8287,11820,31963,17330,5395,17143,-7645,4379,19685,-3086,8,-1,46498,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-9256.101570139766,31963.0,-18824.608461353353
8288,17718,-30508,684,-17683,31234,32031,-21225,-1057,17142,8,-1,46500,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-34924.289859091914,3502.00843259828,3628.1343382157243
8289,-10705,-25416,-23600,-28988,-24288,-5602,11505,10466,17174,8,-1,46523,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-22069.768593503984,-28759.616623208545,1827.5248056461987
8290,-31191,19135,24578,1463,20768,10772,30952,-30488,-13293,8,-1,46549,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,34588.317568893915,5898.762663878186,26682.53505176338
8291,-18648,-10528,-30703,19136,16410,15621,-27934,-12309,21006,8,-1,46575,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-1039.3756982354735,-30273.95707532852,-21992.45593741371
8292,25631,18657,-23022,-27957,-3298,-25354,28127,-277,13575,8,-1,46600,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,16265.435358678762,35631.69598167956,928.5192845620568
8293,31254,4823,-5591,18145,29974,27627,28895,5610,32767,8,-1,46625,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,5036.3603938441665,-31102.951288180826,-6210.847055625215
8294,28939,-10538,-14309,-5891,-18694,6624,13792,12774,-22276,8,-1,46651,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,17642.842320797386,-15057.421389213652,-24804.572601662217
8295,13300,-19239,9753,14343,14834,6368,-4132,14561,-9984,8,-1,46677,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-14387.895068369307,-13200.024671460802,-16152.335873625847
8296,26867,27361,-21479,19975,20476,24043,-27448,10206,31510,8,-1,46702,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,10849.415206706108,-42419.29498530246,-3834.1953031095363
8297,20462,-20258,-11487,19215,-9991,-13072,-28365,-13602,-8135,8,-1,46728,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,17700.159736454552,13031.097246666228,21861.519317099643
8298,4843,18907,21539,-17636,1519,18674,28982,-28447,-27846,8,-1,46753,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-11674.584532356777,-26286.6731018504,4191.981898018001
8299,17641,-22566,32023,-26586,-13071,18685,15421,484,8249,8,1,46779,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,26131.72813689759,4185.488382726509,-33845.47588049748
8300,-29707,-26406,15367,7463,-8200,-20469,-25158,21221,-1740,8,1,46805,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,25172.061196276172,5630.329507127604,33920.40829312193
8301,6657,-8239,-32004,-22240,-9980,9753,23751,30694,8493,8,1,46830,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,2800.669841662013,-30498.953416971206,14086.265470571856
8302,10562,-17981,3320,10013,-12527,29984,-22828,25577,21027,8,1,46856,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,3695.09761733653,-18980.977914679923,8483.120652259215
8303,12384,31425,-19485,-20445,-16877,21757,-2082,4331,-16100,8,1,46881,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,23421.109214197237,-24338.153672303193,-19485.0
8304,-5342,19144,-25636,8229,-2064,3564,23524,15336,2077,8,1,46907,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,4285.871170553704,-31914.742247527036,3913.4040914949755
8305,18483,24556,27075,-31214,-28662,-5889,-4889,4327,32029,8,1,46958,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,28790.272662544838,-10758.188742363805,27075.0
8306,14905,-23543,-24646,17149,26383,-7425,-23061,25576,-1255,8,1,46960,2020-11-02 14:26:07,2020-11-02 14:26:37,3,D7:F2:3B:06:4D:C8,8,8,-8450.166194133977,34040.88606535121,12396.368709315355
