id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
11752,-31483,-251,7693,-13313,-12288,-7937,-23546,32248,-11990,11,1,1513,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-3510.840637068468,5924.876687141219,-31670.086410732747
11753,27655,8710,4365,-6913,15104,5376,-25850,-30216,-11478,11,1,1538,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12937.093550769601,-6649.06423303617,-25458.552694204645
11754,-27382,7942,19468,16128,6400,19712,-25850,-30472,-10198,11,1,1564,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-24441.58622502137,1188.6253464167658,24352.583940738226
11755,-8439,29956,-2805,14080,5120,-25856,-25082,31992,-6870,11,1,1590,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-28679.42210385778,12354.535936095032,-1141.4340070673895
11756,19458,23297,-31218,8192,-16129,27136,-24826,28664,-3030,11,1,1615,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-30954.791498730265,8397.924863263333,29448.31469305366
11757,13568,771,24080,1024,26367,11776,-24570,24056,-726,11,1,1641,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,2601.646378434809,-18727.763318700756,20175.078245208948
11758,19719,-14074,-6390,0,-4097,17152,-25082,21752,1835,11,1,1667,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-20435.33726432922,14035.348265052135,3626.9170064692
11759,9995,-17660,22795,6656,11008,23296,-25850,20472,4395,11,1,1692,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-13883.723339007758,-5707.9665360928375,26571.582456992197
11760,20993,13313,-20722,7936,-20737,8192,-24826,17656,5419,11,1,1718,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-17449.641699838972,6980.503783213624,-26346.268682296948
11761,-27391,-17404,12814,-6657,-25857,-3841,-24570,14840,5931,11,1,1743,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-5839.58028111344,-5988.297536839327,33873.35660590363
11762,-12021,-24314,-5878,-17409,8448,-15361,-26106,14584,4651,11,1,1769,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8235.758857931589,20341.17606509786,16989.254054333614
11763,-20729,9475,524,-20737,17664,-24577,-28154,15608,555,11,1,1820,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,14835.167359577465,-6589.8378152240775,16007.294867727343
11764,-7425,-256,-24816,-26881,-12289,-29441,-30458,17144,-3798,11,1,1822,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-3534.2009236541694,23724.047280561856,9783.098765774957
11765,15364,-9723,19980,-13313,-11265,-29441,-31994,18424,-7126,11,1,1846,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-26939.712683122387,1391.1325506424018,1451.2945177868205
11766,6412,-29947,-4085,-513,-1025,-11265,-31738,17144,-10966,11,1,1871,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-19971.425852101045,22631.311102901727,6602.248495604149
11767,-1022,-18431,-19699,-1,31999,3328,-30970,12536,-13526,11,1,1897,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,21047.82680976587,13161.37173484388,10609.624246096264
11768,-8957,18690,13839,512,-29697,2560,-30714,7928,-14038,11,1,1922,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12882.766459269085,-9000.091487250364,19341.524024157326
11769,-12539,-2299,28172,28928,-1025,-6145,-27898,5624,-14550,11,-1,1948,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12802.312306579699,19648.84232571005,-20154.3370236826
11770,9479,-22779,-10741,1025,8448,-29697,-18682,4856,-17878,11,-1,1974,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-6415.641534083166,-22162.435103126492,13848.082069581098
11771,4103,-20219,11275,8705,25856,-27138,-3834,5880,-27862,11,-1,1999,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,7651.253375482051,22073.97409331193,2639.3530479964766
11772,-19193,-3837,28938,7425,18432,-18947,14599,13560,18730,11,-1,2025,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,9562.174241624547,23603.289418700595,23915.501550037967
11773,14855,20740,26636,18177,-18688,28924,-29433,26872,-9431,11,-1,2051,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-33010.33263066406,15025.817520983137,-6696.108454843872
11774,-26107,-29949,-19698,-6143,6912,5115,264,-22536,12841,11,-1,2076,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,15320.130696624077,38492.28967312352,15816.65214761662
11775,-23037,-20222,-20467,-14589,-25600,25083,-21752,-2824,31784,11,-1,2102,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,9892.917691902401,26950.247622182003,23115.905230907953
11776,18947,-26622,15626,-19196,-22271,-31748,32521,23545,-729,11,-1,2127,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-35059.13567297085,7432.496014484193,-5244.671377588822
11777,-2045,20228,267,-30717,-15358,13565,11530,-8455,-18393,11,-1,2153,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,15101.627010451966,10900.832466031934,8157.083497469653
11778,12293,-23802,-10483,-11773,-24575,-24067,-15862,23546,-30681,11,-1,2179,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8219.713512441052,-26472.05417074653,-7694.99835961354
11779,-31228,29705,-14580,20229,22528,-15876,-28661,-20742,13607,11,-1,2204,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-31810.344772390636,15662.172415578447,-28512.27331670229
11780,17924,-3317,-245,12035,-10243,-13316,24588,-17670,-23514,11,-1,2230,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,10344.463140629648,-15010.37336452611,-114.29693643984947
11781,-28158,-20723,-26355,17408,17919,9213,-17652,-10246,7974,11,-1,2255,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-35545.691725737444,-24272.099869034202,-8016.900004769332
11782,-24573,-18163,13841,23550,23294,-24066,-20724,-8710,-15067,11,-1,2281,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,19750.76800515355,-4746.289167500701,-26696.06864961709
11783,16900,19470,-4844,15614,2557,29694,32524,-20742,24869,11,-1,2307,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,9751.473840853461,9947.417772694553,22228.649837240027
11784,15877,32526,-8430,11006,27898,-22786,26636,14842,-12508,11,-1,2332,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-15154.10383802251,33307.16133011489,-6486.204282639506
11785,-27385,12814,-9709,18682,1275,10496,-2293,32505,16676,11,1,2358,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12293.480107845371,-3930.2717876559345,-29014.21742031251
11786,-31225,-27379,12563,29432,-24836,-9215,-3574,-2568,8484,11,1,2383,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,6167.694592322736,-41067.868332990365,12563.0
11787,9484,-6905,-19441,-5129,-3075,-27392,-16631,27896,10020,11,1,2409,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,3232.3319552159246,-22365.708389050684,-2214.696454875452
11788,-3066,-24578,13325,22007,-16385,-22533,-28920,29944,-15581,11,1,2435,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-25492.980009437444,-8245.132893398362,-8553.351320308513
11789,-21249,-32005,-8178,-29958,32252,-30214,-19193,29688,-10206,11,1,2460,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,15899.191419889743,31745.047133346292,-16798.434590619647
11790,22781,-27141,-22263,-20993,4600,9213,-23033,-11785,-6879,11,1,2486,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,26925.670957970604,22084.05272324491,23206.72035812121
11791,-11520,29180,-21756,26625,5626,-26880,-3577,-14602,24865,11,1,2511,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,6019.102542073095,-37673.01843183281,-1421.4157811122222
11792,-31997,24317,-26879,-30975,6400,6146,5640,25846,-30431,11,1,2537,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-11615.18761473383,46459.89249481262,-6646.122557174753
11793,-3580,29438,11008,21250,-9982,4097,13576,-28170,-6111,11,1,2563,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8394.58483732838,-28125.508467403008,-11793.007540866674
11794,-11515,-7426,-31748,-2047,16386,21503,-32760,-6154,5154,11,1,2588,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,7348.551178636074,28337.4524827554,-18402.820092652815
11795,6405,-18946,-28675,5119,25861,22269,-28920,-31753,1826,11,1,2614,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-23404.57097442561,22122.88981017921,-13602.733914538763
11796,12546,12798,-24834,-4611,28166,26620,21000,-28424,-6111,11,1,2639,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-1351.6339670988928,-14858.328085496767,-26745.49771686297
11797,2049,5886,-24322,27902,31236,7164,7432,-30471,-22495,11,1,2665,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,10534.997604542401,-22383.783507520227,-4287.556688925693
11798,-17407,13822,-18944,-26114,-17662,-22277,264,13818,15137,11,1,2691,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8414.388543841429,-14828.463433662182,23711.62598030371
11799,-13568,16384,25862,-25858,-23296,9467,-5369,-19718,-24544,11,-1,2716,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-18793.768223081282,-3305.821771316742,-27517.902216436996
11800,-25089,9478,-23792,4608,-16642,16637,-4345,-12550,1312,11,-1,2742,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,32074.712361167876,9478.0,-12912.397606499917
11801,-9213,26384,9235,11011,-29695,-5119,19208,-9734,2592,11,-1,2767,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-417.6463322140935,-27423.205304739025,-10680.516483547106
11802,4107,-11755,5915,14844,-7167,31486,16648,2811,17440,11,-1,2793,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-3997.217738564683,1061.3975551873573,-13150.299790512236
11803,11011,-240,-24535,-23303,-23300,-16904,-30969,17915,29215,11,-1,2819,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,19115.570222150167,18080.463689320946,5563.969254155925
11804,-18942,-6898,-29395,-19463,14583,-32259,-5626,32250,14622,11,-1,2844,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-3221.827518468368,23615.701500367308,-26502.193552360703
11805,18188,-9204,-21980,5107,-30977,7174,20229,-11783,-28642,11,-1,2870,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,7865.210574459918,-27792.08596993324,8023.4518792876115
11806,-13809,25862,6429,-16136,-6915,-10749,26883,-25863,25887,11,-1,2895,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-3250.2284110591136,14655.183348953073,25990.867286116343
11807,-4086,21498,-26358,2041,25077,5629,-20478,18936,11039,11,-1,2921,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,24982.758999609956,-7366.67788108534,-22253.0306646923
11808,-12035,-14861,28441,-19726,18427,32509,1,15351,-31714,11,-1,2947,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,23007.127531016442,25386.15807391716,-892.2376463901983
11809,7678,16118,5907,19968,-8967,-7164,-6657,-27146,-10466,11,-1,2972,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,4558.183763942414,18218.656825176036,968.3807415466536
11810,32519,-22531,5,5384,-4869,-12538,19456,-16139,1312,11,-1,2998,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-10636.998713106295,22304.815340864337,30894.672971036896
11811,-16124,-24062,32767,19973,-19204,-25343,3073,11509,-23520,11,-1,3023,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-5651.013619773481,43354.972501715514,1025.6283169970775
11812,28672,-22013,-25090,-765,3840,28927,-15871,-1804,-26592,11,-1,3049,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8408.167034319125,30623.650686341483,30457.488385681536
11813,15104,11778,3838,23298,-8191,-22017,18434,7925,-30688,11,-1,3075,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,13505.241336511934,2639.5958828590256,-13864.462990601656
11814,19968,8960,-9473,29696,-6653,9215,31490,-23307,32288,11,-1,3100,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12397.24750215864,18845.46256302638,-7739.324786813935
11815,12800,27389,30466,12799,2306,-5379,-32254,6390,19232,11,-1,3126,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-32898.75526167667,26351.75120165708,8088.979406468166
11816,30207,-8453,28933,16128,27905,-26883,-27902,26102,-5089,11,-1,3151,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-590.6058877578707,-16371.317069584176,39403.879366028006
11817,15872,-14851,-2811,-29950,-28415,18687,-6398,-21770,-19937,11,-1,3177,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,15623.455664480047,12721.497097487674,-8628.177715986094
11818,-7160,16387,13321,-21758,-27132,-30464,17923,6391,-9953,11,-1,3203,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-22267.607268687396,1174.6734034774909,149.060131030923
11819,-1017,-5627,-6383,-9214,29192,-1541,-17917,12536,-21473,11,-1,3228,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-6163.256702555348,-5595.676352585522,-2035.3820220100592
11820,-3839,19464,-29165,-32247,-29692,13820,-5372,24313,11551,11,-1,3254,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-27928.071352407875,14251.996882058822,16158.151423000105
11821,30212,-756,20504,12550,8704,29439,20742,-28935,-6114,11,-1,3280,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-7746.908891316234,8094.928873449487,-34759.286890893476
11822,10245,6922,9500,12039,-13572,10241,20487,29945,-8418,11,-1,3305,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-957.6263360596804,-13672.9998775127,7433.447057053852
11823,1298,-9206,23063,29446,20732,19968,-32760,-16904,-11234,11,-1,3331,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-19975.974781659115,-14654.502429316617,2131.4781424336707
11824,-11256,-2552,-20191,-22792,-30466,-24582,-32248,-21000,7454,11,-1,3356,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-9039.039424499146,20417.541451068395,6504.343808275673
11825,-21240,-28410,-19404,-27655,16894,2819,8199,32760,-4323,11,-1,3382,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,26952.62871000063,977.9144794985732,-30122.755599241525
11826,528,-2802,-12517,-19448,23541,24582,25863,24055,-27874,11,-1,3408,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,11104.90111574864,-1167.0418590316847,-6334.387224405564
11827,20491,1806,772,-11005,23025,32512,-12280,7413,9758,11,-1,3433,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,5130.9077479925,7899.145304422567,-18303.44202988087
11828,30464,26375,18438,25339,7159,-30210,-760,-25869,12317,11,1,3459,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-21503.03594056511,-16394.080529147872,-35107.112298544
11829,-19461,-7933,-6402,-9222,22519,-24066,-17912,-27662,21532,11,1,3484,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-19161.390637863693,-4289.027035315173,9853.627246528313
11830,-6400,7168,-8193,8185,22263,1024,14344,17905,-26853,11,1,3510,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8437.76000597499,2935.5209359853725,-8924.819097099979
11831,-11263,-27140,27649,22780,12792,-31490,-13305,15600,-3558,11,1,3536,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,16664.589658765224,36435.38969819272,4759.810820380063
11832,-21247,13049,-28420,18687,-23050,8189,19208,3567,-10471,11,1,3561,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-18975.44272960407,13065.839151704185,29977.061738557866
11833,18690,-28683,-11269,-19715,-1540,-24579,-18168,23022,-8424,11,1,3587,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,9738.603617011835,34445.38516821584,4206.6602196968615
11834,10241,17140,28670,-20230,6915,-9984,1544,29422,-7144,11,1,3612,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,1138.1975348476662,29950.343768096143,17952.938354055896
11835,6656,-17419,30722,-7430,-3835,-6397,29190,4335,-8935,11,1,3638,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,24228.245529859698,7646.819727707696,25418.171602158443
11836,17667,-17928,260,768,16900,25862,4101,-25873,20251,11,1,3664,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,13767.556001266623,16146.710647836426,-13540.377026029706
11837,-4088,13819,-18176,-30972,-10749,6150,-30972,-3857,-14564,11,1,3689,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,21114.103972539342,-5167.250490416755,8095.53066859031
11838,12305,-21507,9215,2564,-22009,17156,25348,-28432,2846,11,1,3715,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-283.4182624830528,21031.84834817626,-16014.410015601778
11839,29464,-25345,3845,-26882,-25841,-1024,4,16114,-3810,11,-1,3740,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-8765.101785880259,-25345.0,-28391.623970515648
11840,-231,-2820,-16360,-11013,-2543,25596,17667,-13324,9759,11,-1,3766,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-12001.628257192999,-9251.338967680938,-6784.4681059914155
11841,269,11270,2858,29703,-32240,4861,-26877,32503,-6626,11,-1,3792,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-11428.724508773004,161.8259404462642,2147.4388157919507
11842,-19187,30728,-17890,-27119,27657,24063,-11259,19705,12575,11,-1,3817,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-7226.613680277516,12069.41263644017,37874.90443984465
11843,7169,14097,19998,-27130,-5625,8192,-31225,-22278,31263,11,-1,3868,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-17335.775486489212,5097.310082079266,-17986.892233211736
11844,767,-23273,12841,5883,-19201,27140,27399,-4870,-2017,11,-1,3870,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,767.0,24930.348830607945,9219.626737791772
11845,-4610,25619,-2266,24572,-5121,-18934,17926,-16902,14625,11,-1,3894,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,24189.96885693026,7321.84682893275,-6629.930822745553
11846,25362,-20719,-16892,26116,-18702,-9718,24838,3321,-21982,11,-1,3920,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-25001.08886591163,-4330.425035458424,26721.538943913096
11847,-11756,8187,-31987,-15119,31226,19709,-24827,11511,-27102,11,-1,3945,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-33577.84829686509,10028.918015099985,-589.5601742968211
11848,-20493,18683,9250,-11784,15366,20483,27139,-9737,-29406,11,-1,3971,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,6674.863167622237,4191.914521667813,-28150.56113715232
11849,6926,11015,14834,-13303,-25859,7942,-3069,-23305,-18397,11,-1,3996,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-5077.792616225756,-11850.168738867624,-14937.76355439353
11850,18690,-28155,-21771,5370,1283,14587,5636,-11273,-31197,11,-1,4022,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,35059.60080194793,19264.119607847828,3964.171205004315
11851,-13316,25085,-21251,5372,-22272,3067,-30461,16120,-17886,11,-1,4048,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-17833.457016922726,-30313.78862388169,4606.529289192731
11852,-3077,-30984,-20992,-17667,-31488,14332,20227,28408,2850,11,1,4099,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-10407.458973521501,33636.31872386093,-13054.620232749363
11853,-19971,-10251,-7675,-1283,27904,9726,3331,-29704,-22495,11,1,4101,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,11447.794768176482,11986.467504250206,16973.569415867278
11854,-26880,2043,5382,512,23041,3840,-8702,-19720,-26079,11,1,4125,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-21547.24525781357,16330.572480608393,-4970.1908670820885
11855,17925,-25087,-1794,-1535,31489,-15617,3331,-4360,-21727,11,1,4150,2020-11-02 15:09:11,2020-11-02 15:09:41,0,DF:DC:EF:28:D6:3E,11,11,-21285.893143760873,22306.365617742253,-1794.0
