"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"16451","-21761","-6149","25070","20224","-3841","-3841","26302","-25344","-16661","15","255","50214","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16452","30207","-13061","3566","2304","-4609","-7169","28606","-25344","-15637","15","255","50240","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16453","29951","-16133","32494","0","-6145","-10497","28606","-24576","-14101","15","255","50264","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16454","29439","-17413","30702","10496","-1537","-12801","30142","-24320","-12053","15","255","50289","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16455","19199","-28677","19182","7424","-1281","-15617","31934","-24320","-10005","15","255","50314","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16456","-21506","-10245","25326","5888","8192","-14081","-32578","-24832","-7957","15","255","50340","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16457","-15875","-6662","14574","2304","-17153","-14593","-31554","-24832","-6165","15","255","50366","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16458","-255","-12804","1774","4352","22528","-5121","-30786","-25600","-4885","15","255","50391","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16459","10242","14333","1774","9728","2816","-16129","-29762","-24576","-2581","15","255","50417","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16460","-20224","-2567","-29970","8192","-2049","-9217","-27970","-23040","236","15","255","50443","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16461","-4099","-5891","4846","-3073","-12033","-1","-27714","-22272","1004","15","255","50468","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16462","6397","29433","19439","-2305","14592","15360","-28226","-23040","-1045","15","255","50494","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16463","-15870","-28678","-10515","3328","27392","9216","-27970","-25088","-3349","15","255","50519","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16464","-3069","-1796","5357","-1","14592","-513","-27714","-27648","-4117","15","255","50545","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16465","3587","9982","20717","-6913","1792","-3585","-28482","-28672","-3861","15","255","50571","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16466","-6399","30718","-22803","256","-1025","-6145","-28994","-29184","-3605","15","255","50596","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16467","-17152","-25346","4078","768","-14849","-18433","-28482","-28928","-1557","15","255","50622","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16468","-30977","29182","15854","256","-11009","-18945","-28226","-28416","1772","15","255","50647","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16469","-23042","10238","28654","7936","-14081","-12801","-26946","-27904","3564","15","255","50673","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16470","7934","-12547","494","11776","-12545","-5889","-24898","-26880","4844","15","255","50699","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16471","-23043","-10499","-13587","14080","-19201","-3585","-22338","-25088","5612","15","255","50724","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16472","18941","-17667","238","-8961","-15873","2560","-22082","-23040","5868","15","255","50750","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16473","12541","-26371","-3858","-5121","-10241","3584","-23106","-22016","4844","15","255","50775","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16474","9725","-20739","9967","16128","-18689","-6913","-21570","-21248","5356","15","255","50801","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16475","28412","-11783","-11025","32512","28415","-12801","-16962","-17408","7660","15","255","50827","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16476","-10501","-27141","-18962","-16128","-4354","-12801","-9794","-11008","11244","15","255","50852","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16477","28671","-19974","-31762","2305","-5378","13824","-322","-2304","12780","15","255","50878","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16478","-14083","24315","-25875","7169","-11010","18688","10687","8193","12012","15","255","50903","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16479","1791","-18694","-30228","-5888","-13826","-2049","20927","18433","12524","15","255","50929","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16480","20480","23291","-9492","-20224","28926","11775","29119","28929","20460","15","255","50955","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16481","13311","28923","-17427","17664","16126","16382","-31041","-24575","-27156","15","255","50980","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16482","-7938","-28164","21999","17408","1022","-15619","-27201","-11007","-2324","15","255","51006","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16483","-20994","1021","16111","27136","1278","-16131","-21057","2818","25325","15","255","51031","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16484","13054","-27396","21742","17920","28414","25342","-15425","14594","-16915","15","255","51057","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16485","32254","-4613","-8723","30975","22271","-11521","-16705","22786","-6419","15","255","51083","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16486","13055","3835","-2322","-11266","-13056","-8704","-27457","21762","-12051","15","255","51108","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16487","-513","7418","8175","-22530","-26623","1025","24511","10498","-25875","15","255","51134","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16488","29440","-28423","496","31742","-14847","14336","9407","-5375","29677","15","255","51159","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16489","23296","21241","-5137","-13314","-25087","4607","-2882","-23807","30445","15","255","51211","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16490","-20225","3065","-4881","-7170","27905","8958","-12098","23041","-23571","15","255","51213","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16491","-28418","16633","26864","5375","32001","-10755","-19778","4097","-6163","15","255","51236","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16492","-24579","-22279","-32271","24831","-23039","27134","-25410","-14848","8686","15","255","51262","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16493","22269","-20487","5618","-4097","-15871","7679","-26946","32000","16110","15","255","51288","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16494","-32004","-12807","31729","-7680","-24575","23551","-20802","14848","19182","15","255","51313","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16495","16379","24570","-11024","-23807","2561","-24833","-6210","2560","21230","15","255","51339","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16496","-31750","32763","7409","27394","22528","-3072","15551","-257","17134","15","255","51364","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16497","2044","3836","-10255","5635","-1","12291","-21569","6656","-5395","15","255","51390","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16498","26621","30971","6641","-12797","20223","-16125","13760","20992","25325","15","255","51415","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16499","-27395","-27142","-9746","12548","-23299","-3326","-11840","-16896","-788","15","255","51441","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16500","-14853","-22279","24042","-28412","-14340","12035","30657","22273","-18708","15","255","51467","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16501","762","32248","-14109","-253","-20994","22278","4546","-1279","10988","15","255","51492","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16502","29178","16885","24546","-17664","-28671","25099","12226","-31998","-12310","15","255","51518","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16503","-27397","32495","-3363","-32256","-11261","16653","4290","-15870","-14360","15","255","51543","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16504","-2053","-21011","-6949","-3842","-27135","-758","-14911","1027","-6426","15","255","51569","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16505","-17156","-26127","-15392","31744","8447","30984","-29759","-31741","-29211","15","255","51595","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16506","-18689","-11016","23275","17667","29439","-4601","-19007","1028","26852","15","255","51620","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16507","-30461","513","-26891","-4094","-22274","7685","3010","30724","-31773","15","255","51646","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16508","-13309","15108","5116","-11264","22269","-3585","15298","-11260","20195","15","255","51672","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16509","-29439","14084","-15361","27135","12539","5628","21698","15109","-4637","15","255","51697","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
"16510","-5377","23812","-20480","8191","-20231","-8965","27074","-14843","-7708","15","255","51723","2020-11-02 15:14:15","2020-11-02 15:14:45","3","DF:DC:EF:28:D6:3E","15","15"
