"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"18832","22029","-31223","26874","-1023","-25858","-12031","-9171","13035","19735","17","248","38287","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18833","-11763","-27383","-11527","-24319","5119","30209","-32466","4075","-10474","17","248","38311","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18834","-12531","-14839","-27655","-768","18943","14337","-1234","-2582","32278","17","248","38339","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18835","-30707","1034","3834","-32512","-29697","10753","20271","-9494","14102","17","248","38362","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18836","19469","-9975","7162","14592","-28417","4097","-28369","-16406","-2283","17","248","38388","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18837","21518","-24313","10490","-1","5631","-11520","-11985","-20246","-21483","17","248","38413","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18838","9484","-20217","19962","-3329","-25345","28672","-2513","-22550","32021","17","248","38439","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18839","-31219","-12794","-4359","11008","-5889","-16128","4144","-26902","24597","17","248","38465","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18840","-26610","-22522","32506","16384","15872","-4352","12080","30442","17941","17","248","38490","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18841","-4342","32006","-12808","26368","2816","32512","18736","24042","14357","17","248","38516","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18842","-5621","-6135","26361","24576","1024","29696","25904","19946","10517","17","248","38541","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18843","-1519","19208","-21509","10752","31232","-16640","30512","13290","8213","17","248","38567","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18844","-14071","11271","24568","14848","12288","-30464","-31440","6122","5909","17","248","38593","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18845","16658","15114","-28933","12800","5632","-29696","-25808","1258","2581","17","248","38618","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18846","-1015","-7162","-2057","-9985","3072","-20736","-21712","-3607","-3052","17","248","38644","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18847","-7918","24329","-14853","-15105","3840","30464","-19408","-8727","-7916","17","248","38669","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18848","-20471","-3577","29432","-27393","-13825","256","-19920","-8983","-11500","17","248","38695","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18849","5393","520","15100","23551","-13313","5888","-22480","-7703","-15084","17","248","38721","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18850","19978","-7159","9466","29439","-30977","16640","-24016","-6935","-20716","17","248","38746","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18851","-4340","28678","16379","27903","-28929","-2304","-18384","-9239","31508","17","248","38772","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18852","16910","-4342","5115","25599","24831","-28415","-6352","-16663","10004","17","248","38797","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18853","-4087","-6651","-1800","-13314","-13057","20738","6705","-30231","-16877","17","248","38823","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18854","29202","18952","-31491","-9218","-31234","-10238","27697","17641","8979","17","248","38849","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18855","28170","-11258","14841","-19201","23035","-12287","21042","21481","-2799","17","248","38874","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18856","22537","-3834","28151","-10241","1020","-12543","26675","-28183","-23280","17","248","38900","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18857","-2034","-29178","761","32255","10750","-13054","11572","-29463","-22513","17","248","38925","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18858","9228","-24059","-19976","9471","18685","-8958","-4300","31721","-23538","17","248","38951","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18859","-20725","-27386","16377","-30979","507","-28669","-14795","-30743","21517","17","248","38977","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18860","1291","22537","-5131","17917","-17416","5125","16951","-2071","3851","17","248","39002","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18861","-27128","-23802","-20492","-10501","9722","7","-19400","14570","-22008","17","248","39028","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18862","-31737","16390","9716","5371","8446","16394","9018","234","4870","17","248","39053","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18863","-8181","-23804","-22027","19706","5632","-3317","-13253","14057","8963","17","248","39079","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18864","-1523","259","17909","13561","9726","29450","-29123","-21784","-1537","17","248","39105","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18865","30989","16642","6133","-2057","13053","-24567","4415","-31000","-6660","17","248","39130","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18866","-22515","5890","-8460","-4873","10494","1547","-22720","28136","-23559","17","248","39156","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18867","15376","3","-9487","-1288","-1026","31500","-15294","19432","-5899","17","248","39182","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18868","29202","-29439","-4115","-6665","-18687","270","17733","3304","-16655","17","248","39207","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18869","-29672","12029","14824","-5135","-28413","-22003","-326","-23833","10733","17","248","39233","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18870","-23525","-2315","-16147","5863","4867","-10745","3515","20199","-29719","17","248","39258","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18871","-5862","-22030","-5640","-24860","25347","-13311","-7612","-5914","2536","17","248","39284","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18872","-7143","28145","-2560","-17684","14345","22015","19009","-12059","11752","17","248","39310","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18873","1562","-20751","31750","-31753","10252","27900","16957","8676","28650","17","248","39335","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18874","30744","9459","14600","-18946","-8952","25590","22327","12771","2544","17","248","39361","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18875","-5615","-20236","-17141","31235","1286","-15120","28720","-13853","32759","17","248","39386","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18876","32263","-12555","10766","12553","-10751","-15122","-19668","-20763","-28932","17","248","39412","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18877","-10237","-10252","15369","-31219","5887","-11279","26412","-15897","-6146","17","248","39438","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18878","-7934","8172","-31478","-9201","-14081","16626","16173","-28951","-29952","17","248","39463","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18879","-3078","10974","-14581","-31724","-25864","9201","25903","-22293","23809","17","248","39489","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18880","-27661","9686","15113","-28132","6129","10991","29235","-25362","9217","17","248","39514","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18881","2280","-8749","20995","-14298","10995","5103","-30408","-7183","-23551","17","248","39540","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18882","-14628","-32034","-26380","-26321","-3338","-1803","-6594","22260","-13566","17","248","39566","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18883","11729","-2573","10200","17457","-30720","8707","-7495","32245","-3326","17","248","39591","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18884","24012","-22289","25798","11558","-4336","5409","18626","1013","15615","17","248","39617","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18885","-8975","-25394","-563","-28651","11537","-2757","30922","20983","16118","17","248","39642","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18886","-17684","-27954","-11073","-20723","1276","-5072","-23090","27133","5872","17","248","39694","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18887","-17211","2497","21680","26872","-25611","-12751","-22322","16132","-788","17","248","39696","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18888","-7738","32176","9922","-5656","-29965","20281","-1335","-245","25320","17","248","39719","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18889","16831","32434","11978","-6411","29177","305","-830","-30447","737","17","248","39745","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18890","25035","-28241","15574","-22529","23813","-3023","19899","7699","-8746","17","248","39770","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18891","-26876","-29748","-27148","-19965","-26871","20015","-10176","11793","29644","17","248","39796","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18892","27394","-19493","32517","-25077","28172","5412","10814","32013","-5179","17","248","39822","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18893","-3560","-11556","17897","-15362","3603","31778","1853","12553","21697","17","248","39847","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18894","-5345","-28711","-8205","23285","-22252","-26100","-30149","-1276","19903","17","248","39873","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18895","-14571","8917","15099","28392","6668","-10770","11577","1283","-29759","17","248","39899","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18896","-11009","-12582","31736","-27159","-6647","-9241","24630","-765","21445","17","248","39924","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18897","12790","16874","-5130","-17162","-18923","-19215","-460","12036","13257","17","248","39950","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18898","-776","5615","7927","23555","-29410","-14087","-32459","7426","13261","17","248","39975","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18899","-27395","19185","-23822","16649","-24291","8697","-6346","20991","-5168","17","248","40001","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18900","-12289","-16655","-22290","-13305","-15076","-24589","1592","-18436","-9004","17","248","40026","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18901","-30720","-1040","-28687","23555","15127","-24341","6456","4091","23769","17","248","40052","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18902","29436","28143","-4876","28417","-18414","-28701","24375","-1542","27358","17","248","40078","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18903","32502","-25110","-16391","30470","-31469","25056","-6346","-17413","-3101","17","248","40103","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18904","-4631","-12566","-31758","26386","-32233","-18465","4408","15356","-1303","17","248","40129","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18905","-8738","-20747","-10774","25111","-5351","-6167","-23494","30971","-27921","17","248","40154","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18906","27622","16123","18679","7957","25356","15092","18749","5882","4339","17","248","40180","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18907","3053","14846","29169","-15845","15096","-22537","-25280","-13830","26356","17","248","40206","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18908","14799","-18947","-21558","-25305","-21509","-14595","-5051","15356","16885","17","248","40231","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
"18909","1484","-23053","-26440","-27359","24578","11806","21951","6141","-12558","17","248","40257","2020-11-02 15:16:11","2020-11-02 15:16:41","3","DF:DC:EF:28:D6:3E","17","17"
