"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"20008","23811","12292","-29710","5374","14336","-15368","6712","26108","11018","18","1","32514","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20009","-13311","-22010","-13325","-17922","-2048","-6153","-17097","2301","11531","18","1","32540","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20010","23295","29193","18677","-7937","-27391","32760","-31433","-25091","17932","18","1","32563","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20011","28670","5131","22517","11266","-26111","2811","-26313","510","10765","18","1","32589","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20012","-7425","10251","-2830","16644","32002","-13315","4920","4606","-16883","18","1","32615","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20013","-1277","-32502","17648","-23548","-15614","-23810","-16840","-8707","12302","18","1","32640","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20014","24069","19465","31726","22019","29185","-14851","20281","-13827","-26098","18","1","32665","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20015","5373","-14072","-13585","-15359","25600","8445","-23239","-6147","527","18","1","32691","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20016","-2055","-15095","26608","-8703","-23553","16893","-7367","10750","23311","18","1","32717","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20017","1","-17397","27884","4611","-23551","-18434","17722","17406","-22769","18","1","32742","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20018","15608","-6648","-19988","25347","-254","25855","-15558","1022","-2801","18","1","32768","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20019","13825","23049","5354","7170","-8958","-28417","10299","-20483","16912","18","1","32793","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20020","-1790","2571","9963","10752","12801","23040","19003","30205","26384","18","1","32819","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20021","-23294","10251","-2836","-22018","29951","24577","12603","27645","16656","18","1","32845","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20022","-4350","-23286","-16146","-11779","16127","5889","-3526","29181","1040","18","1","32870","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20023","-5631","4874","10225","-30979","-23041","6656","-26310","31741","-6897","18","1","32896","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20024","-7425","30473","-23822","9470","-22016","13311","17978","31741","-2289","18","1","32921","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20025","765","-14329","-20494","255","-5376","25086","3642","29949","13840","18","1","32947","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20026","11516","-7163","29169","2559","28416","11006","-6855","-32515","32272","18","1","32973","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20027","26367","14341","-24336","27646","29183","-7939","-20679","-20483","-16880","18","1","32998","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20028","27652","15622","-18448","12798","6143","-22275","25657","-1539","-1520","18","1","33024","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20029","20999","-24311","-21774","-5378","-29441","-27651","10553","17918","13841","18","1","33050","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20030","2305","12811","-12044","-13569","-4097","25853","3385","-32002","-31471","18","1","33075","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20031","-7943","14344","30195","-22016","23040","1534","5177","-20482","-11759","18","1","33101","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20032","-8701","-15863","14576","11009","-12544","-18434","15161","-16642","4626","18","1","33126","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20033","23553","19978","-4113","769","21504","17407","25657","-13570","15122","18","1","33152","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20034","25849","3848","23794","12289","-7425","-1024","-29127","-13314","14610","18","1","33178","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20035","-3847","21001","6643","5634","-15873","30723","-10695","-24834","-7919","18","1","33203","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20036","-9223","6151","-17166","-27901","16384","1797","21562","19198","19217","18","1","33229","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20037","32252","3590","-31248","18181","-29950","-5370","7227","-23043","-26096","18","1","33254","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20038","-3332","-509","31470","20997","28163","-6136","4924","-21252","-18417","18","1","33280","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
"20039","11007","-5372","25070","-29437","14338","16650","-1988","-21253","-30706","18","1","33306","2020-11-02 15:17:10","2020-11-02 15:17:39","2","DF:DC:EF:28:D6:3E","18","18"
