"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"21169","32250","-1020","7693","-13825","16383","8960","-14072","-32505","18661","19","8","25256","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21170","11003","7941","-23284","-8961","-15617","21248","-15352","27911","19685","19","8","25279","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21171","19195","5637","25612","-11521","-7937","13824","-16376","25863","21733","19","8","25304","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21172","10235","-1532","29708","-7937","-12545","17408","-17400","23303","23269","19","8","25330","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21173","-32262","11781","6412","-9729","-8961","21248","-17912","20999","25317","19","8","25355","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21174","-29702","-22781","23052","-18177","-10241","32000","-19192","17927","28901","19","8","25381","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21175","-27656","30981","23308","-11777","6912","23040","-20216","16391","-31515","19","8","25409","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21176","-10245","-6910","-244","-9985","-9729","32256","-19960","14855","-26651","19","8","25432","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21177","12542","26627","-9971","-10497","-2817","23808","-20216","14087","-23067","19","8","25458","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21178","29180","-11774","13837","-9473","-1793","21504","-20728","14087","-20251","19","8","25483","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21179","-22025","-254","22284","-14081","-7681","11520","-21496","13831","-17947","19","8","25509","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21180","22008","27142","8204","-2561","-5377","8192","-22520","12295","-16155","19","8","25534","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21181","30464","-25595","-25587","4352","10496","15360","-22008","11015","-14363","19","8","25560","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21182","30458","21762","26637","768","768","23552","-20984","11015","-11803","19","8","25586","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21183","-21000","-13050","-757","1280","14592","20480","-19448","11015","-7451","19","8","25611","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21184","11521","-7420","-13043","512","13312","18688","-18680","11527","-3867","19","8","25637","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21185","-17673","13059","31756","1536","-17921","9216","-17656","10503","-2331","19","8","25662","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21186","4861","-26617","6668","3584","8448","-2561","-17400","9479","-1819","19","8","25688","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21187","-1282","7939","-30707","1536","9728","1024","-16888","10503","-1563","19","8","25714","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21188","-20234","-11515","-25589","3840","5888","-21505","-16632","12039","-2587","19","8","25739","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21189","-14592","-8955","29965","8192","10240","-23297","-16888","14343","-5659","19","8","25765","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21190","23032","-3838","-9716","6400","-9217","-16385","-16632","15111","-8987","19","8","25790","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21191","1020","29191","27916","17408","-26624","-25601","-15608","18695","-10523","19","8","25816","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21192","5120","13572","-7923","26112","-9984","-23041","-12536","26631","-11291","19","8","25842","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21193","-514","-16123","19213","-30208","-8960","-20737","-7928","-29177","-12059","19","8","25867","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21194","-19208","-6140","14859","31488","24576","-26625","-3064","-23289","-13339","19","8","25893","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21195","-24582","8966","-5108","27136","-30464","22783","9","-18169","-15899","19","8","25918","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21196","28922","-9724","3341","26880","-7168","255","2313","-9209","-21275","19","8","25944","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21197","16124","-4604","1293","31744","12033","2303","5129","4360","-26395","19","8","25970","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21198","1789","30468","-23283","24576","-1023","31486","7177","23560","-31515","19","8","25995","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21199","15360","15109","-11505","-15360","9987","-18180","7433","-9720","21477","19","8","26021","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21200","19719","4357","-8430","-16126","517","-28169","7177","-19447","-21020","19","8","26047","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21201","16391","29698","-26352","24838","-27127","-3088","11785","28171","13795","19","8","26072","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21202","9735","-16383","-29680","-24056","12556","24557","15625","270","9697","19","8","26098","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21203","-2810","1024","17683","-29684","-15348","-10776","9","-4848","16094","19","8","26123","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21204","-6139","19197","4888","18448","-10996","-1820","264","5652","-6439","19","8","26149","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21205","31745","-24073","3100","18710","19724","-7456","27397","10263","11731","19","8","26175","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21206","14585","4080","13599","16926","-2808","31200","-27136","16409","10185","19","8","26200","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21207","14320","21481","-18661","-30428","-1273","2788","27643","-7911","-17475","19","8","26226","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21208","-5907","20969","31252","-25567","-14580","-18199","14327","10266","-3777","19","8","26251","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21209","-19216","-17687","14610","-11749","785","22254","-32270","-17382","-3531","19","8","26277","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21210","-17","6880","1043","-20453","18705","24816","18669","-6630","-5845","19","8","26303","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21211","-28692","-8494","-8951","-23266","31505","25077","-280","-19430","31010","19","8","26328","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21212","20976","32210","-17157","31513","14865","1275","1766","-18406","-21478","19","8","26354","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21213","-9512","6096","497","-15090","5910","-31230","11489","13083","26386","19","8","26379","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21214","-8219","27344","11500","-14331","-26351","-7403","-5160","19485","22792","19","8","26405","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21215","18422","19412","-285","21758","-9718","-19169","-17724","-26849","-29197","19","8","26433","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21216","-10497","-12328","23263","16627","23303","-26337","313","-25827","-1061","19","8","26456","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21217","20995","-13351","27622","-26649","25859","24864","3631","-29671","-25900","19","8","26482","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21218","13067","-40","31987","32736","25600","-2268","3624","-24300","-31791","19","8","26508","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21219","-21222","4059","-30463","29917","30975","-22235","27682","-2546","-14640","19","8","26533","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21220","23332","19179","12557","-15133","5115","20760","-24035","12298","-1584","19","8","26559","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21221","7961","-17934","-3317","-277","-11","-5110","-7911","24839","29136","19","8","26584","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21222","22800","-3594","4884","-8465","1779","27910","-16618","22533","20943","19","8","26610","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21223","-7416","10739","17674","-32020","28414","16651","6420","-17405","28623","19","8","26635","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21224","-18161","24058","24860","-29203","26622","21514","1553","14850","24528","19","8","26661","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21225","530","-9721","19489","-15372","8695","9737","-15346","-28928","-3888","19","8","26687","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21226","-19946","28434","-31969","31994","12527","-29942","-29683","-13571","-6192","19","8","26712","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21227","20254","29202","-1000","-29957","29425","-2296","-6644","-18694","-13360","19","8","26738","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21228","17684","26884","20499","24568","-5902","-7422","3340","-31240","26832","19","8","26764","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21229","3078","30450","-15088","-23819","24040","5384","-7926","-26379","-25905","19","8","26789","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21230","14347","-7457","31768","-2318","-24607","-4587","-32504","-27408","11728","19","8","26815","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21231","-1257","-297","-10734","29423","-18959","-10210","29186","10988","11221","19","8","26840","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21232","4629","-8478","31992","10986","-28934","-19428","9721","31211","-6436","19","8","26866","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21233","2856","14563","18932","17642","-15892","-27373","-17169","32235","21476","19","8","26891","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21234","-26353","-4923","-8962","-30497","9213","3330","-25368","12523","3560","19","8","26917","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21235","-18650","23783","-30456","-10284","-28666","-17402","27362","26092","-11545","19","8","26943","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21236","-6602","-12816","-17675","24532","15376","1270","15582","8428","-284","19","8","26968","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21237","-2251","741","26900","-15419","14872","-31772","-22310","-15640","-27169","19","8","26994","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21238","3883","27076","31506","22457","16446","27581","4071","-21279","-5433","19","8","27019","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21239","-19764","7367","-30157","7370","-21451","32705","-28155","-7960","28202","19","8","27045","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21240","-18204","6382","25417","-4622","-15330","20205","19461","12272","-9692","19","8","27071","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21241","-20979","26064","29735","-27889","5918","-2051","24582","-3851","-14300","19","8","27096","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21242","30473","13262","5124","15649","-15834","26117","-20983","17659","11303","19","8","27122","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21243","20528","-18725","12776","-29421","6684","25354","-12020","25598","2859","19","8","27148","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
"21244","16396","-15392","28692","-2036","-8913","-17141","-18930","-19710","-5073","19","8","27173","2020-11-02 15:18:07","2020-11-02 15:18:36","4","DF:DC:EF:28:D6:3E","19","19"
