"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"24686","-10755","29963","18931","1536","1536","3072","-7371","16131","-11523","22","249","2623","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24687","-7427","32011","-31501","0","-5121","3072","-7371","15875","-12035","22","249","2649","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24688","-14339","-29173","27123","512","1536","-257","-7371","15875","-12291","22","249","2672","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24689","-16643","27915","19187","768","2048","-6145","-7115","15875","-11523","22","249","2723","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24690","-9987","13835","8179","256","-5889","-6657","-6859","16387","-11011","22","249","2725","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24691","5116","15884","-28685","-2561","1024","1280","-7371","16899","-11267","22","249","2749","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24692","19196","26637","-12813","-513","8192","2304","-7883","15875","-12291","22","249","2774","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24693","12284","18697","9972","-257","-3841","4352","-7883","14851","-12803","22","249","2800","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24694","-9733","10505","23540","3328","-9473","-2561","-7371","14595","-12803","22","249","2825","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24695","-28935","3852","6133","-3073","-1","-6145","-6859","15107","-12803","22","249","2851","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24696","13569","9997","19442","1792","7168","-2817","-6603","15107","-12291","22","249","2878","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24697","-17669","-10488","11252","1024","-2817","-1537","-6603","15619","-12035","22","249","2902","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24698","-1025","7438","-22030","1024","10240","-3841","-6091","14851","-11267","22","249","2928","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
"24699","-29446","25865","20212","-3329","-5377","-5889","-6347","15107","-10755","22","249","2953","2020-11-02 15:24:08","2020-11-02 15:24:38","1","DF:DC:EF:28:D6:3E","22","22"
