"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"25856","-6916","-25078","-12558","11776","-4353","30719","5431","19204","11256","23","245","16257","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25857","-5124","-25846","-11278","12032","-1537","32511","7735","22788","14840","23","245","16283","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25858","27900","-29430","-12302","4352","18944","-30465","9783","24068","20216","23","245","16309","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25859","21500","29962","-20750","7424","12544","-18433","12087","23812","24824","23","245","16334","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25860","3068","30730","-21774","5376","8448","-12545","13879","24324","27128","23","245","16359","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25861","19453","-16631","-32014","4608","6144","-1793","14391","24068","28408","23","245","16385","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25862","30202","-7670","2546","8704","8704","-1025","16183","22532","29944","23","245","16410","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25863","-20229","-24568","-27407","-5889","-1","3328","16439","21252","30456","23","245","16436","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25864","6906","-23288","-1807","-17921","-17153","-6657","14647","21508","30712","23","245","16462","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
"25865","22776","-4084","-2318","-21505","-5121","-13313","11831","22788","30200","23","245","16487","2020-11-02 15:25:26","2020-11-02 15:25:56","2","DF:DC:EF:28:D6:3E","23","23"
