"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"28215","16891","-25331","25848","-10753","14848","-10497","31534","-20986","-29751","25","254","57667","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28216","22267","32525","-22536","-5889","16128","-11777","31022","-20474","-26935","25","254","57692","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28217","12795","-29427","-29960","-5889","14592","-9473","31022","-20218","-23863","25","254","57716","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28218","15355","-17395","-24840","-4609","6656","-3329","30766","-20218","-21815","25","254","57742","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28219","15611","1550","-25608","-769","12032","7424","30254","-20986","-21047","25","254","57767","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28220","-29444","-31731","29944","0","13568","7936","30510","-23034","-19767","25","254","57793","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28221","-7684","-20211","29432","-257","17664","-3585","31022","-23802","-17975","25","254","57819","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28222","20219","20239","-28424","512","14336","-8961","31790","-24058","-15415","25","254","57844","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28223","-16135","-14578","8952","2816","5376","-8449","32558","-24058","-13367","25","254","57870","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28224","-25603","-31472","-5384","1536","7680","-3329","-32210","-24058","-11831","25","254","57896","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28225","17918","-31731","-32007","768","2304","3584","-32210","-23802","-11575","25","254","57921","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28226","-2314","16908","10231","512","512","-2305","-32210","-24314","-11319","25","254","57947","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28227","-1793","-14833","-26375","5120","-257","5632","-31442","-24314","-11575","25","254","57972","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28228","-11786","6412","-3338","2816","-5121","512","-31442","-24826","-12343","25","254","57998","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28229","-8961","-22514","-17159","5888","-7425","3328","-30674","-24314","-13623","25","254","58023","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28230","3064","-7923","-28937","5888","-12545","-2305","-30418","-24058","-15159","25","254","58049","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28231","2556","-22517","11257","4352","-3585","3584","-29906","-23546","-16439","25","254","58075","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28232","31486","-25072","2041","9216","0","-257","-28882","-23546","-16695","25","254","58100","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28233","-16906","25867","-9738","3328","-5633","-2305","-28370","-23546","-16951","25","254","58126","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28234","24319","-30707","-519","7936","-6913","8960","-27602","-23034","-18487","25","254","58151","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28235","9467","-19185","12280","10496","6912","4352","-26578","-24826","-18743","25","254","58177","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28236","24312","-2806","26871","11008","3584","0","-24530","-25850","-18231","25","254","58203","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28237","-15104","21775","4858","11776","-7169","-6401","-22738","-24826","-17975","25","254","58228","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
"28238","-27144","6157","4856","13568","-16641","-12545","-21458","-23034","-18999","25","254","58254","2020-11-02 15:28:14","2020-11-02 15:28:44","3","DF:DC:EF:28:D6:3E","25","25"
