"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"41172","7910","-7440","-268","6139","14074","264","-7473","25370","-6699","36","6","1330","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41173","-6174","-31503","22007","17146","25082","-9468","18383","-30437","12502","36","6","1356","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41174","-31778","6898","-521","-17413","505","-6655","-25136","29980","24536","36","6","1382","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41175","-21024","-8206","-26887","-12549","-23811","-21247","-27951","-996","2010","36","6","1407","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41176","-13851","-1802","-3332","22780","23553","9987","13264","17949","15577","36","6","1433","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41177","7407","26362","22782","-11524","-24061","-4861","16845","31517","-19754","36","6","1458","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41178","18167","5118","-14848","4860","25093","-15101","9161","24093","723","36","6","1484","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41179","30207","19968","-23039","26364","-29948","-12798","31941","1053","-10545","36","6","1509","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41180","-21506","6912","-8447","5629","-8190","-30719","14787","-20196","-1075","36","6","1535","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41181","26366","14591","24322","-10244","17665","-30721","12994","28188","24525","36","6","1561","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41182","16892","513","25859","20476","-5891","-8707","30146","27932","13774","36","6","1586","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41183","-2313","25857","-2815","12797","-17927","3581","10948","-5860","-31792","36","6","1612","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41184","1772","-22789","-16645","12286","-24588","10238","-5945","-2019","-18476","36","6","1638","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41185","31451","8181","15606","26363","-3341","30974","-18482","10015","9692","36","6","1663","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41186","19159","-30218","11767","-1545","-30470","-21764","-22572","23839","15843","36","6","1689","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41187","13777","29680","-14851","-32520","14334","-24069","-15146","-9442","-22810","36","6","1714","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41188","-25894","-28170","-1538","26877","-13824","26621","12247","22302","-11801","36","6","1740","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41189","-24862","-15884","8190","-11518","777","-30978","20180","-12771","-16924","36","6","1766","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41190","32765","2302","-16134","-14333","26893","5631","-11570","-21220","28894","36","6","1791","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41191","-25848","32252","-17153","-23554","6661","5374","9164","-24037","31195","36","6","1817","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41192","-10486","773","-15607","-23556","17663","-30724","23500","13851","14556","36","6","1842","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41193","-3576","17665","-25848","16642","-27904","8189","11725","-8422","10461","36","6","1868","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41194","-19210","12544","21248","15112","8703","3326","-3634","-23014","1758","36","6","1894","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41195","26867","22532","8697","-4344","-15357","-18177","4048","25626","-16419","36","6","1919","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41196","-13579","25087","10999","-26875","-11001","13826","-9778","2586","18139","36","6","1945","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41197","27639","-11773","-9987","-19966","17925","13315","-9524","-20199","-28712","36","6","1970","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41198","12533","22786","-22274","-30974","28160","-15612","-16949","-743","-5418","36","6","1996","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41199","-5386","-17149","26623","-12287","5888","-23802","26314","-23526","7893","36","6","2022","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41200","8695","-32767","-15107","6914","-15360","-6905","13768","22043","29138","36","6","2047","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41201","-8716","32000","1786","-21760","15103","-7416","15301","3100","5071","36","6","2073","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41202","3818","-518","4601","-28675","-27909","-27382","9153","4637","-822","36","6","2098","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41203","-4635","29180","17656","-13062","1529","24075","26298","19230","-20540","36","6","2150","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41204","-31000","-17923","-10754","15610","-14852","265","21310","-11746","-17732","36","6","2152","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41205","-13338","-6917","28157","-23552","30712","-26877","-27081","5151","-10686","36","6","2175","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41206","-19228","2303","9714","-8190","16640","-25348","-8138","-22241","-20415","36","6","2201","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41207","-10006","27901","10743","-17923","8452","-24068","4924","28959","20410","36","6","2226","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41208","-22539","-1282","4863","19194","12800","27133","25150","21791","25277","36","6","2252","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41209","-22025","2816","-17919","26108","-16384","-27910","20545","-28641","6593","36","6","2278","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41210","22004","22529","14592","-14850","-6908","-31233","15172","7711","23236","36","6","2303","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41211","25594","20224","25855","2559","32515","-23293","-31934","27678","-15422","36","6","2329","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41212","-26886","26623","-10499","28671","20226","10753","8001","-4323","29633","36","6","2354","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41213","3314","-22273","18172","-21506","-4865","6143","24641","-15075","-8767","36","6","2380","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41214","-3608","1537","21498","13310","20990","-28160","3649","-227","-13375","36","6","2406","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41215","7142","-15617","-13576","-17411","23295","-3583","-27841","4126","-26432","36","6","2431","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41216","31458","511","9210","12541","28926","-21248","15934","8990","-23105","36","6","2457","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41217","20191","6397","18682","12030","-13571","24319","30269","32030","12735","36","6","2482","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41218","5089","-26374","-2310","19455","30719","-24835","17214","-14818","12224","36","6","2508","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
"41219","4840","-23815","17661","-32511","-31230","-4357","17473","-15842","10947","36","6","2534","2020-11-02 15:44:23","2020-11-02 15:44:53","0","DF:DC:EF:28:D6:3E","36","36"
