"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"50622","16888","3843","-4880","11008","-9729","-4609","-28350","11530","-29406","44","1","53905","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50623","-27144","16131","4337","10496","-9985","-7425","-26814","13322","-28894","44","1","53929","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50624","30968","21251","5105","12800","-13825","-11009","-24766","15370","-27870","44","1","53954","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50625","30456","20227","-1296","22528","-16129","-8449","-21950","18186","-26590","44","1","53980","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50626","2553","-766","-25872","26624","-8449","-8705","-17598","19978","-25566","44","1","54005","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50627","10231","-3325","9457","14336","-8705","-9985","-14270","22026","-23774","44","1","54031","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50628","18170","28163","-1808","23552","-11009","6912","-11454","24842","-24542","44","1","54056","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50629","-10246","3589","8431","22016","2304","7680","-8126","25866","-25310","44","1","54084","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50630","-9731","-20988","-31251","-4609","13568","2048","-7614","25610","-25054","44","1","54108","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50631","-14596","9985","3568","31231","11520","2304","-11454","24586","-23774","44","1","54133","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
"50632","19696","-3071","8947","19199","-14337","-513","-18110","24074","-23774","44","1","54159","2020-11-02 15:55:55","2020-11-02 15:56:24","0","DF:DC:EF:28:D6:3E","44","44"
