"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"12998","-29688","-23297","-27646","23053","-12811","-31977","1544","31734","20023","12","250","19605","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"12999","12300","-11265","21503","1804","23284","-22505","30472","-31501","28474","12","250","19630","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13000","-6897","-15105","25083","-20984","21236","2071","6408","28912","-16835","12","250","19653","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13001","-14573","-25088","21240","-21247","-27657","7445","19462","-11795","28481","12","250","19679","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13002","-25066","22528","26103","-18697","-10757","11022","-1022","15340","1093","12","250","19704","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13003","-20458","-18433","-19716","-25873","-3840","4103","5375","-6165","-16710","12","250","19730","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13004","21781","1277","14593","3818","18692","19457","28667","18668","-30533","12","250","19755","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13005","-31472","-21508","-19452","-5146","-20473","9725","18424","4333","-10054","12","250","19781","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13006","-12276","-11018","-7160","-23066","7688","-10246","-29707","-6163","-7867","12","250","19807","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13007","23817","-13577","-16622","30443","-11515","-23302","16371","29678","10052","12","250","19832","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13008","21775","-5129","5911","7926","4352","6651","-2575","21742","-5054","12","250","19858","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
"13009","12046","-25604","-10735","22013","23806","-21253","-23055","-11539","22338","12","250","19883","2020-11-02 14:32:05","2020-11-02 14:32:35","1","D7:F2:3B:06:4D:C8","12","12"
