"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"51788","-1296","18691","19966","8193","27904","25599","-15059","-2532","-30715","45","2","54272","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51789","-19984","-9726","-13059","-3840","-26112","31231","23598","541","-1531","45","2","54295","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51790","-6416","-8190","25853","30976","18176","1792","-17106","285","16902","45","2","54320","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51791","31473","3331","-5379","256","-4609","26112","-17874","-2276","14342","45","2","54346","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51792","7666","14339","8702","-15105","-11009","20480","-29906","-4580","3078","45","2","54371","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51793","20465","13828","13822","-16129","-5633","5376","25646","-5348","-4347","45","2","54397","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51794","24050","-22779","27134","-7681","-6657","-9217","21806","-4324","-6395","45","2","54423","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51795","-26641","-26366","3326","-2305","-20225","-14849","17198","-1764","-10491","45","2","54448","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51796","27631","-28671","11518","7680","-15873","-27137","14894","1821","-13307","45","2","54474","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51797","17646","9218","22526","17408","7168","21759","28462","6941","-1787","45","2","54500","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51798","-13842","-19452","-9218","22016","-30464","27135","-11474","10781","21254","45","2","54525","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51799","27890","-1275","-20738","22784","-28928","-8449","11823","11549","-24058","45","2","54551","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51800","14835","-29182","-7171","20992","6656","18432","18223","9501","-20218","45","2","54576","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51801","32239","19713","13054","16896","-10497","25088","13871","6173","-27898","45","2","54602","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51802","-9744","-1019","3839","25344","4096","13568","10287","4125","30470","45","2","54628","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51803","16628","-12284","11006","-31744","768","3584","9775","3613","25350","45","2","54653","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51804","-23312","-6912","-25603","-26368","-11009","-5121","13615","4125","23558","45","2","54679","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51805","-30225","-25852","30462","-19968","-513","-12545","22575","5405","25862","45","2","54704","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51806","-4365","22277","11262","-18944","8960","-10497","-32209","6941","29446","45","2","54730","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51807","21233","-6912","20477","-22272","-8193","-11521","-22993","8221","32262","45","2","54755","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51808","18671","-18685","11518","-26112","-3585","-18433","-12241","10269","-28922","45","2","54781","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51809","-10253","4614","29694","-22528","-1025","-15873","-3537","12829","-26618","45","2","54807","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51810","-4110","-30463","-8707","-17664","-28673","-22273","-1489","16925","-31226","45","2","54832","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51811","29936","-15615","14846","-11520","-22529","29183","6448","22045","-31226","45","2","54858","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51812","-12814","-23807","17406","-7936","-22017","6399","23088","29725","-23034","45","2","54883","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
"51813","8433","27140","-30978","6401","1024","32254","-8656","-25059","1287","45","2","54909","2020-11-02 15:56:59","2020-11-02 15:57:29","1","DF:DC:EF:28:D6:3E","45","45"
