"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"54164","-761","-19194","6130","29440","32257","-15871","-25796","-525","10527","47","255","43820","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54165","8712","18182","-21775","28672","-6912","5122","-14276","-18957","-4066","47","255","43844","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54166","-7416","10246","24818","-17152","22273","20738","1597","26867","-22754","47","255","43870","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54167","26377","-7163","-8463","-1536","-28159","18178","20285","4083","24862","47","255","43897","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54168","-26359","29957","-18191","-9216","20225","18946","-25539","-18446","6686","47","255","43921","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54169","16138","-17658","6130","-32000","-5120","24066","-6851","29170","-15331","47","255","43947","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54170","-17908","19974","25074","-23552","-5376","-10239","10046","14578","30237","47","255","43972","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54171","18185","30982","12274","-22272","1537","25345","24638","-527","16413","47","255","43998","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54172","-32248","2055","32498","20224","6656","30977","-27074","-9999","2077","47","255","44023","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54173","-15606","-30713","9203","3840","19967","16386","-11970","-12047","-21988","47","255","44049","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54174","18951","-27390","19443","13824","3325","-12797","14655","-2831","-485","47","255","44075","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
"54175","-17914","-22267","14837","-6400","-2054","14597","-4545","24306","-5606","47","255","44100","2020-11-02 15:58:57","2020-11-02 15:59:26","2","DF:DC:EF:28:D6:3E","47","47"
