"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"56512","-25840","-9727","-11266","10496","-1281","11520","17963","-27938","24002","49","248","34176","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56513","-14576","-2047","-20738","-1","-769","16640","32555","-29730","10178","49","248","34202","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56514","-11760","-10495","-5890","-8449","-3073","13056","-16341","-31266","-7487","49","248","34229","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56515","-17392","-16383","-13314","-8961","-8193","6656","3116","-32034","-28479","49","248","34252","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56516","-19696","-14847","-23042","-20737","-9217","4352","24876","-31778","12993","49","248","34278","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56517","10000","31745","-8450","-22273","-18945","5888","-15572","-31778","-15424","49","248","34304","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56518","31504","28927","9726","-25345","23295","8960","31789","-31010","-1089","49","248","34355","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56519","-18673","17923","13311","20991","18175","10752","-16082","-29730","-24642","49","248","34357","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56520","26894","-5888","-4098","26111","-16642","-11521","24368","-24354","-6468","49","248","34380","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56521","18190","-30719","4607","-28673","-5634","31487","25137","-15394","-12101","49","248","34406","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56522","19471","1540","22527","-17665","17407","21247","-14543","-5922","23995","49","248","34432","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56523","3603","-8957","19455","-10241","27391","20479","-1999","3807","9403","49","248","34457","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56524","23825","30463","-25346","-3841","27391","30207","9010","13023","-2886","49","248","34483","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56525","16653","22273","29694","-4865","-32257","-26625","13618","19935","-8006","49","248","34508","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56526","18961","-8700","-10754","-4865","-3073","-12033","13618","23519","-8774","49","248","34534","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56527","2578","17664","-8707","-9729","-1793","1792","16690","25055","-13126","49","248","34585","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56528","21261","14337","-1795","-25601","-18177","6912","26930","25567","-26438","49","248","34587","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56529","-29167","261","-31234","-30721","5888","18176","-24782","24287","20666","49","248","34611","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56530","16914","6656","4862","27903","2304","29440","-8910","21983","-839","49","248","34639","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56531","-9971","28673","16638","22527","-15361","26624","14387","19423","10822","49","248","34662","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56532","-16878","-28668","-7170","22527","-3841","17664","-28109","17375","-19131","49","248","34688","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56533","7698","22271","9470","25343","-8705","14080","-8141","17631","19781","49","248","34713","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56534","-16883","10498","25598","22783","-2817","12544","-3533","16095","8773","49","248","34739","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56535","-14830","32516","-12802","17663","-2049","14080","5684","15071","-7356","49","248","34764","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56536","-14062","259","-29698","9727","-6913","26112","29236","15071","26180","49","248","34790","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
"56537","12047","-19197","27646","-13570","-11009","-14336","11829","13279","32579","49","248","34816","2020-11-02 16:01:59","2020-11-02 16:02:29","3","DF:DC:EF:28:D6:3E","49","49"
