"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"57689","-30458","32260","-16115","-26368","-11010","-24832","-14841","-14347","-4860","50","240","39287","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57690","-4857","25349","-7668","23296","17151","31232","-11257","-24075","-1788","50","240","39313","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57691","-5880","18694","-25333","-12033","9983","32767","-8697","-31755","-5628","50","240","39336","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57692","-761","-4859","-32501","24575","9471","-12802","-6137","27893","-20476","50","240","39362","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57693","19463","-14332","30988","11007","31231","26367","-7673","24309","-32508","50","240","39387","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57694","23558","-28924","7693","15615","-8449","-12033","-14073","22005","28932","50","240","39413","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57695","-31739","12292","5901","-27905","2048","-21761","-18425","22261","26372","50","240","39438","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57696","-9461","7684","3853","-13825","-9985","-23553","-19449","23029","21508","50","240","39464","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57697","7692","-15354","-21492","-6145","11776","27903","-18425","24565","15364","50","240","39490","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57698","1548","775","15372","-3585","9472","17407","-15865","27381","7428","50","240","39515","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57699","-19187","-1019","-3829","-513","5376","17919","-12537","29941","-1277","50","240","39541","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57700","-30709","-31997","-19957","-257","1024","24319","-8953","32757","-9469","50","240","39566","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57701","770","-22526","-20468","-14337","4608","19199","-6649","-28939","-16637","50","240","39592","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57702","19457","5382","8973","-28417","20736","14847","-7161","-23819","-22525","50","240","39618","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57703","-7414","19463","-25076","-22785","31744","22271","-8697","-18443","-28413","50","240","39643","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57704","15884","31235","16652","-3329","8448","26367","-8185","-13835","31235","50","240","39669","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57705","-18432","-13054","6669","11520","-10753","7935","-3577","-10507","23043","50","240","39695","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57706","18435","28167","7948","-32256","3584","9983","4104","-7691","14851","50","240","39720","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57707","12556","12038","-8438","-28928","-12289","-29185","13320","-6923","7427","50","240","39748","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57708","-20988","-25598","7690","3072","13311","-13569","19208","-9995","1539","50","240","39771","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57709","9728","5639","-14327","17663","-4098","-28161","18952","-17675","-5374","50","240","39797","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57710","-27127","-29432","-1274","1023","14078","26623","15624","-29707","-17406","50","240","39822","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57711","774","-8445","5","3071","24316","-21505","16648","11253","29186","50","240","39848","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57712","22273","22276","-22521","-17156","8187","12800","6408","-31244","11010","50","240","39874","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57713","-25598","2306","13836","-2057","25854","8192","14855","3060","1794","50","240","39899","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57714","17162","5120","-22258","19190","28161","2561","-18683","7412","10754","50","240","39925","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57715","32517","-23554","6672","2552","29440","-26879","13060","17908","30722","50","240","39951","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57716","-16887","-32513","-21488","5627","6653","-20224","9987","2036","-22526","50","240","39976","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57717","9993","-20735","11281","-3331","6652","-21249","-19454","31987","-28158","50","240","40002","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57718","2315","2048","-18160","-4610","22013","15872","-29182","-2062","32002","50","240","40027","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57719","12042","-4864","-30191","2046","2305","14849","14594","-4878","-23550","50","240","40053","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57720","2574","-2047","16401","-23298","-3071","14593","-13311","11763","-4606","50","240","40079","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57721","30990","-24829","17680","29439","20995","-32259","-17919","-24333","-11518","50","240","40104","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57722","1801","-11775","-15344","-22014","1280","-5637","16386","-7693","11522","50","240","40130","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
"57723","-12792","-11519","26639","7685","10496","-5637","18947","-4365","28417","50","240","40155","2020-11-02 16:03:08","2020-11-02 16:03:38","2","DF:DC:EF:28:D6:3E","50","50"
