"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"9434","516","20992","-18163","-9217","3072","28160","3329","-4359","-2064","9","240","17703","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9435","-4605","23552","-14579","768","8704","17920","1793","-3591","1521","9","240","17728","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9436","-22781","24320","-2547","3584","6656","26368","1281","-2311","5105","9","240","17755","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9437","2308","24576","-13299","-1","-9217","32256","1","-3079","10225","9","240","17778","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9438","11780","-21504","-29683","7936","-5633","18688","-512","-4615","13809","9","240","17804","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9439","3589","-3585","9741","12032","-12289","16640","769","-5127","15857","9","240","17829","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9440","4358","-16641","-10485","8448","-10497","24832","1025","-5895","18417","9","240","17855","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9441","-31485","-28925","-13553","-257","5376","23552","1","-7175","22257","9","240","17907","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9442","-22522","-12542","21774","6144","2560","27136","-768","-7943","26097","9","240","17909","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9443","1793","2047","16397","768","-11521","25856","-1024","-9223","30193","9","240","17932","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9444","8450","4348","27660","-1281","-16641","26624","-2048","-11015","-31247","9","240","17957","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9445","-13823","-3844","27916","-2817","-10241","15104","-3328","-12551","-27919","9","240","17983","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9446","-765","1539","-29938","-3073","-9217","1792","-4096","-13319","-26639","9","240","18009","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9447","-16123","7938","-2803","-1","1280","6400","-5376","-14087","-25871","9","240","18034","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9448","30977","-8196","7693","0","-8449","3584","-4864","-15111","-25359","9","240","18060","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9449","5126","-19196","32014","2304","-513","11776","-5632","-15367","-23823","9","240","18086","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9450","20993","-25604","11277","2304","-10241","17664","-4864","-16647","-21775","9","240","18111","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9451","-26618","-5629","8462","6400","-3841","15360","-6144","-17415","-18447","9","240","18137","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9452","6146","14334","30221","12800","-2305","3072","-3584","-18695","-17679","9","240","18162","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9453","25093","-1280","15885","17152","2816","7424","-2816","-17927","-16143","9","240","18188","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9454","1796","-29951","-28147","8704","-3329","6912","1","-18695","-15119","9","240","18214","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9455","-17149","30205","-500","7424","-5121","8960","-512","-18951","-13583","9","240","18239","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9456","2822","-29436","19470","9984","1536","-5633","1537","-19719","-13583","9","240","18265","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9457","-31743","-15365","26893","8704","-5633","-7681","3073","-19975","-14863","9","240","18290","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9458","-30719","15871","14349","7424","-7425","-4097","4609","-20487","-15631","9","240","18316","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9459","-19450","27650","-17651","10496","5120","6400","5633","-20487","-15375","9","240","18342","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9460","22788","20995","-30194","12032","15616","11008","6913","-20999","-13839","9","240","18367","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9461","-14588","7423","11788","14848","-9729","31232","8449","-20999","-10767","9","240","18393","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9462","21765","5376","26892","4096","-8449","-10752","7425","-20999","-4111","9","240","18418","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9463","-16382","2561","10766","-11777","-2049","-5888","3841","-22791","5106","9","240","18444","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9464","-21501","1538","-17395","-16641","-12289","14337","-1536","-25095","16114","9","240","18470","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9465","32001","18693","29710","-22785","-14337","-31231","-7936","-26375","29682","9","240","18495","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9466","9209","-7156","-24816","-32001","2559","19458","-14592","-30471","-17678","9","240","18521","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9467","23008","-23024","-17384","-14593","-31236","14346","-29696","18425","-23821","9","240","18546","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9468","-20508","7171","-27623","12289","-17672","29214","-24577","-21768","12023","9","240","18572","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9469","-27646","27639","-21980","19205","-7678","-13788","12542","-22280","-1284","9","240","18598","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9470","23828","30447","-27599","-3311","12806","25884","-28930","10490","4354","9","240","18623","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9471","-22507","-28184","14380","1313","28417","-29425","-15103","-26886","21509","9","240","18649","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9472","13583","19176","14865","-11995","13822","18439","-7674","11514","-5626","9","240","18674","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9473","11543","25067","-27140","10779","29176","7681","-27381","5881","9991","9","240","18700","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9474","-12009","-9240","-2842","-29433","-30986","-5641","28174","10232","-14075","9","240","18751","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9475","-30700","26343","18151","30448","-21517","-26127","21774","-19721","9475","9","240","18753","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9476","-6892","20455","12539","16108","-30983","31718","32012","-2313","32767","9","240","18777","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9477","14074","18665","21231","4593","18435","20699","22283","26874","-3590","9","240","18802","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9478","-21291","-32014","2547","-7452","-7429","232","-6904","-26116","-25354","9","240","18828","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9479","26843","-15626","-16887","26076","23542","-30976","772","4860","-1292","9","240","18854","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9480","-16402","17139","23313","17629","28406","8973","16638","-10246","21494","9","240","18879","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9481","4090","-5392","5389","-6177","4853","21777","26360","-9991","9977","9","240","18905","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9482","-20996","-13333","7433","3553","-15111","12562","-17678","762","20732","9","240","18931","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9483","18162","-13347","-27887","-6947","11004","27666","4333","25595","-7170","9","240","18956","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9484","-3592","27095","-9183","3042","-3336","24857","-25881","-6147","-28415","9","240","18982","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9485","-23801","16096","11300","-25613","13564","21271","-23836","7169","-12797","9","240","19007","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9486","15109","-3355","-231","30723","-4103","4111","-23580","26115","-32763","9","240","19033","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9487","13309","20200","-18673","-16889","4600","17421","7398","-9724","18951","9","240","19058","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9488","-2311","22247","27918","-7934","6640","13841","-26393","7686","7434","9","240","19084","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9489","-6646","-29216","31227","-6662","8425","8721","-27672","1287","21006","9","240","19110","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9490","-23284","17120","-13289","-23294","16109","14603","-32023","1287","26386","9","240","19135","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9491","-21750","22242","-22764","5130","1265","-6403","20715","-6139","-18156","9","240","19161","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9492","1021","9955","-27636","-10992","19955","9207","-16659","-17149","-25835","9","240","19186","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9493","22015","28131","-17908","17684","6389","-17419","-29968","28417","-15083","9","240","19212","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9494","-16899","12260","29443","-15084","4085","-7949","-24333","6399","19733","9","240","19238","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9495","-28156","-17944","24328","-2032","32757","27122","26614","-15876","22036","9","240","19263","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9496","-14589","28139","-32005","2578","28665","-6165","28409","-23046","17426","9","240","19289","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9497","-29943","-23323","-32509","15382","-14849","27361","19965","14585","28686","9","240","19314","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9498","21513","-27402","-11030","-5121","3836","-16915","6912","12537","-23030","9","240","19340","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9499","24340","4331","-24577","8187","14340","-11554","-27136","22777","27654","9","240","19366","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9500","17661","-23577","11006","20478","-26876","-25642","-22783","17146","17152","9","240","19391","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9501","-4375","-13330","-10506","-17668","4104","-7974","-25598","3836","17914","9","240","19417","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9502","2270","28918","3573","31471","10751","-26396","-24319","15101","31477","9","240","19442","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9503","-13605","-6918","21254","-1307","9722","-12303","26878","-11524","29682","9","240","19468","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9504","-20509","8955","14602","-31514","-521","10494","-30470","-10757","-24335","9","240","19494","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9505","-8979","4086","-20221","1000","-13064","2823","-27658","7163","-27150","9","240","19519","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9506","9458","-24083","-25085","-29977","31229","19211","30194","23291","18420","9","240","19545","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9507","5362","-21531","-25845","-19739","28416","30476","13550","-23044","-16907","9","240","19570","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9508","4851","29667","-31214","-18970","-1540","7694","490","14078","13815","9","240","19596","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9509","31219","-11292","30484","-32530","-13828","-19184","-17434","7936","-10504","9","240","19622","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9510","-19","-15394","27408","-9736","11006","26134","10469","-12542","24058","9","240","19647","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9511","-19974","1757","22539","-30209","-8442","-12518","-1564","-18938","22779","9","240","19673","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9512","8723","9191","779","-17414","28671","-22512","-14620","-2295","-6405","9","240","19698","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9513","-22699","-25108","11779","-16140","-28687","-503","29924","3595","9470","9","240","19724","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9514","7671","743","17159","-22796","31471","27407","12516","28939","20481","9","240","19750","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9515","15620","6116","-26356","18681","13556","19983","-29980","7693","-31996","9","240","19775","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9516","24835","10214","-22762","2304","-14350","25868","-7963","13070","-19961","9","240","19801","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9517","26884","-14620","30225","-11512","28656","26372","-22552","9486","-14582","9","240","19827","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9518","-516","2018","-13038","9740","-19732","-8706","-7701","-29428","-26867","9","240","19878","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9519","11772","31457","-22511","-12527","-23058","30715","12271","16394","-31729","9","240","19880","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9520","-5123","-9757","-10224","-31724","6127","1015","23794","32263","22032","9","240","19903","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9521","16633","-23323","-19442","12824","-5137","-2575","-21771","28164","-5361","9","240","19929","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9522","26106","5865","-1783","-8935","-2064","12527","14841","21505","-27378","9","240","19957","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9523","28923","22509","-23300","-12776","21236","-2580","3069","-11266","18956","9","240","19980","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9524","-22782","24818","8437","21262","7671","-21","7680","12797","27145","9","240","20006","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9525","-20221","29425","7158","-28923","-24838","3813","-1023","23804","-22523","9","240","20031","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9526","32255","-29711","9718","3835","-10249","25569","-27646","-12549","1537","9","240","20057","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9527","-23045","-7696","-28681","-31504","29428","4576","-11775","-16646","-517","9","240","20083","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9528","-10773","-29196","-4098","-7705","-1038","-10015","-8193","5113","-3850","9","240","20108","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9529","-4890","-21763","22026","24806","-3087","3566","10493","-6410","23027","9","240","20134","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9530","232","-10240","25876","-32021","-22290","2811","12794","-30732","8946","9","240","20159","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9531","-28688","13819","-7666","-20751","-17431","16645","-10250","-10255","-23309","9","240","20185","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9532","-15118","-18444","-30714","-30220","24810","-15349","-27918","-24081","24823","9","240","20211","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9533","499","-4880","29444","15093","-4365","-6127","-20755","23535","3324","9","240","20236","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
"9534","-18955","-20757","776","28917","15871","8216","-12823","-23567","32255","9","240","20262","2020-11-02 15:11:08","2020-11-02 15:11:37","1","C7:F7:8F:B2:48:BE","9","9"
