"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"10601","26112","-22273","-29681","-19457","25088","-32256","-24834","-32513","15941","10","3","26109","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10602","20481","-15617","1295","-22272","-3073","18176","-21506","-31489","20293","10","3","26135","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10603","-7936","-26369","18958","-5632","6912","-25601","-12546","-32001","19013","10","3","26161","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10604","10496","19199","-6131","-17408","24320","20735","-4098","-29441","12613","10","3","26186","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10605","-28928","-17666","-4851","-25600","27136","-26881","2559","-25089","6725","10","3","26212","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10606","-8963","768","32526","-20736","-20992","-9985","8447","-20481","3653","10","3","26237","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10607","-16638","-3331","-23795","-3328","23296","16640","16383","-16385","4421","10","3","26263","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10608","3331","-20994","-9716","4097","16640","-28928","25599","-14337","8261","10","3","26314","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10609","15356","22780","-17139","-13056","-8961","513","-30977","-13825","16453","10","3","26316","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10610","-27647","-21253","4364","-26624","9728","21761","-24833","-12289","28741","10","3","26339","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10611","-3583","-1029","12300","19712","21504","16385","-21249","-9473","-23483","10","3","26365","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10612","-13314","26363","28941","1280","26368","-4608","-19969","-5377","-12987","10","3","26391","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10613","3328","21507","-6385","-6145","29440","-15616","-20737","-1025","-4539","10","3","26416","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10614","-23038","4606","25356","768","30720","-19968","-21761","3072","2630","10","3","26442","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10615","-14850","3585","-29425","12544","11264","-30976","-19457","5376","8518","10","3","26468","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10616","12034","-25346","2316","25344","4096","29440","-17153","6656","13126","10","3","26493","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10617","-1","-23806","2064","12288","-1","15104","-13057","5888","16710","10","3","26519","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10618","-22528","-12293","-26612","6400","19456","-2817","-12801","7936","17222","10","3","26544","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10619","6913","-21244","-23025","15616","11520","-4865","-10753","9472","16454","10","3","26570","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10620","26878","1531","7693","30976","6144","-2561","-6657","11008","15942","10","3","26596","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10621","-21758","-20734","-23284","32000","10240","1280","-2817","12032","16198","10","3","26621","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10622","-30210","-8449","-22514","19712","9984","-10753","1792","13056","15430","10","3","26647","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10623","-32767","-5124","5132","5888","23040","29183","2304","15872","11334","10","3","26672","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10624","18431","-1021","-25073","-14337","-27904","18687","1792","19968","4678","10","3","26698","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10625","-14082","5634","15120","-20481","5633","11263","-1","28416","-3003","10","3","26724","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10626","-19195","-4602","-12528","-6401","12546","-12291","-1025","-21760","-17595","10","3","26749","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10627","3338","-14334","-7918","-30208","32514","25594","1280","-256","7237","10","3","26775","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10628","-14328","16902","13077","-17406","-18431","-26634","17152","17409","-6845","10","3","26800","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10629","19467","17926","-12522","-28666","27391","15348","-2048","20225","15682","10","3","26826","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10630","24071","30725","-12264","3595","-2308","23025","19714","4353","11328","10","3","26852","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10631","-23811","28161","-3302","-2290","-24582","-14865","17156","-21504","-20931","10","3","26877","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10632","30705","3837","-31715","529","-4355","-25102","-23034","-22784","20795","10","3","26903","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10633","16103","32244","9499","-6638","1537","19706","15369","20993","3642","10","3","26928","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10634","28893","-26898","11793","-27884","-20996","18948","9484","17153","-3783","10","3","26954","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10635","-13605","-1814","30973","-10735","1276","30992","1039","-3073","-198","10","3","26980","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10636","7144","-30999","19946","-3325","-26877","10779","28176","-13059","-22979","10","3","27005","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10637","-3582","-26132","-28183","1009","-6897","-25314","-26354","20732","25154","10","3","27031","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10638","32544","22003","-7937","29160","-23537","-27881","31242","-1285","-21574","10","3","27056","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10639","18215","-27400","-8436","-32279","-12790","-30972","26630","-11780","14269","10","3","27082","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10640","-24045","-21515","-4086","-27924","17926","-26633","16643","-5379","-12100","10","3","27108","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10641","28687","1782","-22516","4845","13063","-16140","25344","-5634","21691","10","3","27133","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10642","7439","8954","-15599","20462","8","1264","-28419","-1793","-14267","10","3","27159","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10643","-14066","20990","-23272","-16142","11778","32748","15611","8192","-4798","10","3","27184","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10644","1552","-5119","13092","-18697","15870","-12567","-16391","9983","-11457","10","3","27210","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10645","28943","-7683","-7890","19454","-21250","-30746","25337","-16643","24636","10","3","27236","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10646","22532","-24074","-4816","13575","12544","-30492","32250","-32516","24632","10","3","27261","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10647","-14853","-19982","-6109","-25842","32003","16361","-2052","8700","-31948","10","3","27287","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10648","-16897","12018","3604","-12531","6149","-3092","-22273","-23044","24881","10","3","27313","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10649","-29448","-15378","-239","-18167","8454","-20753","-23551","-23555","-19154","10","3","27338","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10650","-31760","1516","-23013","-1525","24838","9974","15875","-7938","-8404","10","3","27364","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10651","-12820","-7959","18967","-6383","-250","6399","30981","8448","25388","10","3","27389","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10652","-9750","-18711","-31468","-23529","-30204","23818","-29688","-11520","31533","10","3","27415","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10653","-18194","16106","-18422","-6630","-3330","19987","25612","768","-17617","10","3","27466","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10654","-10254","-14611","770","29719","-16131","-26599","1296","-22275","19762","10","3","27468","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10655","6132","15598","-12036","-31985","23807","1055","17170","-25350","29493","10","3","27492","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10656","-12556","4073","24315","20998","-6142","2088","27410","-21258","-31943","10","3","27517","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10657","14338","18661","-3325","-13828","-15856","-24531","2831","12275","25664","10","3","27543","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10658","7440","23272","-14840","10490","6166","31788","-13560","23538","4797","10","3","27568","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10659","26395","-13843","-19724","-32007","-4073","28964","21251","-13","19141","10","3","27594","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10660","-26836","19953","8434","15599","23319","18455","-3586","12023","-29238","10","3","27620","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10661","1839","-14097","11517","-2584","-20207","-7167","9979","1786","-6965","10","3","27645","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10662","-5861","226","16391","28903","29709","-26128","-15113","-30469","-9527","10","3","27696","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10663","-20983","-28191","-25332","3049","-7669","-32272","-28684","5372","-17210","10","3","27698","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10664","-6129","-13333","-10740","12778","-19186","-26636","-31247","-17668","-2877","10","3","27722","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10665","-32740","17650","18703","-790","-31217","496","-22546","765","-6720","10","3","27748","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10666","-3041","-3610","31770","16877","-28399","21477","16876","764","-18500","10","3","27773","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10667","-31993","-18471","-20448","-26635","-7662","31454","19947","-11527","68","10","3","27799","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10668","-24059","-9255","13608","-5374","12821","-23582","-20244","6904","17214","10","3","27824","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10669","24574","-11812","-25824","28433","4877","-14616","22000","18679","16441","10","3","27850","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10670","26357","25054","25879","-10471","3847","-8721","8181","-6154","-11723","10","3","27876","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10671","4338","-546","-9198","-5350","-17146","21240","-8455","23031","-13261","10","3","27901","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10672","-22802","224","-18924","18204","-12795","25344","6142","25080","14643","10","3","27927","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10673","32242","1251","-17139","-1252","-22267","20231","4098","22009","4660","10","3","27953","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10674","11248","-14360","-26877","1817","-22523","-17140","-31995","-263","-6347","10","3","27978","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10675","23540","-27411","14075","31758","7685","1557","-30713","6906","-8392","10","3","28004","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10676","-1289","497","10239","2820","-20731","-6887","-28153","-21767","-14788","10","3","28029","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10677","-31224","-30472","30469","5890","13322","-11239","-29946","30713","16961","10","3","28055","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10678","-14841","-28164","-8962","16897","26124","9746","-17147","23802","1861","10","3","28081","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10679","23556","12028","17153","7167","-4601","8208","7429","1275","20923","10","3","28106","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10680","-32760","-20741","-27908","-5383","11787","-22514","-1277","-4869","-3395","10","3","28132","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10681","17681","-18950","16891","-6414","-18163","-18164","3330","-32259","22464","10","3","28157","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10682","-8680","26108","5889","32494","-26614","8709","28671","13055","-17983","10","3","28183","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10683","535","-25094","28165","24047","19716","19196","-14596","5120","-28223","10","3","28209","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10684","-492","22774","-19959","-23823","31233","-4107","26362","1024","24256","10","3","28234","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10685","10260","-29709","32270","-27404","-32255","-6413","29176","-30209","-22850","10","3","28260","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10686","22289","6898","22548","30965","23298","-18702","-12298","-258","-20804","10","3","28285","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10687","-7151","-28938","27159","-27145","25607","22001","32501","-19714","26554","10","3","28311","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10688","22549","22008","21007","-20488","24587","7149","-28684","-17922","324","10","3","28337","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10689","4883","-784","-997","-10506","-3570","16101","30707","-29442","-10433","10","3","28362","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10690","2823","-8984","23075","-18179","-24054","-4639","1779","-19715","1851","10","3","28388","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10691","4346","-10014","-11743","17670","19717","21476","1268","16380","-22986","10","3","28413","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10692","22260","18147","-7901","-9972","-32252","28141","11510","23547","17459","10","3","28439","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10693","-5904","10725","20000","27154","261","32757","-8968","25595","5681","10","3","28465","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10694","-2069","4581","1299","16407","2307","18940","19964","-19205","3376","10","3","28490","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10695","24555","7400","19730","25109","-29177","30211","-30721","-18436","6192","10","3","28516","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10696","12787","-21","27659","-23022","-26101","3337","18178","20734","17201","10","3","28541","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10697","26098","7150","-16879","-20208","6157","30991","-21756","4608","31283","10","3","28567","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10698","26871","-2576","-758","-13809","6924","16404","8199","15873","-19658","10","3","28593","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10699","18940","-6158","7426","-12533","24841","32280","23817","-29951","-30150","10","3","28618","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10700","-6144","19444","-24837","-1277","21002","-4327","-20470","10241","-20162","10","3","28644","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10701","32263","2549","24827","-19720","-17394","-2536","27146","2561","3395","10","3","28669","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10702","21515","-31243","-8963","-24081","-19697","-13800","-25336","-24575","-9542","10","3","28695","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10703","-30948","-22535","-30969","-2835","-12276","-13292","10246","23810","-5954","10","3","28721","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10704","16421","8959","-26366","13041","-20727","-2043","-2557","24579","9153","10","3","28746","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
"10705","-30688","20477","-3843","12017","20227","15607","-21503","4868","-17216","10","3","28772","2020-11-02 15:12:20","2020-11-02 15:12:50","1","C7:F7:8F:B2:48:BE","10","10"
