"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"11800","-13040","-15363","28670","-8449","12032","-32768","-10277","-7711","3047","11","11","12895","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11801","31249","13054","6398","23807","-6145","-29440","-15141","-2847","3559","11","11","12918","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11802","-14319","24318","13310","-12290","-11265","16384","32731","-31","11495","11","11","12943","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11803","-8431","21758","-3","23550","-18945","-1281","3547","-31","26343","11","11","12969","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11804","21265","8958","16382","-23043","15104","-18945","-22310","-2591","31719","11","11","12994","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11805","26897","-17668","31486","6653","4608","14591","22746","-8991","25063","11","11","13020","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11806","-31991","-30980","11776","-6404","-513","-9986","-3879","-18207","20967","11","11","13046","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11807","16906","-24326","-16639","19709","-17921","-4610","32473","-28447","21479","11","11","13071","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11808","10003","24831","16129","8702","-16641","-2","-5672","27873","-27417","11","11","13097","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11809","30729","-10756","-26878","-2306","32767","13567","23768","19937","-4121","11","11","13122","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11810","-21751","23805","-16639","-21505","-27137","25599","-5929","14561","20456","11","11","13148","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11811","-8178","24065","-13568","-5377","-20993","32255","-28713","10721","-22552","11","11","13174","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11812","15125","-21253","-17668","-29441","-27905","-25345","7383","7649","4585","11","11","13199","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11813","2569","-8709","-19456","14591","-26369","8448","-23338","6625","28649","11","11","13225","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11814","-2795","14078","7935","25599","-5121","-7936","-30762","14049","29417","11","11","13250","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11815","-13302","29179","24833","-14081","2048","18689","-15914","24033","10217","11","11","13276","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11816","-26345","14076","-16387","11776","9984","16897","8919","-26911","-14616","11","11","13302","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11817","-15860","-4098","-27135","22784","-257","-6656","28119","-18463","-31256","11","11","13327","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11818","27413","16121","-16388","28672","-5121","25856","-27945","-11807","28904","11","11","13353","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11819","2321","-6911","7169","27392","-11521","-5121","-31273","-11807","-28952","11","11","13378","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11820","32014","-27912","11262","32512","-16897","-16129","28119","-13855","-17688","11","11","13404","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11821","14102","-26369","22270","29696","-1025","-2817","24791","-13599","-9240","11","11","13430","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
"11822","2315","8701","-25600","24320","-4865","-769","27095","-15647","-7704","11","11","13455","2020-11-02 15:14:15","2020-11-02 15:14:45","2","C7:F7:8F:B2:48:BE","11","11"
