"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"12994","26363","9728","-29171","18943","-20736","8448","18687","1286","-29241","12","253","7330","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"12995","27387","256","-15859","-10497","22784","-513","14847","6150","-28985","12","253","7355","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"12996","-27653","-1793","-16371","31488","-7169","2816","17407","7686","-28729","12","253","7381","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"12997","-30981","0","17165","-3584","-28673","-7937","25343","4358","-29241","12","253","7406","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"12998","-22533","-7937","-8948","-15104","-9473","-3841","-31233","2054","-29753","12","253","7432","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"12999","-28930","19454","-13557","29952","-19713","-9985","-25089","1798","-30777","12","253","7457","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13000","11770","5379","-15859","6400","27904","12799","-23553","1798","29383","12","253","7483","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13001","-27652","-28925","14861","-18177","-5632","-21762","-27393","5638","18631","12","253","7509","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13002","19706","-28676","-9206","20735","-28928","25086","29183","13318","2759","12","253","7534","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13003","-15875","-14852","-17142","-6658","-16897","-19970","15103","15366","-12346","12","253","7560","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13004","-4612","-8453","15627","-17922","10495","7423","-514","8198","-23354","12","253","7585","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13005","25081","251","3341","-1538","19199","-23297","-13314","518","-28474","12","253","7611","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13006","-7688","-15102","-13553","25343","19967","-17921","-21762","-5115","-31290","12","253","7637","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13007","-15875","-7426","-19958","-23297","23807","-6145","-27138","-11003","32454","12","253","7662","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13008","-25097","4606","-1267","27647","10495","16128","-30466","-17659","-31546","12","253","7688","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13009","32253","9216","1547","14335","-17153","-11008","28158","-19963","-25658","12","253","7713","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13010","-8200","18942","-29681","11519","22783","8449","23806","-23035","-14138","12","253","7739","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13011","15102","16638","7691","22271","21247","22785","18430","-26875","-1594","12","253","7765","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13012","3322","26881","-8689","-31489","511","-26111","17918","31493","15303","12","253","7790","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13013","23038","-21765","-28149","-10241","20991","32001","18686","24325","31943","12","253","7816","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13014","-4100","19460","18959","-14337","-26881","18945","20734","18693","-19001","12","253","7841","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13015","-22020","15867","25868","-17665","-12545","-2816","21502","16645","-7225","12","253","7867","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13016","3584","11012","2828","-22273","9983","-29440","19710","11269","200","12","253","7893","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13017","-4353","-11524","27403","-32513","-23811","-16897","17662","-6652","3016","12","253","7918","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13018","-10496","9220","3852","5119","-11525","-12290","9726","22788","-2361","12","253","7944","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13019","-15104","3331","-11509","17406","-20231","11518","-5123","28419","-13113","12","253","7969","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
"13020","-8701","28414","11273","23804","22520","22013","31997","18178","-28473","12","253","7995","2020-11-02 15:16:18","2020-11-02 15:16:47","3","C7:F7:8F:B2:48:BE","12","12"
