"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"14166","-520","29700","-17158","-13067","-17156","-10482","27167","-30726","-15359","13","7","8214","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14167","27132","22273","-16385","20721","-8964","-17901","27933","-14857","-11007","13","7","8239","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14168","28414","22013","26372","-24080","-18691","14616","-17382","28660","-27134","13","7","8263","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14169","22535","-27912","15620","4850","-10751","11547","16919","-14096","-17404","13","7","8288","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14170","-28658","5367","27396","-31759","18185","-8170","19730","12014","-10488","13","7","8313","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14171","17167","-15114","-28149","-13331","-15348","-14061","-13301","-22035","14350","13","7","8339","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14172","-32488","-12042","14350","32747","7","-23022","7173","-14099","7187","13","7","8365","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14173","11291","-1542","7696","11758","20745","-7926","-19201","-24082","-29930","13","7","8390","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14174","-10217","20993","16405","25839","-19189","-15105","-19716","23280","9239","13","7","8416","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14175","265","-14851","-12770","9457","-25851","-32001","-23046","-29199","-27882","13","7","8441","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14176","-12534","-32514","21272","24566","20226","-2557","-14600","10738","-14058","13","7","8467","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14177","-16120","-260","17683","19961","2561","18950","15607","-17678","-27881","13","7","8493","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14178","22536","14078","-12779","-16903","-23043","16391","-26123","-1038","-14056","13","7","8518","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14179","22810","-17922","3598","-18949","-24066","20741","11764","10995","-999","13","7","8544","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
"14180","22289","-9738","-1010","12288","-11776","3071","-16653","13555","17946","13","7","8570","2020-11-02 15:17:23","2020-11-02 15:17:52","3","C7:F7:8F:B2:48:BE","13","13"
