"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"17688","31737","7682","-25333","-5889","-3841","1792","31748","29962","-6454","16","251","18177","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17689","-15623","8962","-10229","-12289","6400","-2561","30212","30474","-6454","16","251","18202","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17690","13049","8194","-19189","-7169","-2305","-4865","28164","31242","-7478","16","251","18229","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17691","-26375","12802","-19701","-5377","-3841","6656","27140","30986","-7222","16","251","18253","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17692","-10758","16641","11020","-11777","-10241","11776","26628","29962","-5686","16","251","18279","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17693","25596","31745","-22006","-8705","-5889","12032","25348","29450","-4662","16","251","18305","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17694","12279","18692","-1780","-8961","1536","9728","23812","28938","-3638","16","251","18330","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17695","17402","25094","-21748","-2561","2048","15360","24580","27402","-566","16","251","18356","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17696","-8","-2051","-17397","-8193","-513","12544","24836","26378","1739","16","251","18407","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17697","-12549","21247","30730","-4353","18688","9472","24068","28682","3531","16","251","18409","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17698","18938","8702","-28150","9728","9728","6656","24836","30218","5067","16","251","18433","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17699","247","-30209","20749","11520","-4353","9728","27396","30218","6859","16","251","18458","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17700","11003","17671","-9459","6144","3072","2304","29188","30730","7627","16","251","18484","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17701","15866","26622","14345","2560","7168","-7425","29188","31242","6859","16","251","18509","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
"17702","-3080","25349","16","2816","5376","-6657","29444","32522","5835","16","251","18535","2020-11-02 15:23:57","2020-11-02 15:24:26","1","C7:F7:8F:B2:48:BE","16","16"
