"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"20050","19713","13056","-11507","32256","7168","-13569","26881","25597","753","18","1","17621","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20051","7425","25088","25613","-30976","6144","-10497","32001","26877","-1040","18","1","17647","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20052","13569","-23552","3853","25344","1536","6912","-29183","27645","-1040","18","1","17674","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20053","18177","-14848","14093","9728","768","15872","-27135","27901","1009","18","1","17697","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20054","-20736","6913","-27123","512","-3073","19968","-27135","27133","3825","18","1","17723","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20055","25600","767","20493","7680","-14593","25600","-26879","25597","7921","18","1","17749","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20056","-26110","12803","-28403","7936","25344","-29440","-26367","26877","13041","18","1","17800","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20057","30979","-28157","-27635","1792","-26368","28416","-26879","29181","18417","18","1","17802","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20058","17408","30205","8717","-2049","-1281","19712","-27135","30973","21745","18","1","17825","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20059","-17920","17406","-10741","-9217","-513","15360","-28927","31741","24305","18","1","17851","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20060","-24834","20221","23051","-19457","-23297","18432","-31999","29437","27121","18","1","17877","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20061","-12289","16894","-26869","-25601","19455","25344","29697","24317","30449","18","1","17902","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20062","32518","-24828","18704","-24577","-26881","15616","25089","19709","-31759","18","1","17928","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20063","-4612","19965","-27123","-5377","-19457","-513","22529","15101","-31247","18","1","17953","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20064","-25851","-31741","8206","1024","0","-5377","23041","14333","-32015","18","1","17979","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20065","-2820","-15107","18189","4352","-9217","4096","23041","14077","-32271","18","1","18005","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20066","12551","6404","-10995","-12801","-9217","0","22785","12285","-32015","18","1","18030","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20067","17916","2557","31244","-16641","-27393","-12033","20225","8957","31985","18","1","18056","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20068","20742","19205","-26100","-1282","12285","-22529","14849","-5380","28401","18","1","18081","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20069","-24335","-9732","-6650","-27908","-10504","-19200","-7424","4604","26097","18","1","18107","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20070","10237","12808","2304","-7175","510","9989","1024","24571","-8975","18","1","18133","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20071","19431","-5121","25859","6647","-29181","-19446","-25346","-12293","11507","18","1","18158","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20072","23787","13576","4101","-26123","-12542","-4338","-13572","-21252","8693","18","1","18184","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20073","-12833","-1802","19462","30963","-26368","24601","-20486","-20227","16120","18","1","18210","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
"20074","12785","20210","22797","-14096","-3848","19230","3576","-22786","-21508","18","1","18235","2020-11-02 15:27:08","2020-11-02 15:27:37","1","C7:F7:8F:B2:48:BE","18","18"
