"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"24802","10749","-21497","8715","2816","18944","-3073","-19442","-25851","-7980","22","241","43175","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24803","12285","-21753","3851","7168","4096","10496","-18418","-25595","-6700","22","241","43201","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24804","25341","-19449","12555","5888","24064","22784","-16882","-26107","-3372","22","241","43228","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24805","24573","-10489","2571","18688","-16128","13568","-13810","-22779","3285","22","241","43252","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24806","12029","-32761","-17654","26112","5376","2304","-9202","-20987","6869","22","241","43278","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24807","-12801","-505","-18936","22272","-4609","12800","-5618","-22011","7381","22","241","43303","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24808","-262","-15867","-28662","1280","5120","256","-4338","-21755","8405","22","241","43329","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24809","1786","-21243","24842","1024","7680","5632","-3314","-18939","11221","22","241","43354","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24810","-12802","18699","-6646","-769","-25600","9216","-2546","-16379","15317","22","241","43380","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24811","-13318","-15605","-20212","-7937","19456","8704","-2290","-14843","18901","22","241","43406","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24812","-14085","-23796","-19700","-257","13824","4864","-2034","-13563","21205","22","241","43431","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
"24813","27903","-27894","21769","3328","26368","7936","-1522","-11771","23253","22","241","43457","2020-11-02 15:36:05","2020-11-02 15:36:34","0","C7:F7:8F:B2:48:BE","22","22"
