"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"29513","14592","17153","30733","-11011","-27902","-7935","-22783","-30466","-18728","26","254","51427","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29514","16383","-26368","-29171","16637","-8701","16898","15617","3327","4057","26","254","51452","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29515","-27905","-11008","-15602","-14339","-26621","-6142","-10240","-25345","32729","26","254","51478","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29516","30208","-11519","-3057","-28161","-9470","26625","-22272","9472","-8999","26","254","51503","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29517","-8960","17922","1551","22785","7678","11519","-14592","9984","-10023","26","254","51529","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29518","8448","-28157","-4851","-28671","30972","17918","1793","-22785","-26407","26","254","51554","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29519","20475","5120","-4338","-5121","25854","-9218","9217","18687","23513","26","254","51580","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29520","-19461","17412","272","-11266","19201","14336","1793","22527","20185","26","254","51605","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29521","31232","8444","-7922","29695","-23804","-23552","-8704","-16129","28377","26","254","51631","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29522","13055","-5637","-24051","1281","30467","29696","-4096","-31488","-31015","26","254","51657","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
"29523","17148","16893","4622","514","17410","9216","13313","-4608","-26663","26","254","51684","2020-11-02 15:47:57","2020-11-02 15:48:26","3","C7:F7:8F:B2:48:BE","26","26"
