"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"30683","17153","-30715","-31219","28160","-7938","10754","31243","32767","-28442","27","250","38004","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30684","-2048","-10747","-11508","29184","6654","-25599","-30197","9983","-20762","27","250","38030","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30685","11777","2310","26892","-8705","-28164","23809","-29429","-21250","-21530","27","250","38053","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30686","-21759","-3323","10508","22271","-7686","2305","32011","-1283","31718","27","250","38079","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30687","3587","12550","-16117","32767","8187","-5120","27403","15357","15078","27","250","38104","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30688","15873","-11770","-32500","-769","19197","28672","26635","-19716","3302","27","250","38130","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30689","-6652","-13304","-16885","24832","27391","-1793","30219","31228","-2587","27","250","38156","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30690","-8701","-26871","5901","768","22782","-257","-32757","20476","-10011","27","250","38181","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30691","23042","-8447","13323","-26881","5374","20736","31243","3068","-17179","27","250","38207","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30692","-25338","-12026","23052","-27649","-29954","8448","26891","-13829","-23579","27","250","38232","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30693","-21499","-6138","17164","-9473","-13314","17151","25355","-24325","31717","27","250","38258","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30694","26624","4354","8972","18432","5119","21247","28427","-29957","19685","27","250","38284","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30695","-9729","19463","7693","-29440","13823","1280","-31221","29691","13285","27","250","38309","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30696","13061","16136","30220","2305","-18945","-7424","-24309","24315","16101","27","250","38335","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30697","30975","-9980","-24053","10497","6400","19457","-14069","16891","25829","27","250","38361","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
"30698","-26618","-30201","-25334","-2816","8193","-7168","-7669","17915","-25883","27","250","38386","2020-11-02 15:49:52","2020-11-02 15:50:21","3","C7:F7:8F:B2:48:BE","27","27"
