"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"31857","-1","30724","21773","7936","8704","-15105","-23033","12288","17632","28","254","33024","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31858","-14849","-19708","-244","13056","512","-8193","-21241","13568","16096","28","254","33050","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31859","-5377","28676","-8692","6912","-3585","-513","-19705","13568","15584","28","254","33077","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31860","3840","17668","-1012","-13569","-13825","-2817","-20729","12032","14816","28","254","33101","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31861","-11777","-9213","24845","-20225","-8193","-16129","-23801","10752","13024","28","254","33127","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31862","27393","-8699","-15860","-7937","-8961","-15873","-26617","9984","9952","28","254","33152","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31863","26370","2051","-29940","-6145","-13313","-12289","-28665","9472","6368","28","254","33178","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31864","22019","10757","-9460","-3329","12800","-9217","-30201","9984","4320","28","254","33203","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31865","-30723","-10752","-30707","2816","-513","-5377","-29945","10240","3296","28","254","33229","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31866","8194","-13054","-6901","10496","18432","-8449","-29433","12800","2784","28","254","33256","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31867","8705","-17918","9996","3072","24064","-4097","-28921","15616","2528","28","254","33280","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
"31868","-5379","22527","-15092","-9473","1536","-5121","-29689","16896","2528","28","254","33306","2020-11-02 15:51:55","2020-11-02 15:52:24","4","C7:F7:8F:B2:48:BE","28","28"
