"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"18882","-6138","28407","24586","29439","20223","17152","31730","-31753","27150","17","250","33237","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18883","-9722","-19721","-13046","16383","11775","-769","22002","26871","-31986","17","250","33263","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18884","8966","16120","17419","31487","-13569","-15361","14834","21751","-30706","17","250","33287","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18885","-27131","-21256","22539","-9729","18944","-14849","13042","20983","32270","17","250","33313","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18886","-27132","-17928","-502","3072","16896","15360","14066","23543","29966","17","250","33338","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18887","5382","-2056","-5366","-2817","18432","-15872","12786","29175","-32242","17","250","33364","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18888","3333","4345","-9718","-13569","18176","-24320","8434","-32009","-26610","17","250","33389","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18889","31241","13558","3339","-16897","-7681","24320","4594","-29705","-22258","17","250","33415","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18890","-7415","15352","-15606","-15361","-11009","10752","498","-30729","-19442","17","250","33441","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18891","-7930","28404","27403","-18433","30975","14336","-4367","31991","-14834","17","250","33466","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18892","-26619","7163","-26870","-12545","4608","-4097","-7183","30967","-13554","17","250","33492","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18893","-12545","-20747","6412","-11777","-3073","-15361","-7695","30455","-15346","17","250","33517","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18894","-20223","-19724","-28916","-11521","7168","-5633","-8207","31223","-17650","17","250","33543","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18895","-7423","21237","18444","-13313","18432","27648","-9743","-30473","-18418","17","250","33569","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18896","20222","13559","-29939","-29953","-27904","-8448","-13071","-21513","-16114","17","250","33594","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18897","30452","24571","-15857","-19457","-25856","-24062","-17935","-3593","-7666","17","250","33620","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18898","8949","29440","29200","-257","-9475","5383","-28431","-30728","-29937","17","250","33645","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18899","-21510","4864","31508","-30208","13054","-3061","13809","21497","-3312","17","250","33671","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18900","-29701","5112","29464","-767","-30982","-11504","-11024","18938","15379","17","250","33697","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18901","29178","3050","-14047","-506","30201","5144","-6672","-19717","25110","17","250","33722","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18902","-26104","-8473","4135","-20977","-21510","20758","14578","14077","-7655","17","250","33748","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18903","-25584","-7450","8993","29720","16891","-6130","9973","-771","-27620","17","250","33773","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18904","3860","31453","-3563","16925","-5640","-9719","5369","-15875","-25314","17","250","33799","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18905","-9963","13018","27145","-8165","3061","-23550","11773","30716","-13281","17","250","33824","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18906","-17129","-5661","5887","18707","-25616","23546","-28416","14074","-30177","17","250","33850","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18907","784","-8728","9216","-31733","30957","-19468","4611","-31241","-8163","17","250","33876","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18908","-30969","-1296","16131","23558","-5397","-16655","24325","-5644","8731","17","250","33901","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18909","25862","-26378","9736","1795","-10261","6383","-8953","-26894","27159","17","250","33927","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18910","-20216","-7434","3854","-12797","28654","-14870","5643","10737","-19694","17","250","33952","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18911","10249","3574","-16117","29701","10479","-18972","23311","4593","-4596","17","250","33978","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18912","-18429","30450","11525","28932","21743","-15905","-13805","-30222","-20474","17","250","34003","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18913","7164","-30478","22016","30975","31472","-2850","-2538","13301","-2816","17","250","34029","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
"18914","-26890","-32011","-17667","29178","28915","-22048","15128","29176","22780","17","250","34080","2020-11-02 14:36:35","2020-11-02 14:37:04","4","D7:F2:3B:06:4D:C8","17","17"
