"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"29419","-24070","20996","24587","19455","-3585","4096","15364","26125","-12796","26","253","30974","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29420","-28166","11780","24331","-19713","-3841","512","12036","25101","-12284","26","253","31000","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29421","24058","17668","15883","-12289","-27905","6400","11268","21517","-11516","26","253","31026","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29422","-11014","15620","11531","-16641","20223","5120","9988","14349","-10748","26","253","31051","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29423","-6150","-24572","1035","-11521","-26113","-13825","7684","8461","-12540","26","253","31077","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29424","25851","-22269","32267","-10241","-25601","25599","4100","5389","-17660","26","253","31102","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29425","11004","-25853","9739","-8961","-18433","30463","4","4109","-24828","26","253","31128","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29426","-16648","6406","-16373","-12545","3584","28671","-4349","3597","-30716","26","253","31153","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29427","12280","-31994","-1269","-13569","-14337","32255","-8189","2317","29444","26","253","31179","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29428","20478","-3836","27915","-1","-13569","-19713","-11261","-500","24580","26","253","31205","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29429","-15625","-15098","21515","0","-28161","-4097","-11005","-5620","22788","26","253","31232","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29430","6388","-6398","-9206","-5121","-13313","8704","-8701","-7668","25092","26","253","31256","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29431","-16909","12034","-2038","-10753","-15105","7936","-7677","-9460","27140","26","253","31281","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29432","-5645","-14077","-11510","-3585","-4865","4096","-6141","-10740","29188","26","253","31307","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29433","-1801","20487","19723","-257","256","768","-4349","-10740","30980","26","253","31332","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29434","-28929","27400","12556","3840","-769","6912","-2301","-11508","32516","26","253","31358","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29435","26880","28419","-14069","6400","1024","14592","516","-13044","-30716","26","253","31384","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29436","-24843","-28928","-21750","-4353","-19457","22016","3588","-16628","-26876","26","253","31409","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29437","-23818","24838","29706","-8705","-19457","16384","5892","-21492","-23036","26","253","31435","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29438","18177","-23545","30987","-9729","30720","3840","6404","-20724","-20732","26","253","31460","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29439","18172","-31232","7179","31487","-26368","2816","4612","-15348","-18684","26","253","31486","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29440","-24076","-4862","-246","24575","-3073","-27905","-1021","-14580","-19196","26","253","31511","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29441","14079","-5112","14603","-6657","1792","-9218","-8957","-13812","-29180","26","253","31537","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29442","-13056","-16380","20234","-1793","22528","-24834","-15869","-10228","22020","26","253","31563","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29443","-31752","9224","11784","3839","-22273","-2050","-27133","-9716","8708","26","253","31588","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29444","-20487","-31994","5640","15870","-24065","-22273","21507","-14068","2564","26","253","31614","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29445","26108","15105","21256","31486","257","1024","5379","-11252","2820","26","253","31639","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29446","-10500","26113","-11256","-19968","3587","-12033","4867","14605","6404","26","253","31665","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29447","-16904","1796","19976","-15102","-20990","768","27651","-19955","9476","26","253","31691","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29448","24822","-26878","29192","7940","3329","4610","7940","-4851","26884","26","253","31716","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29449","28151","771","7432","-32251","-24063","15107","17925","2830","1541","26","253","31742","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29450","5365","-32508","-1528","20739","257","4611","23046","12046","-21243","26","253","31767","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29451","21491","-24314","-2292","12798","-18434","772","-13818","-3059","18694","26","253","31793","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29452","-29964","18438","7445","-9993","6656","31492","25350","-21491","4359","26","253","31818","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29453","1778","-1788","-3297","30962","10241","-14846","2309","-23027","-16889","26","253","31844","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29454","-16139","-27644","-25310","-9743","12026","27650","-2814","7949","5640","26","253","31870","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29455","-5636","-13051","12563","-12038","32507","27907","-11519","5132","-30200","26","253","31895","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29456","8704","-24571","30467","-23296","-1789","1538","-2559","6668","3849","26","253","31921","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29457","4352","6149","32510","14845","-7677","-4096","4098","-10228","24585","26","253","31946","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29458","-2556","516","21254","-32262","-30212","14848","23041","-19188","-32759","26","253","31972","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29459","19461","26627","19461","-2050","2045","9981","-16896","8460","14345","26","253","31998","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29460","25344","-16891","-24317","-19707","27651","-2820","-1792","13580","-23032","26","253","32023","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29461","-28162","18951","28933","-17403","6405","8447","-9215","525","27656","26","253","32049","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29462","6397","-3834","-244","-1024","-24321","23552","23042","21005","30728","26","253","32074","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29463","-18691","28419","-24560","17154","-21766","-3839","-23294","-19956","-22776","26","253","32100","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29464","26367","30720","-25588","19210","28410","-15359","-12797","-22005","-9720","26","253","32125","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29465","-259","-29951","-15351","-12529","-24575","-21759","3590","24331","4873","26","253","32151","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29466","12025","8962","-6896","-15347","5124","-22271","-25848","-10485","-26871","26","253","32177","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29467","-7955","2821","-20972","27915","11002","-24830","32010","-32501","-16631","26","253","32228","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29468","24830","9743","26126","-9206","-22791","27653","9996","-759","-21751","26","253","32230","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29469","15872","15","30746","9983","1030","-27902","13325","-3831","-27638","26","253","32254","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29470","-23820","-7154","29217","-29445","-9984","-20485","32012","29706","-31478","26","253","32279","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29471","-15884","5903","30992","14849","-27653","1274","-12021","31242","27401","26","253","32305","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29472","-6","-10998","-11265","-23293","30719","18172","-3061","-30966","-29176","26","253","32330","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29473","253","-1276","6907","10240","-24065","25085","6668","-13814","9992","26","253","32356","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29474","-26629","4355","-30209","28667","17919","-3330","-28661","-10486","-11257","26","253","32381","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29475","-24833","18945","-13823","31228","-25862","6399","-18422","32010","32007","26","253","32407","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29476","-25087","-10238","1275","22784","-31237","7166","19466","-13559","-11514","26","253","32433","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29477","16384","21764","-773","-8705","-1789","18942","19210","778","-26362","26","253","32458","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29478","31485","22532","2050","31741","-21499","-1281","15114","-8438","-4858","26","253","32484","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29479","-20482","29699","-30457","-9220","-3586","31746","-4087","1547","20999","26","253","32509","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29480","-24064","-20733","17927","-29184","21245","-20477","-6647","24842","-25081","26","253","32535","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29481","18175","14597","10502","22276","18178","7683","-25334","10250","11528","26","253","32560","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29482","-4614","-25849","16648","-23035","27651","-21502","-17397","26122","-8952","26","253","32586","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29483","-9992","3851","6417","-31228","-18175","24579","-9460","30986","-28407","26","253","32612","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29484","-775","-23792","-3818","7943","-15877","30465","-16371","1546","-15351","26","253","32637","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29485","-22531","-8421","11532","3591","-14589","26368","1295","-16887","-21495","26","253","32688","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29486","-14601","7707","15642","11002","-12541","27646","19215","30218","22282","26","253","32690","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29487","-13321","21013","-15846","-4362","-8712","31228","-24819","16138","-25847","26","253","32714","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29488","-12040","26383","-14070","-2053","5882","-27396","9484","-27127","25864","26","253","32739","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29489","-25862","-24570","3839","25855","32258","254","-13301","-22775","-2041","26","253","32765","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29490","-26630","-4097","-18180","7421","-17663","9214","-28149","16906","-249","26","253","32791","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29491","22783","7934","10747","-28421","-22022","30206","-18422","2570","-31993","26","253","32816","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29492","-15867","7423","13298","-1796","14076","-2819","-4855","26633","-8698","26","253","32842","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29493","-17405","-13568","-17930","3322","29703","17148","9481","-2039","-28666","26","253","32867","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29494","-5378","14594","-13047","-19721","-17398","-3076","6664","-19189","-16890","26","253","32893","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29495","-29187","13828","8975","21496","-31231","5119","-9722","-28404","-17402","26","253","32919","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29496","28669","-11517","-8682","25592","18683","3329","30213","9740","-24826","26","253","32944","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29497","-765","19716","-12018","27651","9215","-9473","28421","-25077","-18426","26","253","32970","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29498","-30986","-6904","-32501","4359","11777","31229","13830","-14837","23814","26","253","32995","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29499","8685","3597","16145","22534","-11008","-22524","32519","-9461","-20986","26","253","33021","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29500","32748","28425","15390","1284","28920","-760","-19448","1291","-14585","26","253","33046","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29501","17917","11784","-30701","25866","-29445","32519","13578","25097","-31736","26","253","33072","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29502","-3846","18446","-20200","24581","7427","-12798","-12021","20489","26633","26","253","33098","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29503","-6412","21780","-739","11777","20481","15616","15884","22793","-25079","26","253","33123","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29504","-28689","-14573","10011","19968","-1535","23808","28684","-21239","-11511","26","253","33149","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29505","6397","-6387","7174","-7680","-13313","-7422","-18420","29961","9738","26","253","33174","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29506","-13826","13064","-29958","-9221","14339","4098","-16116","-30455","-19446","26","253","33200","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29507","-25087","17923","32255","-9738","-2558","21251","-5877","-18167","24843","26","253","33226","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29508","-6903","-25600","5893","15865","8706","-18688","-7158","-7927","-4341","26","253","33251","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29509","13834","25600","3325","-12033","12801","3067","19722","7946","-25845","26","253","33277","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29510","-9474","-17661","24565","13570","31238","28664","17930","11531","-9718","26","253","33302","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29511","-28934","29701","6651","-2051","-6906","20221","16906","-29172","-20470","26","253","33328","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29512","2813","-2812","3851","17915","-2045","-1280","-11511","14605","3083","26","253","33354","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29513","12798","-19964","1810","-16384","5379","-29183","-11511","-25587","-27637","26","253","33379","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29514","31741","-3579","-1785","-30205","-2561","-12799","-32502","-25075","-3573","26","253","33405","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29515","32508","-5882","17926","4867","27390","-24829","12043","15117","19468","26","253","33430","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29516","9211","-27383","23563","-27643","2303","9988","12300","-16116","-8692","26","253","33481","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29517","18168","-11510","-25328","18439","-21250","-32508","-31731","13068","25613","26","253","33483","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29518","-13068","11280","3854","-15356","-16383","-17916","-3058","-16885","7438","26","253","33507","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29519","-15110","4624","26914","-12551","14848","-22524","4111","-27893","2575","26","253","33533","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29520","22012","-4084","13607","-20741","-3336","-17155","-13811","-16118","-27378","26","253","33558","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29521","30200","-11505","-29164","512","20989","3062","-4852","-15350","7693","26","253","33584","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29522","24559","-23537","-13565","-20737","17403","7416","5900","3339","21771","26","253","33609","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29523","-31750","-13814","-14599","16127","-17922","-18689","-12277","-4342","-20214","26","253","33635","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29524","-3329","-25597","21495","-20481","6400","25856","-12021","-6134","-13302","26","253","33660","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29525","15105","19968","8172","5891","-5631","3841","16908","-1526","-502","26","253","33686","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29526","29184","17153","-32020","5118","13062","-11006","-13300","31243","-15349","26","253","33712","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29527","-24321","6402","17151","11767","-24060","19461","31244","-5621","525","26","253","33737","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29528","-23547","-25341","19210","-18697","-4862","-24316","-19957","-3829","9230","26","253","33763","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29529","20481","19974","-3825","-6148","-28415","-29952","4875","780","-25074","26","253","33788","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29530","16124","3339","-8434","-5627","-13053","-24322","-28149","23564","-15858","26","253","33814","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29531","-15386","-32750","27674","-24060","19203","18943","-29940","-5620","-8434","26","253","33840","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29532","-14113","11800","-2008","22782","-26623","-7163","9741","6669","-25073","26","253","33865","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29533","21489","-9709","-20429","18424","11001","4362","-18420","-17909","-26352","26","253","33891","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29534","9475","-26353","21032","-11775","8956","7685","29196","10250","6161","26","253","33916","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29535","-20988","-18930","-20205","15372","-6397","17148","-13811","17162","11793","26","253","33942","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29536","12549","16394","-29963","-6648","-23553","-2054","22287","-7414","-20464","26","253","33967","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29537","-2046","-11262","17137","29440","257","-19716","-22513","15883","10512","26","253","33993","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29538","-12544","4864","17905","-12291","-28156","-30722","-26609","-8693","18960","26","253","34019","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29539","-19965","28159","10743","-9989","-16638","28927","21007","27148","-20720","26","253","34044","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
"29540","6915","-16897","3834","19198","-4606","-31490","-4082","-15860","-15088","26","253","34070","2020-11-02 14:48:16","2020-11-02 14:48:46","0","D7:F2:3B:06:4D:C8","26","26"
