"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"30588","26865","-27904","-19974","-4353","-12801","-6913","-2629","-30695","11755","27","4","28324","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30589","30449","-25344","-2310","-9729","-10241","-5121","-3141","-28647","13035","27","4","28350","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30590","32753","-25600","6907","-2305","-11265","-5377","-3141","-26343","14315","27","4","28377","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30591","-24591","-24064","1019","3072","-6657","-7681","-1605","-24551","15851","27","4","28400","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30592","-25871","-19456","-10502","5888","-3073","-8449","700","-23527","17899","27","4","28426","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30593","-5392","-31233","28666","-7425","-2561","-11009","2492","-22759","20203","27","4","28451","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30594","-25873","27135","-19974","-9473","-24321","-11521","2748","-21991","22507","27","4","28477","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30595","22003","-28672","31226","-5377","1536","-1793","2748","-20455","23787","27","4","28503","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30596","9459","-21761","28410","-9985","-2817","-1281","1468","-19175","24299","27","4","28528","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30597","-7186","5888","-2309","-10497","-24065","-4097","-69","-17127","24555","27","4","28554","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30598","22257","7934","-26630","-2817","7680","-2817","-1093","-16359","24299","27","4","28579","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30599","14835","-24321","10746","5632","15360","-3329","-1093","-16871","24811","27","4","28605","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30600","-3086","-25858","-9735","15104","8960","1792","-325","-17639","24299","27","4","28630","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30601","30196","-13829","27129","19712","7422","-3584","-6213","-8679","15083","27","4","28656","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30602","24833","31483","-8198","-22526","-17666","-20731","2747","16666","4586","27","4","28682","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30603","-1509","30203","12270","25351","17942","-1269","22341","26904","32230","27","4","28707","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30604","-7376","-5385","9681","11010","10008","8695","-22715","-237","1510","27","4","28733","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30605","-25320","-2579","-22591","-22541","10501","8399","-16963","15377","-31251","27","4","28758","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30606","-15377","-11308","-28446","5349","3074","19653","25793","5902","30968","27","4","28784","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30607","26067","-22066","5878","7897","15351","22220","-32318","-6133","9987","27","4","28835","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30608","15032","-31267","-1818","1753","-26894","1251","22465","28939","24842","27","4","28837","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30609","29373","-4645","5108","-3365","31231","21506","-32580","-1525","4876","27","4","28861","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30610","14290","-16679","25842","27620","12532","11014","10820","14861","4619","27","4","28886","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30611","-22826","7634","7157","1258","-29211","-26876","-16833","27664","-30455","27","4","28912","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30612","19432","14037","-28182","1519","-25886","-9458","-4551","788","13061","27","4","28938","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30613","2528","24534","-4886","23030","13538","24600","13617","-29931","-22276","27","4","28963","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30614","-19983","25819","25836","-2821","27877","16162","2601","15379","26099","27","4","28989","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30615","3066","2783","19448","-20990","-31512","13343","-21468","4367","8941","27","4","29014","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30616","16652","-5915","21753","7436","32234","-31975","-18909","4107","-24","27","4","29040","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30617","-29949","17640","-20995","5903","5860","7435","3108","-15096","-28700","27","4","29065","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30618","8976","-20253","9459","8977","-4378","-13051","6693","-14585","12000","27","4","29091","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30619","12568","-31514","24303","-13039","-6414","-11521","-19418","-16121","5085","27","4","29117","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30620","-15594","-13834","-2097","26382","-32768","-23808","20521","-13817","-28964","27","4","29142","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30621","7687","-22547","-10246","-4324","26891","9996","18476","-11770","15581","27","4","29170","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30622","-16850","-6","-8238","18466","27134","-7416","-5327","16900","-11044","27","4","29193","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30623","-9179","-8970","10977","-21479","24307","-792","30518","8966","1501","27","4","29219","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30624","-14824","2038","29911","-4082","6910","-22050","-14022","-25847","27104","27","4","29244","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30625","32746","-9735","-11264","-19218","31764","-12053","-28612","-20471","20965","27","4","29270","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30626","24307","27910","-21547","-15100","-1511","-13841","-12995","-31738","-28952","27","4","29296","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30627","27108","-11769","-23846","-16904","-22792","-23852","-20929","16391","12526","27","4","29321","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30628","-13106","-11007","-18464","26873","25088","-12322","-16064","-32247","-10765","27","4","29347","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30629","29129","27127","7156","24050","-19199","5865","-1728","16394","11000","27","4","29372","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30630","20444","-15379","-17917","-25611","27643","8170","-8384","-24309","-24837","27","4","29398","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30631","10982","11244","-6386","-21006","26870","16358","22593","-13811","-27905","27","4","29424","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30632","28923","22763","14076","28147","-3598","-18200","28226","-2800","-12285","27","4","29449","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30633","25056","12265","-19722","-19471","17396","-4111","19523","13587","-7417","27","4","29475","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30634","27383","9726","8720","17140","1272","-21236","-6336","-23020","27655","27","4","29500","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
"30635","18145","28146","9716","-17674","30453","3335","11326","15382","19205","27","4","29526","2020-11-02 14:49:18","2020-11-02 14:49:48","1","D7:F2:3B:06:4D:C8","27","27"
