"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"43586","-4614","29189","-6645","7169","32511","15359","10501","9739","-5647","38","4","64942","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43587","-12550","-13051","26379","23041","-23297","16127","20229","6923","-14351","38","4","64967","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43588","-13574","1286","6923","15361","-23553","22015","30725","4875","-22287","38","4","64994","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43589","-20486","-251","-15606","-1536","-26369","29439","-26107","2059","-29199","38","4","65018","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43590","-4358","17670","-23542","-19968","28671","-28673","-19707","-1782","30193","38","4","65044","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43591","-11783","-20476","12811","27392","27391","-27649","-15611","-6902","25073","38","4","65069","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43592","-23048","-16892","-28149","29696","-21761","28415","-12027","-11510","19953","38","4","65121","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43593","-18436","-28667","26122","-19968","-19457","30207","-7419","-13302","14065","38","4","65123","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43594","-1541","261","-26358","-29184","-513","30719","-2811","-11766","8433","38","4","65146","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43595","12280","-14075","-29173","13312","-9473","21759","-507","-10230","2801","38","4","65172","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43596","20730","23812","-14326","10240","-7425","16639","-1019","-9462","-4624","38","4","65197","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43597","-29954","-30459","-4599","9472","17920","11775","-2555","-7158","-12560","38","4","65223","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43598","-11266","24581","3594","6144","23040","7935","-4603","-3318","-21008","38","4","65248","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43599","1019","-5373","-7414","5632","6400","9215","-7419","-758","-29968","38","4","65274","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43600","-29707","-18429","11276","8448","0","10751","-9211","1291","27376","38","4","65300","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43601","24824","-28666","-5877","17920","14080","11263","-8955","5131","19952","38","4","65325","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43602","4865","-15866","-13561","27136","-13056","16895","-7419","12555","13552","38","4","65351","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43603","-17157","23298","-2044","6655","15615","-20737","-10491","13835","8432","38","4","65376","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43604","-27913","29955","22788","8699","27900","-2817","22021","-10230","1520","38","4","65402","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43605","-20993","-19708","-13569","5624","-24068","-2307","10244","23050","-19217","38","4","65428","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43606","-272","29182","22273","-1548","4862","-11779","32258","4106","15343","38","4","65453","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43607","-23316","16131","12287","-13329","6399","-8447","23040","1546","16111","38","4","65479","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43608","26352","-21761","24315","9452","11261","-27643","-10243","-10487","-1041","38","4","65504","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43609","-3100","22783","8445","30698","-4866","14090","14843","-10487","24561","38","4","65530","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43610","-17948","23034","-5382","7401","-4861","-20719","-9992","-7926","-22797","38","4","45","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
"43611","24542","-529","-29695","-13596","19717","-28903","-23050","6413","-2314","38","4","47","2020-11-02 15:01:38","2020-11-02 15:02:07","3","D7:F2:3B:06:4D:C8","38","38"
