"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"2356","22539","-1276","23054","27646","-29696","-13055","4608","21502","-15159","3","3","26463","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2357","-6911","-31484","16653","-18946","-3075","25599","-5377","4606","-18231","3","3","26489","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2358","-2048","17924","-7156","-27139","-16898","19457","-22529","-12803","-13879","3","3","26512","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2359","-21245","18692","-9715","24316","26368","-8447","11007","-14083","4810","3","3","26538","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2360","-16893","13572","18446","-11013","11521","-17152","-28162","-5123","16330","3","3","26563","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2361","-8446","-26622","28687","3324","-1024","19200","-1539","6654","19658","3","3","26589","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2362","-31996","-7167","11536","13565","20224","16384","31997","12542","21706","3","3","26614","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2363","-1535","15101","27665","31231","32767","29184","17917","10750","23754","3","3","26640","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2364","-20477","26112","-21233","-19455","-9473","30465","26365","8446","-31798","3","3","26666","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2365","29186","10238","-756","21762","-3329","-2558","-19203","9470","-8758","3","3","26691","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2366","-16133","-29441","-26868","4353","-15360","-22012","-4611","17406","30923","3","3","26717","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
"2367","16902","2303","17674","-14850","29186","4613","-9987","-24834","15052","3","3","26742","2020-11-02 14:19:24","2020-11-02 14:19:54","1","D7:F2:3B:06:4D:C8","3","3"
