"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"47122","-25595","-28156","16653","-21249","27392","13569","27654","3325","-32326","41","1","28280","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47123","8198","-11772","-14580","-12545","-11521","-18176","24326","509","-23110","41","1","28304","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47124","-20986","-21243","30988","768","-1281","-10752","23558","-5892","-16966","41","1","28332","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47125","-16122","-16378","-31990","512","-12543","-20479","23302","-1540","-1350","41","1","28355","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47126","-14331","-19449","-25592","-18178","6403","-6911","14598","16381","24251","41","1","28380","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47127","29958","23046","25608","-4356","-24062","8193","-9467","-25347","-18501","41","1","28406","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47128","-32507","4868","4363","-1029","7168","28160","18181","-11779","-8517","41","1","28432","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47129","8709","-20217","20493","20476","-1794","3328","-18428","-22275","-8773","41","1","28457","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47130","12038","12807","6414","-30212","-18944","-18177","12036","-26883","-10821","41","1","28483","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47131","-17659","-17665","-20464","22525","11010","17407","-19197","-11011","-13637","41","1","28508","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47132","-28923","4102","-25583","14335","30721","7423","30467","7422","-18757","41","1","28534","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47133","-16127","-2300","-16368","16896","8448","20735","30723","13054","-26181","41","1","28560","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47134","-4095","-18683","-12017","-22016","27648","-20225","-28669","15358","-29509","41","1","28585","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47135","-14589","-12537","29454","-22015","-19713","-5377","-15613","15614","-31301","41","1","28611","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47136","29447","19975","-18677","30466","-1282","16384","6916","5886","-31813","41","1","28636","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47137","-23801","24830","-12026","23298","10496","-20992","30724","-3843","-28741","41","1","28662","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47138","2306","-4357","28410","-31487","-8701","8194","-14332","15614","-9029","41","1","28687","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47139","-22768","-29186","13547","16375","17921","-1790","10756","28414","26300","41","1","28713","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47140","30740","-30479","24295","21991","-22519","-261","18689","17151","26044","41","1","28739","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47141","-19679","15082","21740","-15906","-18935","23795","-29956","-31744","-1094","41","1","28764","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47142","16959","32484","-3344","-7465","20751","17631","-32522","-7680","-20669","41","1","28790","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47143","-24767","-24141","4084","-10285","2328","-2364","-25105","-2306","-11461","41","1","28815","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47144","-4815","8331","23796","26069","8218","-28748","13034","2809","-14799","41","1","28841","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47145","-725","-21371","-11009","4308","-18122","-19267","-14361","-19982","-7642","41","1","28866","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47146","8968","-24677","-16889","23545","15397","26578","-2836","27631","-4328","41","1","28892","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47147","-17144","-30534","-13320","18965","-17379","25319","-24333","-2832","-10224","41","1","28918","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47148","-25601","-27462","-10504","-18922","17936","-23089","-28165","-30735","-11256","41","1","28943","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47149","-2053","25535","1043","-3826","-10986","-9762","-10239","-31501","-19967","41","1","28969","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
"47150","2542","1994","25602","7963","776","-11293","29447","-28682","-772","41","1","28994","2020-11-02 15:04:14","2020-11-02 15:04:44","4","D7:F2:3B:06:4D:C8","41","41"
