"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"55397","-13308","4","24588","-21506","30462","-29438","18689","19966","-20019","48","252","41704","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55398","-23548","28163","15373","-24322","18174","8705","4865","1278","-4147","48","252","41730","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55399","24324","-16127","7182","-7938","-22019","31744","-7424","-21251","1998","48","252","41756","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55400","-18686","30464","-22258","-25857","22781","-15360","-14592","19453","6094","48","252","41781","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55401","4355","-27904","-24817","-15616","-3585","17666","-13056","-772","24526","48","252","41806","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55402","8453","4608","-1779","8193","8190","-11264","-5120","-11524","-27954","48","252","41832","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55403","-19706","-11264","269","5377","-22529","11776","6913","-21508","-23858","48","252","41858","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55404","-1280","-3327","11277","31488","30209","-12801","15105","-12036","-24626","48","252","41883","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55405","31233","22528","-20211","2816","-11778","-18177","18945","-18436","-25906","48","252","41909","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55406","-20734","2054","18189","3840","-24321","-3074","21505","-24580","31694","48","252","41934","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55407","-5630","13822","-25843","-29441","-27904","-24834","22529","-23556","18638","48","252","41960","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55408","-17915","5889","-12530","4608","-22786","14335","20737","-21252","7886","48","252","41985","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55409","3078","-7166","-30962","19200","-20991","-12545","23809","-16388","4302","48","252","42011","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55410","-8187","-23041","-13299","-3328","-27136","32767","32001","-9988","1998","48","252","42037","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55411","32256","27390","-28659","1537","-16896","-8706","-21503","-1284","-6963","48","252","42062","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55412","3587","-18683","-12275","1537","-16896","12031","-8447","5373","-16691","48","252","42088","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
"55413","-14072","-15099","-6134","-12544","-7424","8448","770","14333","-18483","48","252","42113","2020-11-02 15:11:55","2020-11-02 15:12:25","3","D7:F2:3B:06:4D:C8","48","48"
