"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"3542","23549","-27393","-26612","27383","-29181","6902","-8707","15368","-22057","4","253","49472","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3543","3067","-27138","-5364","30966","-5115","17656","-7429","-8952","8406","4","253","49497","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3544","-27398","12798","-11762","18167","-18690","31225","2554","-1016","-4140","4","253","49524","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3545","-28422","-29956","11024","16889","18936","-3589","-22536","-3065","24020","4","253","49547","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3546","7422","13820","25616","17917","-6149","5631","504","-5370","30676","4","253","49573","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3547","-17666","8702","-10992","16128","4861","12796","-3593","7942","23764","4","253","49598","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3548","15616","-8708","10256","-5376","-27397","-5894","-9","8965","-3117","4","253","49624","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3549","-21760","-5120","-2034","18944","32510","30458","-1033","28164","20691","4","253","49650","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3550","-9221","-12035","11023","19711","-11520","10234","-13577","6148","-32558","4","253","49675","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3551","-3844","-23042","-17650","-13825","12288","-23814","-28169","-8701","-22319","4","253","49700","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3552","4605","12790","-28402","-18944","19455","-14085","-30985","-30461","1489","4","253","49726","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3553","29439","11516","15629","10241","-26624","16381","-26377","23811","-31024","4","253","49751","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3554","-26882","28670","-17908","21761","15618","-9474","-17673","30979","12752","4","253","49777","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3555","30977","18175","4877","-29695","-8191","-29953","-5641","-15357","-1073","4","253","49803","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3556","-28671","-19713","-19956","11778","-19968","2559","11000","-8445","-12081","4","253","49828","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3557","7679","22783","-18934","-8702","-11009","32255","-29960","-9725","-19761","4","253","49854","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3558","-3844","28669","-9975","-1022","31997","1792","-520","-21757","-16689","4","253","49879","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3559","13307","15610","-5877","-5118","15098","18176","31225","515","-817","4","253","49905","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3560","-29192","8184","6926","-32766","-28423","-1792","-4615","10242","23248","4","253","49931","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3561","-21000","29435","16656","-4093","11002","-24831","29690","22785","-13360","4","253","49956","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3562","-3080","-3590","-27127","-25593","18934","18435","24827","23040","26065","4","253","49982","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3563","-11019","-14350","19202","6411","26857","-29175","-16644","2302","-9518","4","253","50007","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3564","32753","-1560","-27650","-6386","16609","-25324","8702","3834","-11051","4","253","50033","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3565","-8971","10987","-29711","-29420","-21286","-1761","-2306","9205","-16166","4","253","50084","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3566","-4091","-796","-25885","22294","28121","-217","-8451","27119","20194","4","253","50086","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3567","-5577","1014","10188","23297","249","-17114","21496","-5140","20204","4","253","50110","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3568","-21689","-22282","28906","-24609","8730","4106","-18702","-3345","32239","4","253","50135","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3569","32","-3856","1803","26591","13079","-11530","-27409","-31502","-14869","4","253","50161","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3570","10021","12020","-3827","1256","13842","-8205","-28691","20211","-3097","4","253","50186","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3571","17190","18160","-21743","-29974","24339","20458","-21268","5619","19427","4","253","50212","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3572","-7655","-6424","29206","19950","-6644","1248","749","23025","-26915","4","253","50238","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3573","-14853","-22559","-5360","12274","27918","-5661","-22802","14319","-30249","4","253","50263","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3574","-28142","-29472","23086","2282","-16605","-16396","32751","-26640","-23087","4","253","50289","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3575","11509","25823","-7653","-5876","-12794","-10004","-15630","-29199","17868","4","253","50315","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3576","-3091","9696","9738","-20968","-17659","20987","22263","-24335","-1591","4","253","50340","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3577","-6157","20450","-4353","-6880","-2308","-16895","-14597","242","-3383","4","253","50366","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3578","-1040","17134","-16907","-21222","7928","14347","20735","12785","31947","4","253","50391","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3579","-21259","-17937","-27916","-21477","5104","-8682","-3840","13039","13007","4","253","50417","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3580","3580","32486","-16655","-21731","-12306","-2528","-29696","29676","-22059","4","253","50442","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3581","-27890","17634","-4889","-22502","-13325","17960","-12804","18410","-22049","4","253","50468","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3582","-4812","26358","-15653","6664","-26620","-16095","-4618","25067","-11543","4","253","50494","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3583","-31701","-28677","3300","26354","1289","26122","27635","-32275","7661","4","253","50545","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3584","-11742","-10247","21494","-22038","-20216","26371","27376","-15634","7405","4","253","50547","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3585","3879","-21766","28157","-12823","2830","-3331","5102","-3857","-29461","4","253","50570","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3586","31272","-15882","31491","2281","3596","-3852","32492","20976","-25880","4","253","50596","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
"3587","23844","11249","15116","-23062","31751","2540","28395","2287","7141","4","253","50622","2020-11-02 14:20:50","2020-11-02 14:21:20","2","D7:F2:3B:06:4D:C8","4","4"
