"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"82570","-518","-9227","-28687","16639","26111","3327","13254","24579","1514","71","1","54225","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82571","-14342","11254","-10511","5119","-30721","8191","6598","24835","12010","71","1","54250","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82572","-15622","31734","-8719","8191","-23553","15359","-571","25347","21226","71","1","54278","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82573","5627","-32266","-24591","12031","29951","24319","-7483","26371","29418","71","1","54301","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82574","-5893","30454","-17168","4863","-3586","28415","-14395","31235","-26902","71","1","54327","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82575","-12038","-3339","-22800","31486","32766","6911","-24635","-26109","-13590","71","1","54352","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82576","23292","-18441","-13841","-27139","29438","-27394","24005","-17661","5355","71","1","54378","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82577","-30214","13047","17903","30716","-22275","-3587","-2620","-9725","30443","71","1","54403","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82578","6653","11258","-2068","17915","-26115","25597","26308","4","-2069","71","1","54429","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82579","-19464","-8972","32748","18937","-4354","-14084","-27453","1796","-32532","71","1","54455","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82580","-9480","-16908","-15124","-23048","2305","15869","-29502","-11517","-5908","71","1","54480","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82581","-3338","10740","-7186","-28935","20995","20990","-30527","25091","5613","71","1","54506","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
"82582","4087","1271","5361","-8710","27141","27647","-21056","-20734","-276","71","1","54531","2020-11-02 15:43:03","2020-11-02 15:43:32","3","D7:F2:3B:06:4D:C8","71","71"
