"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"8261","1025","30468","19722","-28422","-15871","-3838","9226","-4354","1807","8","7","45808","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8262","-32258","-27133","11274","17403","-3074","-30718","21769","-14082","26127","8","7","45833","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8263","-1539","-28669","-26106","-14084","18427","13571","-17656","11518","-25329","8","7","45860","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8264","-12034","-19454","-4348","-23299","26103","-11773","21768","-1796","-18673","8","7","45884","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8265","-20224","8961","10754","13307","17656","-26364","-12025","-32005","-9457","8","7","45909","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8266","-14847","4096","11780","-9741","-16128","-32506","17158","-14342","-29168","8","7","45935","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8267","7173","-18945","8964","21487","21506","-23546","-22781","-3846","-18671","8","7","45960","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8268","26906","-20997","262","-22803","-21514","13315","-17408","6906","29714","8","7","45986","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8269","-29659","11769","-14841","27626","16635","-13573","-17411","-28168","19474","8","7","46011","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8270","-31974","-24587","-19448","11238","-25334","1527","26106","-2568","-1264","8","7","46037","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
"8271","-4320","-13068","-22003","-15386","-30707","-20751","6391","8954","-31986","8","7","46063","2020-11-02 14:26:07","2020-11-02 14:26:37","3","D7:F2:3B:06:4D:C8","8","8"
