"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"5898","-15364","-24573","-7155","-25858","-12289","-11521","-17406","6149","27876","6","254","64652","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5899","-11268","-28413","-12531","-1538","-25858","-3586","-30462","-2044","19684","6","254","64678","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5900","-11013","-31485","1038","16639","-20994","-15362","24322","-13820","5348","6","254","64705","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5901","-32260","6915","27150","16383","22526","-20993","16130","-29180","-3357","6","254","64729","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5902","26877","-2301","4878","27391","-13058","-513","9474","22788","-5149","6","254","64754","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5903","-13572","26626","2061","-30977","-21250","-25089","4866","13060","-8477","6","254","64780","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5904","13818","1538","-1524","10239","13311","7424","-767","6148","-10781","6","254","64806","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5905","23808","10755","-23540","-17666","-7169","18177","-9727","3844","-2333","6","254","64831","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5906","-17662","26883","3596","-2562","-11266","18689","-18943","-7677","10724","6","254","64857","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5907","-14080","16896","12813","-26369","-23043","23295","-25087","-27901","11236","6","254","64882","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5908","26615","-31486","29455","-11265","766","13822","-29183","18947","-6173","6","254","64908","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5909","-510","-22269","20236","-12801","-21250","-11521","-31743","2307","-16925","6","254","64934","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5910","7672","-14336","3856","-11009","-11010","25857","-32255","-9470","-8477","6","254","64959","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5911","-27387","-26109","16396","-20736","18174","13313","-27135","-23550","4580","6","254","64985","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5912","-17673","19203","-25841","17665","-15361","12544","-14591","-31230","9700","6","254","65010","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5913","-12028","258","-29173","31488","11263","6400","-3583","24834","10212","6","254","65036","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5914","29436","-8187","-4339","-25090","-12288","17151","-10239","25602","6628","6","254","65062","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5915","-26885","-23297","-2290","-28930","13824","-2562","-25855","32002","-2077","6","254","65087","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5916","-27132","-27900","-31731","31999","13824","-3074","29697","-31742","-13085","6","254","65113","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5917","-10506","6147","-21744","2816","-3585","-23553","28673","-28670","-19741","6","254","65138","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5918","1538","-3328","-17140","28160","27136","26112","-32767","-26622","-17949","6","254","65164","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5919","-30209","17926","-15348","7424","25344","28672","-28415","-23550","-13085","6","254","65190","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5920","-24073","-256","32271","-26113","26112","24832","-28927","-20222","-8733","6","254","65215","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5921","-6140","-25598","-5364","-20737","-3584","-28928","-31743","-12286","-3613","6","254","65241","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5922","13054","-25088","-27891","256","513","-10240","-31487","-3838","3556","6","254","65267","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5923","16643","-11517","-6644","23808","31234","-27135","-26879","12291","16612","6","254","65292","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5924","29692","3585","-25074","-32256","5380","-23550","-17919","-23037","-24604","6","254","65318","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
"5925","-6915","15618","27152","-28928","-10492","-3069","-5119","22532","15333","6","254","65345","2020-11-02 15:00:37","2020-11-02 15:01:07","2","DF:DC:EF:28:D6:3E","6","6"
