"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"10568","-25602","-17403","-11001","3073","-512","13310","11015","-10750","-25926","10","1","43423","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10569","18685","-25850","-3573","18432","-5634","9215","13831","-8190","25786","10","1","43449","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10570","5887","17670","-30198","-19201","13566","-12033","15111","-23550","17850","10","1","43476","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10571","-20482","-5882","-10997","24062","3839","6399","3335","31490","7866","10","1","43499","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10572","-22274","19718","29708","-8707","3328","23295","-15866","30210","-583","10","1","43525","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10573","-12802","18438","23053","-3843","3073","15615","27910","-27646","-5447","10","1","43551","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10574","-26627","-25338","5390","16383","32513","26879","15110","-14334","-8519","10","1","43576","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10575","29694","-15101","-28916","9216","28417","19967","14342","1283","-10567","10","1","43602","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10576","27648","29957","8459","-16641","25601","-32002","14342","17923","-17991","10","1","43627","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10577","-5123","23045","-9717","12799","-8192","-12034","7430","32515","12102","10","1","43653","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10578","251","20229","19468","23295","-10753","768","1286","-29437","9030","10","1","43679","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10579","15611","-10231","-11251","-17153","-1","4352","-1275","-29949","10566","10","1","43704","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10580","-5634","7686","-3059","-32257","-8961","8704","-2299","-29693","11334","10","1","43730","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10581","-29446","23558","-9205","-28418","12799","26624","-11259","29699","12870","10","1","43755","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10582","-768","-3323","13326","-4099","13311","-22784","-28411","20483","16710","10","1","43781","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10583","17915","-11261","-12277","17918","15103","-32768","18949","11011","20550","10","1","43807","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10584","-10751","11781","-23026","14591","-14337","12800","8197","5891","-18503","10","1","43834","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10585","-7174","-30461","-16373","1024","12800","-20481","5893","6147","-19783","10","1","43858","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10586","-21504","-10491","-8178","-25344","6400","-24577","9733","9219","17990","10","1","43883","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10587","-9991","6917","30220","-21248","-32257","-27393","17157","8195","13638","10","1","43909","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10588","-24320","12294","26382","24064","14079","-11009","22789","2819","9286","10","1","43935","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10589","-13062","23302","-13556","512","-1026","-4097","24837","-5886","5702","10","1","43960","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10590","-2304","32260","-6643","4608","511","4608","25861","-15870","3654","10","1","43986","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10591","3325","-31481","-11763","-25856","-1794","-17665","30213","-25598","70","10","1","44012","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10592","16129","17926","2830","19713","-9730","29183","-25083","30466","-7099","10","1","44037","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10593","-14339","-6397","-501","13058","-9219","-2306","-7675","15362","-19387","10","1","44063","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10594","-24324","12544","31492","8450","1020","18429","13830","-8447","18757","10","1","44088","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10595","8179","-5378","-27400","2814","31481","1532","11014","16129","-32444","10","1","44114","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10596","-19991","19459","14321","30197","6905","-30978","7941","30464","-14013","10","1","44140","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10597","9443","-14848","-26897","10477","-31493","27144","-17662","-19457","15684","10","1","44165","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10598","-9758","250","19697","-10520","-23041","785","25087","28415","-20039","10","1","44191","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10599","27105","14831","-18953","-4380","16388","13080","26363","27136","-9284","10","1","44216","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10600","17889","6371","6145","20449","14086","-28387","1271","-20478","-25664","10","1","44242","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10601","-5154","2261","8716","-5153","14853","-21215","-16142","1286","-31804","10","1","44267","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10602","-16670","-20781","-6382","-3871","-4353","-5343","13551","-20727","-28216","10","1","44293","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10603","28383","4305","19472","29671","11258","-19680","10477","-4084","-2100","10","1","44319","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10604","-5669","-32056","-24306","27880","20469","-12252","-10004","4368","32722","10","1","44344","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10605","13288","27076","4375","-28957","7660","-14042","19182","-15342","30426","10","1","44370","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
"10606","-5385","-17974","-6376","29415","-14625","32029","31985","-15086","23780","10","1","44396","2020-11-02 15:05:36","2020-11-02 15:06:06","4","DF:DC:EF:28:D6:3E","10","10"
