"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"14100","-16625","30468","-30721","4352","3839","-28161","12065","17123","-10486","13","253","14648","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14101","-18673","-31484","32767","-3585","6911","27135","-17887","21731","17930","13","253","14672","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14102","-23537","-10236","16383","-9985","-12801","-29697","802","26595","-2295","13","253","14700","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14103","10511","-5116","-25601","28159","-13056","-17153","-15583","30435","10762","13","253","14723","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14104","26638","9989","19200","11519","6657","12288","10785","31459","-21238","13","253","14749","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14105","-27377","-13821","11008","-770","-31744","24321","-31200","23779","12299","13","253","14775","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14106","-11506","-18429","22016","-6146","21504","-12031","-5345","7907","-23029","13","253","14800","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14107","-12783","-1790","-9472","21759","3584","26625","-32737","-7454","-3829","13","253","14826","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14108","7442","-20990","22272","23295","-10753","-3328","27167","-18462","-4085","13","253","14851","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14109","-24304","20481","7936","25855","28927","32512","31775","-26398","-16117","13","253","14877","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14110","3599","-30460","7937","-6913","-12801","-769","-28897","-28958","-24309","13","253","14903","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14111","530","-13051","-28415","28160","14336","-18433","-28897","-27422","-21749","13","253","14928","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14112","26894","32002","9727","19456","-12289","-20993","-23521","-24094","-23029","13","253","14954","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14113","-20976","7175","15362","2048","-23809","-14081","-10721","-21790","30475","13","253","14979","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14114","-8178","6914","-8962","-1537","32767","-13313","11296","-19742","7691","13","253","15005","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14115","5905","-18170","-8703","-14081","21760","-513","9760","-18718","7691","13","253","15031","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14116","24078","17410","31230","-6401","4864","-13057","288","-17182","15883","13","253","15056","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14117","-7920","-15098","-3072","-10241","21504","-13057","-5089","-14622","20491","13","253","15082","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14118","-28660","31747","16125","21247","29184","17408","-22497","-13854","-31221","13","253","15108","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14119","-17904","-13563","-5888","24318","29696","-11264","9759","-19230","-9461","13","253","15133","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14120","3341","516","-31489","-1027","-27137","-5632","-10722","-27934","-8181","13","253","15159","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
"14121","-25584","-20222","30721","16126","11520","8705","31262","27618","-3317","13","253","15184","2020-11-02 15:11:32","2020-11-02 15:12:02","1","DF:DC:EF:28:D6:3E","13","13"
