"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"17641","-20978","15877","-20229","-29184","-24575","3326","11315","23269","-19997","16","255","46080","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17642","29710","-28411","-12805","-30208","8962","-10498","21298","22245","-19996","16","255","46106","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17643","-30450","-17659","2556","23552","16898","27135","-30927","15333","-24603","16","255","46133","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17644","-14578","-28411","-8196","25344","1538","-30721","-14288","7141","31462","16","255","46157","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17645","18446","-12283","-7684","-13568","-27647","14079","9520","3045","17639","16","255","46182","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17646","-7923","13317","16380","-10496","-7936","16895","-21713","4069","-5913","16","255","46208","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17647","-31474","28933","11516","-26368","-31232","5376","31791","3557","15080","16","255","46259","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17648","5646","-31226","6651","-28928","-22272","-28672","29999","-2588","22760","16","255","46261","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17649","-19443","2565","-31749","-31744","24320","21760","30511","-9244","28648","16","255","46285","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17650","-31218","3078","-23557","17664","9472","10496","29999","-12572","-32536","16","255","46310","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
"17651","8466","7176","26619","15616","29440","32256","31535","-16412","-31256","16","255","46336","2020-11-02 15:15:15","2020-11-02 15:15:45","3","DF:DC:EF:28:D6:3E","16","16"
