"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"23516","18687","14857","9457","12288","-3841","-30465","-12487","-1280","15109","21","249","1582","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23517","19711","18953","2801","13312","6400","-23809","-10183","257","18949","21","249","1608","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23518","18431","20489","-14352","10752","12544","-18945","-8135","769","22533","21","249","1634","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23519","27135","20745","8945","4864","13312","-17153","-7111","257","25861","21","249","1659","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23520","19455","7689","-9232","15104","-3073","-12545","-5319","1281","28421","21","249","1684","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23521","30461","-9207","3313","256","2816","-15617","-4039","2561","29701","21","249","1710","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23522","256","-25079","28913","2304","9984","-1","-3783","2561","30213","21","249","1736","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23523","16638","-18165","30705","9472","15616","-8193","-3015","2049","30981","21","249","1761","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23524","-11521","-26358","27121","13056","256","-9473","-1223","3329","31493","21","249","1787","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23525","2560","-27386","-22800","12544","30975","-22273","314","6913","31749","21","249","1812","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23526","7167","-11509","-10512","14336","-9730","30975","2874","16129","30981","21","249","1838","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23527","10238","15110","29424","7936","19710","-30721","4154","31745","27397","21","249","1864","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23528","10495","-24055","-2576","1536","-12034","-3073","4922","-20479","21765","21","249","1889","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23529","-22274","21003","29937","-12801","7679","20224","3130","-12543","14597","21","249","1915","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23530","-17667","-16890","-17936","-7937","23295","14848","826","-8191","8709","21","249","1940","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23531","-28673","-11256","15089","-4353","-12033","14336","-199","-6399","5125","21","249","1966","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23532","18176","15372","-25871","-13057","-1793","10496","-1991","-6143","2565","21","249","1992","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23533","-30467","11528","2545","-14849","5120","8960","-4295","-7935","1797","21","249","2017","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23534","-11778","-24314","-14608","-12545","2816","11520","-6599","-9983","1029","21","249","2043","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23535","-26880","-22518","7922","-11521","7168","6400","-8391","-10751","-252","21","249","2068","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23536","-26881","-29430","-13838","-12801","12288","5632","-10439","-12799","-508","21","249","2094","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23537","-28675","-22267","8178","-5121","27392","-769","-11975","-16639","1285","21","249","2120","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23538","-7424","-29944","3061","-1","9217","8704","-11975","-24063","5125","21","249","2145","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23539","12543","8455","-1802","29184","26625","-25600","-10439","26881","9221","21","249","2171","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23540","27136","-5882","22263","-9215","-12544","-25088","2106","13313","9477","21","249","2196","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23541","-1789","7682","16120","-30974","-30720","25344","25658","4097","8965","21","249","2222","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23542","1026","5889","14587","9475","-31231","7425","-11206","-9472","7685","21","249","2248","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23543","-29180","-23041","12284","-28667","16644","-20479","-32709","17920","8965","21","249","2273","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23544","-25592","-11523","9722","30473","14341","-1280","-18372","30207","18693","21","249","2299","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23545","-31736","-13827","15860","9742","-18939","-6147","-26050","-22018","-19707","21","249","2324","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23546","-3835","-23558","749","-26863","14341","10234","6209","-259","-26618","21","249","2350","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23547","-31485","14839","15849","-16368","20996","-18438","-17085","28157","-26105","21","249","2376","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23548","27657","-8970","-7441","7694","-23805","1533","70","-9220","14344","21","249","2401","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23549","-29933","8692","-7944","-3056","-7677","17147","-20805","14332","-16120","21","249","2427","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23550","-7398","1774","12279","28950","25350","-10506","-19010","7163","-19191","21","249","2452","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23551","5157","30437","19188","-6374","7691","-6417","15298","505","12811","21","249","2478","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23552","12840","11991","-5397","17442","-7158","229","15558","-22795","-28915","21","249","2504","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23553","-25567","11216","-23070","27684","16641","29148","-13111","-4623","-29935","21","249","2529","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23554","13336","-28975","21220","25377","-17158","1497","19659","24046","32535","21","249","2555","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23555","-12773","17371","4832","-5606","13310","12764","-17974","-5654","19486","21","249","2606","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23556","29477","-13855","20189","-7916","-28418","25820","32199","-23577","12070","21","249","2608","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23557","28697","11230","3807","15894","-19212","30424","-5442","20966","17715","21","249","2657","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23558","23043","30940","20185","-23786","-20758","-22309","-17341","-5912","3392","21","249","2659","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23559","-17922","13281","7637","-12787","24805","-9496","-10431","-25363","-1979","21","249","2683","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23560","-21749","17126","-22824","13825","13285","-9742","-23743","16882","22203","21","249","2709","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23561","-7920","-3867","22256","29176","12010","27382","-19904","13558","7100","21","249","2734","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23562","-11510","5357","22741","5369","-10521","-23814","-11457","30201","15548","21","249","2760","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23563","-28909","-26653","25568","26859","6117","-12799","-10179","-23811","955","21","249","2785","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23564","1311","2278","-25621","7397","22503","17669","22330","-29440","23877","21","249","2811","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23565","-27874","-17943","-6418","18406","17893","-24061","18486","4867","-29374","21","249","2837","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23566","16921","3050","1012","-18458","4068","22276","-7119","27909","1599","21","249","2862","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23567","4888","-30998","-19722","-13338","18408","-5883","9261","-24570","12859","21","249","2888","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23568","5657","29158","-2568","3047","12778","-19707","22312","-13306","-29641","21","249","2913","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23569","-24300","-4891","2560","16618","-30485","-24572","-12765","23046","11060","21","249","2939","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23570","-13807","-5144","-15357","-17167","-14873","13831","17184","11525","-19408","21","249","2965","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23571","27407","-22036","28942","-1033","-5657","-8694","-5859","259","10029","21","249","2990","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23572","22031","28145","16921","7428","-1046","23563","20765","23296","22826","21","249","3016","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23573","-25590","-5392","7953","-8682","-29973","-10741","-27105","-6659","-24281","21","249","3041","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23574","22026","-22802","-8454","23328","-20","-5358","32036","18939","-17628","21","249","3067","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23575","13846","-24080","-23320","3870","-8465","23837","-32726","-2825","6945","21","249","3093","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23576","-14551","-2059","-17430","12812","-19715","-7139","19247","-13","32541","21","249","3118","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23577","32290","-16657","2560","5637","9477","-27619","-13519","-9233","-6118","21","249","3144","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23578","-16597","-25882","-1540","-30444","28921","-989","-12489","4332","-29419","21","249","3170","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
"23579","27209","-17685","-13594","8223","759","2590","-24253","20203","23564","21","249","3195","2020-11-02 15:23:03","2020-11-02 15:23:33","1","DF:DC:EF:28:D6:3E","21","21"
