"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"29394","23033","1548","-7690","-5889","-6401","1536","-19407","-13815","-12348","26","254","8508","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29395","25081","-2805","-5130","-4865","-5377","-1025","-20431","-13303","-13116","26","254","8533","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29396","13561","8204","-8202","-5377","3328","-1","-21455","-13303","-13116","26","254","8557","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29397","16377","4620","-14602","-6657","-3329","1024","-22479","-13559","-13116","26","254","8582","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29398","16889","6924","9719","-2817","-11777","3584","-23759","-13047","-14652","26","254","8608","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29399","4090","11276","5111","-1","-3585","3328","-24783","-12535","-15932","26","254","8634","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29400","-25351","-16115","15095","-2049","22528","-7169","-24527","-12791","-14652","26","254","8659","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29401","11512","-19703","26358","-1793","-7425","-1537","-24783","-12535","-13628","26","254","8685","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29402","-6407","-13303","17398","2560","-26369","7936","-25551","-11511","-16700","26","254","8710","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29403","29687","1801","-13322","2560","-25345","-513","-26575","-9463","-20284","26","254","8736","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29404","9720","-14323","3064","-1","-17665","3328","-27087","-8439","-22844","26","254","8762","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29405","28924","22027","4342","512","2560","9984","-27855","-8951","-24380","26","254","8813","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29406","4087","-11252","-1289","-5121","12544","-1025","-28111","-10999","-23356","26","254","8815","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
"29407","-32261","-24822","-29451","-5633","24576","2816","-27855","-12791","-20540","26","254","8838","2020-11-02 15:29:34","2020-11-02 15:30:04","2","DF:DC:EF:28:D6:3E","26","26"
