"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"30574","-15369","-11509","-3593","-6145","4096","-8705","8752","5132","-4800","27","2","13567","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30575","-18185","-13045","9208","-4865","512","-3073","8240","5388","-3776","27","2","13594","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30576","-7689","-16629","12024","-1281","-3073","2304","7984","5644","-4032","27","2","13619","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30577","10744","-24565","18680","-1793","4608","9216","7472","4364","-4288","27","2","13644","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30578","-17928","-30453","-1545","-3329","3328","3840","7216","2316","-4032","27","2","13670","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30579","14327","1293","31736","-5377","-5121","-11777","6960","3084","-3520","27","2","13695","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30580","17913","-25077","-14345","-1793","-1025","-4353","6192","5132","-4288","27","2","13721","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30581","17400","14606","32760","-257","2560","3584","5680","5132","-4800","27","2","13746","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30582","29433","-26354","25848","-2561","5632","5888","4656","4620","-6592","27","2","13772","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30583","24058","14348","-5642","-4097","15872","-2305","3888","3852","-6336","27","2","13798","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
"30584","3830","4873","9720","-12033","512","-19457","3376","4364","-3776","27","2","13849","2020-11-02 15:30:43","2020-11-02 15:31:13","4","DF:DC:EF:28:D6:3E","27","27"
