"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"31756","31502","-3835","16644","6144","5888","12800","9748","27111","18161","28","249","15652","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31757","29710","-6139","16644","1280","7936","7936","7188","26343","21745","28","249","15678","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31758","12814","-8955","22276","-513","3072","0","5652","26599","23537","28","249","15702","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31759","526","-4347","23044","1024","10752","3584","3604","27367","25841","28","249","15726","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31760","10510","4102","-4349","-2561","3840","12800","532","26855","29425","28","249","15752","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31761","-16370","2054","-6653","-9473","6656","8448","-3053","26343","32241","28","249","15778","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31762","13070","-32761","4356","-13313","17664","4864","-8173","27111","-29455","28","249","15803","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31763","-18674","-23037","3844","-18945","-6145","16640","-13293","26343","-26383","28","249","15829","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31764","-19952","-11772","-1277","-27905","-8961","23552","-20205","23783","-22799","28","249","15855","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31765","12304","-9981","11268","-30721","-10753","12800","-26093","21735","-21263","28","249","15880","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31766","12813","-13309","-26108","-32513","-11777","-1793","-29933","21735","-22031","28","249","15906","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31767","31501","-19704","5893","-30977","3584","-5633","31507","22247","-23055","28","249","15931","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31768","17424","-10492","-16380","-23041","-9473","-7937","29971","22503","-26127","28","249","15957","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31769","5644","15110","17157","-17153","-6913","-10497","30227","23783","-29455","28","249","15983","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31770","17168","-32762","-28156","-16641","-5121","2304","29715","23527","-32015","28","249","16008","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31771","14860","30981","-5884","-22017","-11521","-1025","29203","22759","30961","28","249","16034","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31772","5136","-24314","-25340","-11009","10240","-1793","26643","23271","30961","28","249","16059","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
"31773","9996","-26107","-11772","-14081","512","0","23571","24295","32497","28","249","16085","2020-11-02 15:32:53","2020-11-02 15:33:23","0","DF:DC:EF:28:D6:3E","28","28"
